,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
0,09.39.35,0,LTE,-73,-7,25.0,12,-57,170,41,D
1,09.39.35,0,LTE,-73,-8,22.0,12,-57,124,8,D
4,09.39.38,0,LTE,-73,-9,25.0,12,-57,5546,301,D
5,09.39.39,0,LTE,-73,-9,25.0,12,-57,5546,301,D
6,09.39.39,0,LTE,-73,-10,23.0,12,-57,2216,65,D
7,09.39.41,0,LTE,-73,-10,23.0,12,-57,1913,91,D
8,09.39.42,0,LTE,-73,-11,21.0,12,-57,1192,157,D
9,09.39.43,0,LTE,-73,-11,21.0,12,-57,5725,200,D
10,09.39.44,0,LTE,-73,-9,25.0,13,-60,34008,947,D
11,09.39.45,0,LTE,-73,-9,25.0,10,-62,34727,660,D
12,09.39.46,0,LTE,-84,-12,17.0,11,-67,38430,2246,D
13,09.39.47,0,LTE,-84,-12,17.0,11,-67,18114,332,D
14,09.39.48,0,LTE,-87,-12,12.0,8,-70,26631,458,D
15,09.39.49,0,LTE,-87,-12,12.0,14,-66,12475,181,D
17,09.39.52,0,LTE,-86,-7,18.0,10,-70,275,8,D
19,09.39.54,0,LTE,-88,-10,11.0,9,-72,2508,45,D
21,09.39.56,0,LTE,-90,-9,12.0,9,-72,276,11,D
22,09.39.57,0,LTE,-87,-8,13.0,7,-69,5054,82,D
24,09.40.00,0,LTE,-86,-10,4.0,7,-74,271,3,D
26,09.40.02,0,LTE,-89,-12,1.0,7,-74,1110,20,D
27,09.40.02,33,LTE,-89,-12,1.0,10,-70,1110,20,D
29,09.40.04,33,LTE,-87,-9,5.0,10,-70,274,10,D
31,09.40.06,33,LTE,-84,-8,7.0,14,-67,2163,40,D
33,09.40.09,33,LTE,-82,-8,3.0,10,-66,272,6,D
36,09.40.12,33,LTE,-88,-9,1.0,12,-65,4867,67,D
39,09.40.14,34,LTE,-80,-9,11.0,14,-64,276,6,D
41,09.40.17,34,LTE,-88,-8,12.0,9,-72,1881,33,D
44,09.40.20,34,LTE,-85,-8,11.0,14,-68,2100,39,D
48,09.40.25,34,LTE,-89,-9,7.0,8,-72,1579,33,D
49,09.40.26,34,LTE,-89,-9,7.0,8,-72,3331,62,D
51,09.40.28,34,LTE,-90,-8,10.0,8,-72,274,10,D
53,09.40.30,34,LTE,-92,-8,9.0,14,-75,277,11,D
54,09.40.31,34,LTE,-89,-7,5.0,14,-73,2463,46,D
55,09.40.33,34,LTE,-89,-7,5.0,12,-76,274,10,D
56,09.40.34,34,LTE,-91,-10,1.0,12,-76,277,10,D
57,09.40.34,27,LTE,-91,-10,1.0,12,-76,277,10,D
59,09.40.36,27,LTE,-96,-10,1.0,7,-79,379,23,D
60,09.40.37,27,LTE,-96,-10,1.0,12,-,1501,40,D
61,09.40.38,27,LTE,-96,-11,7.0,7,-79,278,11,D
63,09.40.40,27,LTE,-97,-14,-4.0,7,-79,274,10,D
64,09.40.42,27,LTE,-97,-14,-4.0,7,-79,3924,145,D
66,09.40.44,27,LTE,-95,-14,2.0,7,-79,279,11,D
67,09.40.45,27,LTE,-95,-10,4.0,7,-79,4,3,D
68,09.40.46,27,LTE,-95,-10,4.0,12,-76,2155,1516,D
