,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
3,2019.12.03,,07.29.24,2,5G,-101,-11,4.0,11,-110,35,10,D
14,2019.12.03,,07.29.36,2,5G,-100,-11,7.0,11,-90,480,188,D
15,2019.12.03,,07.29.37,2,5G,-100,-11,7.0,11,-90,2210,48,D
17,2019.12.03,,07.29.39,2,5G,-101,-11,10.0,11,-90,455,162,D
22,2019.12.03,,07.29.45,2,5G,-102,-10,1.0,12,-90,12357,498,D
24,2019.12.03,,07.29.47,2,5G,-101,-11,8.0,12,-88,24178,546,D
25,2019.12.03,,07.29.48,2,5G,-101,-11,8.0,12,-88,48195,812,D
26,2019.12.03,,07.29.49,2,5G,-102,-12,6.0,12,-88,18229,1886,D
27,2019.12.03,,07.29.50,2,5G,-102,-12,6.0,12,-88,24486,360,D
28,2019.12.03,,07.29.51,2,5G,-99,-9,8.0,13,-86,4857,37,D
29,2019.12.03,,07.29.53,2,5G,-99,-9,8.0,13,-86,277,11,D
31,2019.12.03,,07.29.55,2,5G,-100,-11,4.0,14,-88,5887,69,D
33,2019.12.03,,07.29.57,2,5G,-99,-10,11.0,14,-88,273,13,D
35,2019.12.03,,07.29.59,2,5G,-98,-12,4.0,14,-88,273,9,D
36,2019.12.03,,07.30.00,2,5G,-99,-11,2.0,14,-88,3810,25,D
38,2019.12.03,,07.30.03,2,5G,-100,-10,12.0,14,-90,396,6,D
39,2019.12.03,,07.30.04,2,5G,-100,-10,12.0,14,-90,272,10,D
40,2019.12.03,,07.30.05,2,5G,-102,-10,0.0,14,-90,1266,15,D
42,2019.12.03,,07.30.07,2,5G,-99,-10,11.0,9,-92,279,10,D
43,2019.12.03,,07.30.08,2,5G,-99,-10,11.0,9,-92,4474,70,D
44,2019.12.03,,07.30.09,2,5G,-100,-10,4.0,9,-92,42,17,D
45,2019.12.03,,07.30.11,2,5G,-100,-10,4.0,9,-92,274,8,D
47,2019.12.03,,07.30.13,2,5G,-100,-11,5.0,9,-92,2127,18,D
48,2019.12.03,,07.30.14,2,5G,-100,-11,7.0,9,-92,273,9,D
50,2019.12.03,,07.30.16,2,5G,-100,-11,8.0,9,-92,286,10,D
51,2019.12.03,,07.30.17,2,5G,-100,-11,8.0,9,-92,3023,17,D
52,2019.12.03,,07.30.18,2,5G,-100,-12,9.0,9,-92,273,9,D
54,2019.12.03,,07.30.21,2,5G,-98,-10,8.0,11,-88,4404,28,D
56,2019.12.03,,07.30.23,2,5G,-102,-10,12.0,12,-90,273,8,D
58,2019.12.03,,07.30.25,2,5G,-100,-11,6.0,13,-92,2807,14,D
59,2019.12.03,,07.30.26,2,5G,-100,-11,6.0,13,-92,274,9,D
61,2019.12.03,,07.30.29,2,5G,-101,-12,5.0,14,-89,281,9,D
63,2019.12.03,,07.30.31,2,5G,-101,-8,15.0,12,-87,2159,22,D
65,2019.12.03,,07.30.33,2,5G,-101,-8,8.0,12,-91,283,9,D
67,2019.12.03,,07.30.35,2,5G,-100,-9,12.0,12,-88,336,11,D
68,2019.12.03,,07.30.37,2,5G,-96,-9,14.0,13,-91,949,16,D
69,2019.12.03,,07.30.38,2,5G,-96,-9,14.0,14,-85,239,8,D
70,2019.12.03,,07.30.39,2,5G,-99,-11,10.0,14,-85,1634,34,D
73,2019.12.03,,07.30.42,2,5G,-93,-9,10.0,14,-83,273,9,D
75,2019.12.03,,07.30.45,2,5G,-93,-8,10.0,15,-110,1629,41,D
77,2019.12.03,,07.30.47,2,5G,-89,-7,25.0,14,-68,5300,61,D
79,2019.12.03,,07.30.49,2,5G,-84,-11,20.0,15,-110,321,1474,D
80,2019.12.03,,07.30.50,18,5G,-84,-11,20.0,15,-110,321,1474,D
82,2019.12.03,,07.30.51,18,5G,-80,-8,15.0,14,-73,279,10,D
83,2019.12.03,,07.30.52,18,5G,-84,-7,30.0,14,-73,5774,44,D
85,2019.12.03,,07.30.55,18,5G,-82,-9,25.0,15,-69,278,4,D
86,2019.12.03,,07.30.56,18,5G,-82,-9,25.0,15,-69,276,12,D
87,2019.12.03,,07.30.57,18,5G,-83,-10,25.0,15,-69,838,17,D
88,2019.12.03,,07.30.58,18,5G,-83,-10,25.0,15,-69,1130,25,D
89,2019.12.03,,07.30.59,18,5G,-83,-8,26.0,14,-71,610,11,D
90,2019.12.03,,07.31.00,18,5G,-83,-8,26.0,15,-68,1254,24,D
93,2019.12.03,,07.31.03,37,5G,-79,-8,20.0,15,-68,284,9,D
95,2019.12.03,,07.31.05,37,5G,-73,-7,22.0,14,-73,886,23,D
97,2019.12.03,,07.31.07,37,5G,-85,-8,18.0,14,-73,275,9,D
98,2019.12.03,,07.31.08,37,5G,-81,-10,19.0,15,-71,1631,26,D
100,2019.12.03,,07.31.11,37,5G,-83,-8,20.0,15,-67,272,5,D
101,2019.12.03,,07.31.12,37,5G,-83,-8,20.0,15,-71,242,10,D
103,2019.12.03,,07.31.14,37,5G,-82,-8,18.0,15,-62,277,6,D
105,2019.12.03,,07.31.16,37,5G,-86,-9,0.0,14,-67,270,9,D
106,2019.12.03,,07.31.17,37,5G,-81,-9,19.0,14,-65,647,11,D
107,2019.12.03,,07.31.19,37,5G,-81,-9,19.0,14,-67,276,10,D
108,2019.12.03,,07.31.19,38,5G,-81,-9,19.0,14,-67,276,10,D
110,2019.12.03,,07.31.21,38,5G,-85,-7,13.0,14,-72,3643,36,D
112,2019.12.03,,07.31.23,38,5G,-89,-11,17.0,14,-74,272,8,D
114,2019.12.03,,07.31.25,38,5G,-86,-8,19.0,14,-71,2091,41,D
115,2019.12.03,,07.31.26,38,5G,-83,-9,7.0,14,-71,274,9,D
117,2019.12.03,,07.31.29,39,5G,-83,-9,7.0,14,-79,1439,27,D
118,2019.12.03,,07.31.29,39,5G,-94,-13,1.0,14,-79,1439,27,D
120,2019.12.03,,07.31.31,39,5G,-96,-9,6.0,12,-83,274,9,D
122,2019.12.03,,07.31.33,39,5G,-93,-9,-8.0,14,-83,275,10,D
123,2019.12.03,,07.31.34,39,5G,-93,-9,-8.0,14,-83,1932,23,D
125,2019.12.03,,07.31.37,39,5G,-92,-9,12.0,11,-110,276,9,D
128,2019.12.03,,07.31.39,33,5G,-88,-10,8.0,14,-110,2245,29,D
129,2019.12.03,,07.31.40,33,5G,-92,-10,7.0,13,-110,272,9,D
131,2019.12.03,,07.31.42,33,5G,-93,-11,11.0,11,-110,33,18,D
132,2019.12.03,,07.31.43,33,5G,-93,-11,11.0,13,-76,281,10,D
133,2019.12.03,,07.31.44,33,5G,-95,-10,4.0,11,-79,960,24,D
135,2019.12.03,,07.31.47,33,5G,-95,-10,6.0,13,-76,2717,34,D
137,2019.12.03,,07.31.49,33,5G,-90,-9,15.0,13,-76,305,770,D
138,2019.12.03,,07.31.50,33,5G,-90,-9,15.0,13,-76,1487,23,D
140,2019.12.03,,07.31.52,33,5G,-89,-12,13.0,13,-76,277,9,D
141,2019.12.03,,07.31.53,17,5G,-89,-12,13.0,13,-76,277,9,D
143,2019.12.03,,07.31.55,17,5G,-91,-11,-1.0,8,-110,364,13,D
144,2019.12.03,,07.31.56,17,5G,-86,-8,1.0,8,-110,1081,18,D
145,2019.12.03,,07.31.57,17,5G,-86,-8,1.0,14,-75,271,10,D
147,2019.12.03,,07.31.59,17,5G,-83,-9,18.0,14,-75,276,10,D
149,2019.12.03,,07.32.02,17,5G,-88,-10,14.0,14,-75,1595,13,D
150,2019.12.03,,07.32.03,17,5G,-88,-10,13.0,12,-74,279,10,D
152,2019.12.03,,07.32.05,17,5G,-91,-9,7.0,12,-74,2444,28,D
153,2019.12.03,,07.32.06,17,5G,-91,-9,7.0,14,-77,273,8,D
155,2019.12.03,,07.32.08,17,5G,-93,-11,7.0,15,-110,379,14,D
157,2019.12.03,,07.32.11,17,5G,-95,-12,-2.0,15,-110,1381,23,D
158,2019.12.03,,07.32.13,44,5G,-96,-10,0.0,12,-80,281,10,D
160,2019.12.03,,07.32.15,44,5G,-97,-10,5.0,10,-78,2642,76,D
171,2019.12.03,,07.32.27,42,5G,-97,-12,-1.0,10,-82,1989,77,D
172,2019.12.03,,07.32.28,42,5G,-96,-10,5.0,11,-78,5383,153,D
173,2019.12.03,,07.32.30,46,5G,-93,-9,5.0,11,-78,2569,64,D
175,2019.12.03,,07.32.32,46,5G,-88,-8,6.0,12,-70,274,8,D
177,2019.12.03,,07.32.34,46,5G,-93,-10,1.0,13,-74,272,11,D
179,2019.12.03,,07.32.37,46,5G,-90,-9,2.0,13,-74,273,9,D
180,2019.12.03,,07.32.38,39,5G,-90,-9,2.0,14,-110,273,9,D
182,2019.12.03,,07.32.39,39,5G,-91,-8,13.0,14,-110,2558,60,D
184,2019.12.03,,07.32.41,39,5G,-91,-9,18.0,14,-110,274,9,D
186,2019.12.03,,07.32.44,39,5G,-94,-11,11.0,14,-110,208,6,D
187,2019.12.03,,07.32.45,39,5G,-94,-11,11.0,14,-110,2029,35,D
188,2019.12.03,,07.32.46,39,5G,-93,-8,11.0,15,-110,170,6,D
189,2019.12.03,,07.32.47,36,5G,-93,-8,11.0,15,-110,170,6,D
191,2019.12.03,,07.32.48,36,5G,-95,-10,17.0,15,-77,5893,40,D
192,2019.12.03,,07.32.49,36,5G,-95,-10,17.0,15,-77,68,798,D
193,2019.12.03,,07.32.50,36,5G,-93,-8,16.0,14,-75,274,9,D
195,2019.12.03,,07.32.53,36,5G,-91,-9,1.0,14,-72,279,40,D
196,2019.12.03,,07.32.54,36,5G,-91,-9,1.0,14,-78,4278,25,D
197,2019.12.03,,07.32.55,36,5G,-92,-8,-5.0,14,-78,274,9,D
199,2019.12.03,,07.32.57,36,5G,-92,-11,9.0,14,-78,287,7,D
200,2019.12.03,,07.32.58,36,5G,-92,-11,9.0,14,-78,1496,23,D
202,2019.12.03,,07.33.01,36,5G,-89,-9,22.0,14,-76,172,7,D
204,2019.12.03,,07.33.03,36,5G,-90,-8,18.0,14,-110,276,11,D
205,2019.12.03,,07.33.04,36,5G,-91,-10,20.0,14,-74,4342,32,D
206,2019.12.03,,07.33.05,36,5G,-91,-10,20.0,15,-76,273,9,D
208,2019.12.03,,07.33.07,36,5G,-89,-7,20.0,14,-73,282,10,D
210,2019.12.03,,07.33.10,36,5G,-79,-7,17.0,14,-71,1253,3,D
213,2019.12.03,,07.33.13,36,5G,-85,-9,16.0,11,-69,282,9,D
214,2019.12.03,,07.33.14,36,5G,-85,-9,16.0,11,-69,3396,61,D
215,2019.12.03,,07.33.15,40,5G,-85,-9,16.0,11,-69,3396,61,D
217,2019.12.03,,07.33.16,40,5G,-83,-8,14.0,14,-67,270,4,D
219,2019.12.03,,07.33.19,40,5G,-79,-9,12.0,14,-67,2767,36,D
222,2019.12.03,,07.33.22,40,5G,-74,-8,16.0,15,-65,2024,25,D
224,2019.12.03,,07.33.24,40,5G,-75,-8,6.0,9,-67,273,11,D
226,2019.12.03,,07.33.27,40,5G,-89,-11,14.0,15,-76,278,11,D
227,2019.12.03,,07.33.27,31,5G,-89,-11,14.0,15,-76,278,11,D
229,2019.12.03,,07.33.29,31,5G,-82,-7,18.0,15,-76,1943,42,D
231,2019.12.03,,07.33.31,31,5G,-89,-8,18.0,15,-74,285,10,D
232,2019.12.03,,07.33.32,31,5G,-89,-8,18.0,15,-74,2100,31,D
233,2019.12.03,,07.33.33,31,5G,-83,-8,8.0,15,-68,271,9,D
236,2019.12.03,,07.33.37,31,5G,-87,-8,10.0,15,-110,1510,23,D
238,2019.12.03,,07.33.39,31,5G,-92,-9,19.0,12,-70,275,10,D
239,2019.12.03,,07.33.40,24,5G,-92,-9,19.0,12,-70,275,10,D
241,2019.12.03,,07.33.41,24,5G,-86,-10,11.0,15,-68,271,9,D
242,2019.12.03,,07.33.42,24,5G,-87,-8,1.0,15,-68,1564,25,D
