,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
0,2019.12.04,,07.26.30,0,5G,-101,-16,9.0,12,-89,234,52,D,
3,2019.12.04,,07.26.31,1,5G,-99,-15,3.0,12,-89,58,53,D,
6,2019.12.04,,07.26.35,1,5G,-99,-10,9.0,12,-89,379,115,D,
7,2019.12.04,,07.26.36,1,5G,-99,-10,9.0,12,-89,219,2,D,
9,2019.12.04,,07.26.38,1,5G,-98,-11,11.0,11,-91,523,196,D,
10,2019.12.04,,07.26.39,1,5G,-98,-10,14.0,11,-89,5596,262,D,
11,2019.12.04,,07.26.40,1,5G,-98,-10,14.0,11,-89,36,2,D,
13,2019.12.04,,07.26.42,1,5G,-98,-10,7.0,11,-89,16,11,D,
14,2019.12.04,,07.26.43,1,5G,-98,-10,6.0,11,-89,68,10,D,
15,2019.12.04,,07.26.44,1,5G,-98,-10,6.0,11,-89,1863,120,D,
17,2019.12.04,,07.26.47,1,5G,-99,-10,-6.0,10,-91,216,62,D,
18,2019.12.04,,07.26.48,1,5G,-99,-13,2.0,10,-91,14238,346,D,
19,2019.12.04,,07.26.49,1,5G,-99,-13,2.0,10,-91,438,50,D,
20,2019.12.04,,07.26.50,1,5G,-99,-12,11.0,10,-91,43700,960,D,
21,2019.12.04,,07.26.51,1,5G,-99,-12,11.0,10,-91,40546,1883,D,
22,2019.12.04,,07.26.52,1,5G,-100,-10,2.0,10,-91,16573,191,D,
25,2019.12.04,,07.26.56,1,5G,-99,-10,4.0,12,-89,1186,43,D,
27,2019.12.04,,07.26.58,1,5G,-99,-10,5.0,12,-89,274,9,D,
29,2019.12.04,,07.27.00,1,5G,-99,-10,4.0,12,-87,2802,33,D,
31,2019.12.04,,07.27.02,1,5G,-100,-10,9.0,12,-88,272,10,D,
32,2019.12.04,,07.27.04,1,5G,-97,-11,7.0,12,-88,276,10,D,
35,2019.12.04,,07.27.07,1,5G,-98,-10,14.0,13,-92,276,4,D,
37,2019.12.04,,07.27.09,1,5G,-99,-10,10.0,12,-92,2576,59,D,
39,2019.12.04,,07.27.11,1,5G,-101,-11,7.0,14,-92,330,43,D,
41,2019.12.04,,07.27.14,1,5G,-99,-9,16.0,14,-92,2773,29,D,
