,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
4,2019.12.04,,,14.24.24,,2,5G,-94,-14,14.0,13,-85,35,11,D
5,2019.12.04,,,14.24.25,,2,5G,-93,-11,8.0,13,-85,481,165,D
6,2019.12.04,,,14.24.26,,2,5G,-93,-11,8.0,13,-85,2257,77,D
8,2019.12.04,,,14.24.28,,2,5G,-94,-16,1.0,13,-85,736,234,D
9,2019.12.04,,,14.24.29,,2,5G,-94,-13,8.0,13,-85,265,63,D
10,2019.12.04,,,14.24.30,,2,5G,-94,-13,8.0,13,-85,28043,563,D
11,2019.12.04,,,14.24.31,,2,5G,-94,-14,-2.0,13,-85,2309,61,D
12,2019.12.04,,,14.24.32,,2,5G,-94,-14,-2.0,13,-85,61439,880,D
13,2019.12.04,,,14.24.33,,2,5G,-94,-15,-4.0,13,-85,48713,2103,D
14,2019.12.04,,,14.24.35,,2,5G,-94,-15,-4.0,13,-85,28724,310,D
18,2019.12.04,,,14.24.39,,2,5G,-93,-13,5.0,13,-85,29,10,D
19,2019.12.04,,,14.24.40,,2,5G,-94,-15,7.0,9,-88,280,5,D
21,2019.12.04,,,14.24.42,,2,5G,-93,-14,6.0,9,-88,275,7,D
23,2019.12.04,,,14.24.45,,2,5G,-93,-14,5.0,11,-86,6034,48,D
25,2019.12.04,,,14.24.47,,2,5G,-93,-12,9.0,12,-88,274,6,D
27,2019.12.04,,,14.24.49,,2,5G,-94,-13,2.0,14,-86,2519,24,D
28,2019.12.04,,,14.24.50,,2,5G,-94,-13,2.0,14,-86,272,9,D
29,2019.12.04,,,14.24.52,,2,5G,-93,-13,3.0,9,-88,1509,17,D
30,2019.12.04,,,14.24.53,,2,5G,-93,-13,3.0,9,-88,273,9,D
31,2019.12.04,,,14.24.54,,2,5G,-93,-14,2.0,9,-88,40,17,D
32,2019.12.04,,,14.24.55,,2,5G,-93,-14,2.0,9,-88,1623,24,D
34,2019.12.04,,,14.24.57,,2,5G,-92,-15,-1.0,12,-86,274,5,D
36,2019.12.04,,,14.24.59,,2,5G,-93,-11,8.0,12,-86,2482,18,D
37,2019.12.04,,,14.25.01,,2,5G,-93,-14,1.0,12,-86,274,5,D
39,2019.12.04,,,14.25.03,,2,5G,-93,-13,4.0,12,-86,274,6,D
40,2019.12.04,,,14.25.04,,2,5G,-93,-13,4.0,12,-86,1154,9,D
41,2019.12.04,,,14.25.05,,2,5G,-93,-15,0.0,12,-86,273,5,D
42,2019.12.04,,,14.25.06,,2,5G,-93,-15,0.0,12,-86,6478,53,D
44,2019.12.04,,,14.25.09,,2,5G,-93,-16,-3.0,12,-86,276,5,D
46,2019.12.04,,,14.25.11,,2,5G,-92,-14,-8.0,12,-86,273,10,D
47,2019.12.04,,,14.25.12,,2,5G,-93,-12,6.0,12,-86,405,2,D
49,2019.12.04,,,14.25.14,,2,5G,-92,-13,8.0,12,-86,271,10,D
51,2019.12.04,,,14.25.17,,2,5G,-97,-15,0.0,11,-89,2612,33,D
53,2019.12.04,,,14.25.19,,2,5G,-95,-16,-5.0,13,-87,274,8,D
55,2019.12.04,,,14.25.21,,2,5G,-93,-16,0.0,11,-84,274,9,D
56,2019.12.04,,,14.25.22,,2,5G,-93,-16,0.0,11,-84,2260,24,D
57,2019.12.04,,,14.25.23,,2,5G,-93,-12,5.0,10,-87,271,9,D
58,2019.12.04,,,14.25.24,,2,5G,-93,-12,5.0,14,-81,2271,30,D
60,2019.12.04,,,14.25.27,,2,5G,-97,-12,-3.0,9,-,274,9,D
62,2019.12.04,,,14.25.29,,2,5G,-94,-15,-5.0,9,-,6990,41,D
63,2019.12.04,,,14.25.30,,2,5G,-96,-11,3.0,9,-,276,9,D
65,2019.12.04,,,14.25.32,,2,5G,-97,-17,2.0,11,-74,275,9,D
66,2019.12.04,,,14.25.34,,2,5G,-97,-17,2.0,11,-74,45,1572,D
67,2019.12.04,,,14.25.35,,2,5G,-95,-12,0.0,11,-74,5681,34,D
