,Unnamed: 0,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
1024,1024,2019.12.02,Day2,07:26:15,0,LTE,-93,-7.0,8.0,12,-78,28,6,D,
1025,1025,2019.12.02,Day2,07:26:15,0,LTE,-96,-7.0,8.0,12,-78,28,6,D,
1027,1027,2019.12.02,Day2,07:26:16,1,LTE,-96,-7.0,8.0,12,-78,340,23,D,
1026,1026,2019.12.02,Day2,07:26:16,1,LTE,-96,-7.0,8.0,12,-78,28,6,D,
1028,1028,2019.12.02,Day2,07:26:17,1,LTE,-93,-9.0,6.0,11,-76,78,135,D,
1029,1029,2019.12.02,Day2,07:26:18,1,LTE,-93,-9.0,6.0,11,-76,347,98,D,
1030,1030,2019.12.02,Day2,07:26:19,1,LTE,-93,-8.0,8.0,11,-76,2424,278,D,
1031,1031,2019.12.02,Day2,07:26:20,1,LTE,-93,-8.0,8.0,9,-78,42,145,D,
1032,1032,2019.12.02,Day2,07:26:21,1,LTE,-95,-7.0,8.0,9,-78,591,311,D,
1033,1033,2019.12.02,Day2,07:26:22,1,LTE,-95,-7.0,8.0,9,-78,71,403,D,
1034,1034,2019.12.02,Day2,07:26:25,1,LTE,-95,-8.0,8.0,9,-78,20374,613,D,
1035,1035,2019.12.02,Day2,07:26:26,1,LTE,-94,-9.0,7.0,9,-78,36962,728,D,
1036,1036,2019.12.02,Day2,07:26:27,1,LTE,-94,-9.0,7.0,9,-78,24258,2016,D,
1037,1037,2019.12.02,Day2,07:26:28,1,LTE,-94,-11.0,7.0,9,-78,4494,94,D,
1038,1038,2019.12.02,Day2,07:26:29,1,LTE,-94,-11.0,7.0,9,-78,280,6,D,
6808,6808,2019.12.04,Day4,07:26:30,0,5G,-101,-16.0,9.0,12,-89,234,52,D,
1039,1039,2019.12.02,Day2,07:26:30,1,LTE,-95,-8.0,7.0,9,-78,2538,27,D,
6809,6809,2019.12.04,Day4,07:26:31,1,5G,-99,-15.0,3.0,12,-89,58,53,D,
1040,1040,2019.12.02,Day2,07:26:31,1,LTE,-95,-8.0,7.0,9,-78,280,6,D,
6810,6810,2019.12.04,Day4,07:26:35,1,5G,-99,-10.0,9.0,12,-89,379,115,D,
1041,1041,2019.12.02,Day2,07:26:35,1,LTE,-93,-8.0,6.0,10,-75,1585,24,D,
6811,6811,2019.12.04,Day4,07:26:36,1,5G,-99,-10.0,9.0,12,-89,219,2,D,
1042,1042,2019.12.02,Day2,07:26:37,1,LTE,-92,-9.0,5.0,9,-78,2014,73,D,
6812,6812,2019.12.04,Day4,07:26:38,1,5G,-98,-11.0,11.0,11,-91,523,196,D,
6813,6813,2019.12.04,Day4,07:26:39,1,5G,-98,-10.0,14.0,11,-89,5596,262,D,
1043,1043,2019.12.02,Day2,07:26:39,1,LTE,-94,-10.0,7.0,10,-77,283,11,D,
6814,6814,2019.12.04,Day4,07:26:40,1,5G,-98,-10.0,14.0,11,-89,36,2,D,
1044,1044,2019.12.02,Day2,07:26:40,1,LTE,-94,-10.0,7.0,10,-75,279,10,D,
6815,6815,2019.12.04,Day4,07:26:42,1,5G,-98,-10.0,7.0,11,-89,16,11,D,
6816,6816,2019.12.04,Day4,07:26:43,1,5G,-98,-10.0,6.0,11,-89,68,10,D,
1045,1045,2019.12.02,Day2,07:26:43,1,LTE,-94,-12.0,6.0,10,-77,281,10,D,
6817,6817,2019.12.04,Day4,07:26:44,1,5G,-98,-10.0,6.0,11,-89,1863,120,D,
1046,1046,2019.12.02,Day2,07:26:45,1,LTE,-94,-9.0,7.0,10,-77,893,26,D,
1047,1047,2019.12.02,Day2,07:26:46,1,LTE,-94,-12.0,8.0,10,-77,40,17,D,
1048,1048,2019.12.02,Day2,07:26:47,1,LTE,-94,-12.0,8.0,10,-77,283,10,D,
6818,6818,2019.12.04,Day4,07:26:47,1,5G,-99,-10.0,-6.0,10,-91,216,62,D,
6819,6819,2019.12.04,Day4,07:26:48,1,5G,-99,-13.0,2.0,10,-91,14238,346,D,
1049,1049,2019.12.02,Day2,07:26:48,1,LTE,-94,-7.0,8.0,10,-77,3254,38,D,
6820,6820,2019.12.04,Day4,07:26:49,1,5G,-99,-13.0,2.0,10,-91,438,50,D,
1050,1050,2019.12.02,Day2,07:26:49,1,LTE,-94,-7.0,8.0,10,-77,282,11,D,
6821,6821,2019.12.04,Day4,07:26:50,1,5G,-99,-12.0,11.0,10,-91,43700,960,D,
1051,1051,2019.12.02,Day2,07:26:50,1,LTE,-95,-8.0,9.0,10,-77,2068,32,D,
6822,6822,2019.12.04,Day4,07:26:51,1,5G,-99,-12.0,11.0,10,-91,40546,1883,D,
6823,6823,2019.12.04,Day4,07:26:52,1,5G,-100,-10.0,2.0,10,-91,16573,191,D,
1052,1052,2019.12.02,Day2,07:26:53,1,LTE,-92,-7.0,8.0,10,-75,280,10,D,
1053,1053,2019.12.02,Day2,07:26:55,1,LTE,-92,-7.0,8.0,10,-75,2197,27,D,
6824,6824,2019.12.04,Day4,07:26:56,1,5G,-99,-10.0,4.0,12,-89,1186,43,D,
1054,1054,2019.12.02,Day2,07:26:57,1,LTE,-93,-8.0,7.0,10,-75,283,13,D,
1055,1055,2019.12.02,Day2,07:26:58,1,LTE,-93,-8.0,7.0,10,-75,133,11,D,
6825,6825,2019.12.04,Day4,07:26:58,1,5G,-99,-10.0,5.0,12,-89,274,9,D,
1056,1056,2019.12.02,Day2,07:27:00,1,LTE,-94,-9.0,5.0,10,-75,278,10,D,
6826,6826,2019.12.04,Day4,07:27:00,1,5G,-99,-10.0,4.0,12,-87,2802,33,D,
1057,1057,2019.12.02,Day2,07:27:02,1,LTE,-94,-8.0,8.0,11,-77,1995,16,D,
6827,6827,2019.12.04,Day4,07:27:02,1,5G,-100,-10.0,9.0,12,-88,272,10,D,
1058,1058,2019.12.02,Day2,07:27:03,1,LTE,-94,-8.0,8.0,11,-77,280,11,D,
6828,6828,2019.12.04,Day4,07:27:04,1,5G,-97,-11.0,7.0,12,-88,276,10,D,
1059,1059,2019.12.02,Day2,07:27:05,1,LTE,-94,-12.0,7.0,11,-77,286,11,D,
1060,1060,2019.12.02,Day2,07:27:06,1,LTE,-94,-9.0,8.0,11,-77,1391,16,D,
1061,1061,2019.12.02,Day2,07:27:07,1,LTE,-94,-9.0,8.0,11,-77,277,10,D,
6829,6829,2019.12.04,Day4,07:27:07,1,5G,-98,-10.0,14.0,13,-92,276,4,D,
6830,6830,2019.12.04,Day4,07:27:09,1,5G,-99,-10.0,10.0,12,-92,2576,59,D,
6831,6831,2019.12.04,Day4,07:27:11,1,5G,-101,-11.0,7.0,14,-92,330,43,D,
