,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
5,2019.11.28,,,07.28.01,,1,5G,-103,-11,6.0,14,-,926,93,D
6,2019.11.28,,,07.28.02,,1,5G,-103,-11,6.0,14,-,2814,146,D
8,2019.11.28,,,07.28.04,,1,5G,-100,-11,1.0,14,-,1872,165,D
9,2019.11.28,,,07.28.05,,1,5G,-100,-9,8.0,14,-,23,4,D
10,2019.11.28,,,07.28.06,,1,5G,-100,-9,8.0,14,-,168,17,D
11,2019.11.28,,,07.28.07,,1,5G,-101,-9,11.0,14,-,2719,167,D
12,2019.11.28,,,07.28.08,,1,5G,-101,-9,11.0,13,-,13321,318,D
14,2019.11.28,,,07.28.10,,1,5G,-100,-10,12.0,13,-,4755,118,D
15,2019.11.28,,,07.28.12,,1,5G,-100,-9,9.0,13,-,39982,628,D
16,2019.11.28,,,07.28.13,,1,5G,-100,-9,9.0,13,-,38234,1949,D
17,2019.11.28,,,07.28.14,,1,5G,-101,-9,9.0,12,-,7677,74,D
23,2019.11.28,,,07.28.21,,1,5G,-99,-10,7.0,12,-,2914,30,D
24,2019.11.28,,,07.28.22,,1,5G,-99,-10,7.0,14,-80,278,6,D
26,2019.11.28,,,07.28.24,,1,5G,-99,-10,10.0,13,-82,279,8,D
28,2019.11.28,,,07.28.26,,1,5G,-99,-13,10.0,13,-82,1048,9,D
29,2019.11.28,,,07.28.27,,1,5G,-99,-10,5.0,10,-84,948,25,D
31,2019.11.28,,,07.28.30,,1,5G,-99,-9,10.0,12,-81,280,8,D
32,2019.11.28,,,07.28.31,,1,5G,-99,-9,10.0,12,-81,1906,42,D
33,2019.11.28,,,07.28.32,,1,5G,-99,-10,9.0,12,-81,278,8,D
35,2019.11.28,,,07.28.34,,1,5G,-98,-10,15.0,12,-81,3337,49,D
36,2019.11.28,,,07.28.35,,1,5G,-98,-10,15.0,12,-81,277,9,D
38,2019.11.28,,,07.28.37,,1,5G,-101,-11,5.0,12,-87,279,9,D
39,2019.11.28,,,07.28.39,,1,5G,-101,-12,8.0,12,-87,1290,29,D
40,2019.11.28,,,07.28.40,,1,5G,-101,-12,8.0,14,-85,281,9,D
42,2019.11.28,,,07.28.42,,1,5G,-99,-10,15.0,12,-,1134,24,D
44,2019.11.28,,,07.28.44,,1,5G,-96,-9,14.0,14,-87,276,9,D
46,2019.11.28,,,07.28.46,,1,5G,-98,-9,11.0,13,-90,1053,23,D
