,Date,Day#_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
0,2019.11.28,,14.53.29,,0,5G,-99,-19,-6.0,8,-88,11,3,D
1,2019.11.28,,14.53.30,,1,5G,-99,-19,-6.0,8,-88,11,3,D
4,2019.11.28,,14.53.32,,1,5G,-98,-18,-9.0,8,-88,85,25,D
5,2019.11.28,,14.53.33,,1,5G,-98,-17,-1.0,8,-88,14591,503,D
6,2019.11.28,,14.53.34,,1,5G,-98,-17,-1.0,8,-88,4704,121,D
7,2019.11.28,,14.53.35,,1,5G,-98,-17,-5.0,8,-86,12,13,D
11,2019.11.28,,14.53.40,,1,5G,-98,-13,0.0,9,-86,1409,52,D
13,2019.11.28,,14.53.42,,1,5G,-98,-15,-3.0,9,-86,44,27,D
14,2019.11.28,,14.53.43,,1,5G,-98,-15,-3.0,5,-84,6792,296,D
17,2019.11.28,,14.53.46,,1,5G,-97,-15,3.0,6,-82,770,105,D
18,2019.11.28,,14.53.47,,1,5G,-97,-15,3.0,10,-,2459,36,D
20,2019.11.28,,14.53.49,,1,5G,-98,-16,0.0,8,-85,881,72,D
22,2019.11.28,,14.53.52,,1,5G,-97,-13,1.0,8,-85,6221,174,D
23,2019.11.28,,14.53.53,,1,5G,-96,-17,5.0,10,-87,11889,305,D
24,2019.11.28,,14.53.54,,1,5G,-96,-17,5.0,10,-87,34121,1618,D
25,2019.11.28,,14.53.55,,1,5G,-97,-15,-2.0,11,-,23930,267,D
26,2019.11.28,,14.53.56,,1,5G,-97,-15,-2.0,11,-,279,5,D
30,2019.11.28,,14.54.01,,1,5G,-97,-13,3.0,8,-87,1816,14,D
32,2019.11.28,,14.54.03,,1,5G,-95,-15,-3.0,8,-87,1668,8,D
33,2019.11.28,,14.54.04,,1,5G,-96,-17,-2.0,10,-85,279,7,D
35,2019.11.28,,14.54.06,,1,5G,-96,-18,-7.0,7,-88,276,3,D
36,2019.11.28,,14.54.08,,1,5G,-96,-18,-7.0,7,-88,1005,8,D
37,2019.11.28,,14.54.09,,1,5G,-98,-17,-4.0,7,-88,279,7,D
39,2019.11.28,,14.54.11,,1,5G,-97,-16,1.0,7,-88,278,4,D
40,2019.11.28,,14.54.12,,1,5G,-97,-16,1.0,7,-88,1849,11,D
