,Unnamed: 0,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
0,0,2019.11.28,Day1,07:28:01,1,5G,-103,-11.0,6.0,14,-110,926,93,D
1,1,2019.11.28,Day1,07:28:02,1,5G,-103,-11.0,6.0,14,-110,2814,146,D
2,2,2019.11.28,Day1,07:28:04,1,5G,-100,-11.0,1.0,14,-110,1872,165,D
3,3,2019.11.28,Day1,07:28:05,1,5G,-100,-9.0,8.0,14,-110,23,4,D
4,4,2019.11.28,Day1,07:28:06,1,5G,-100,-9.0,8.0,14,-110,168,17,D
5,5,2019.11.28,Day1,07:28:07,1,5G,-101,-9.0,11.0,14,-110,2719,167,D
6,6,2019.11.28,Day1,07:28:08,1,5G,-101,-9.0,11.0,13,-110,13321,318,D
7,7,2019.11.28,Day1,07:28:10,1,5G,-100,-10.0,12.0,13,-110,4755,118,D
8,8,2019.11.28,Day1,07:28:12,1,5G,-100,-9.0,9.0,13,-110,39982,628,D
9,9,2019.11.28,Day1,07:28:13,1,5G,-100,-9.0,9.0,13,-110,38234,1949,D
10,10,2019.11.28,Day1,07:28:14,1,5G,-101,-9.0,9.0,12,-110,7677,74,D
11,11,2019.11.28,Day1,07:28:21,1,5G,-99,-10.0,7.0,12,-110,2914,30,D
12,12,2019.11.28,Day1,07:28:22,1,5G,-99,-10.0,7.0,14,-80,278,6,D
13,13,2019.11.28,Day1,07:28:24,1,5G,-99,-10.0,10.0,13,-82,279,8,D
14,14,2019.11.28,Day1,07:28:26,1,5G,-99,-13.0,10.0,13,-82,1048,9,D
15,15,2019.11.28,Day1,07:28:27,1,5G,-99,-10.0,5.0,10,-84,948,25,D
16,16,2019.11.28,Day1,07:28:30,1,5G,-99,-9.0,10.0,12,-81,280,8,D
17,17,2019.11.28,Day1,07:28:31,1,5G,-99,-9.0,10.0,12,-81,1906,42,D
18,18,2019.11.28,Day1,07:28:32,1,5G,-99,-10.0,9.0,12,-81,278,8,D
19,19,2019.11.28,Day1,07:28:34,1,5G,-98,-10.0,15.0,12,-81,3337,49,D
20,20,2019.11.28,Day1,07:28:35,1,5G,-98,-10.0,15.0,12,-81,277,9,D
21,21,2019.11.28,Day1,07:28:37,1,5G,-101,-11.0,5.0,12,-87,279,9,D
22,22,2019.11.28,Day1,07:28:39,1,5G,-101,-12.0,8.0,12,-87,1290,29,D
23,23,2019.11.28,Day1,07:28:40,1,5G,-101,-12.0,8.0,14,-85,281,9,D
24,24,2019.11.28,Day1,07:28:42,1,5G,-99,-10.0,15.0,12,-110,1134,24,D
25,25,2019.11.28,Day1,07:28:44,1,5G,-96,-9.0,14.0,14,-87,276,9,D
26,26,2019.11.28,Day1,07:28:46,1,5G,-98,-9.0,11.0,13,-90,1053,23,D
27,27,2019.11.28,Day1,07:28:48,1,5G,-99,-9.0,13.0,13,-90,280,8,D
28,28,2019.11.28,Day1,07:28:50,1,5G,-99,-9.0,13.0,13,-88,278,8,D
29,29,2019.11.28,Day1,07:28:51,1,5G,-99,-9.0,13.0,13,-88,1137,18,D
30,30,2019.11.28,Day1,07:28:52,1,5G,-100,-10.0,13.0,13,-88,277,7,D
31,31,2019.11.28,Day1,07:28:53,1,5G,-100,-10.0,13.0,13,-90,1050,24,D
32,32,2019.11.28,Day1,07:28:56,1,5G,-98,-9.0,13.0,15,-88,283,9,D
33,33,2019.11.28,Day1,07:28:57,1,5G,-97,-9.0,12.0,14,-86,759,869,D
34,34,2019.11.28,Day1,07:28:58,1,5G,-97,-9.0,12.0,11,-90,311,349,D
35,35,2019.11.28,Day1,07:28:59,1,5G,-102,-10.0,12.0,11,-90,860,18,D
36,36,2019.11.28,Day1,07:29:00,1,5G,-102,-10.0,12.0,12,-88,277,9,D
37,37,2019.11.28,Day1,07:29:02,1,5G,-101,-9.0,9.0,12,-88,855,23,D
38,38,2019.11.28,Day1,07:29:05,1,5G,-100,-10.0,8.0,14,-87,280,10,D
39,39,2019.11.28,Day1,07:29:06,1,5G,-99,-10.0,12.0,14,-87,684,6,D
40,40,2019.11.28,Day1,07:29:08,1,5G,-101,-11.0,8.0,14,-87,275,9,D
41,41,2019.11.28,Day1,07:29:10,1,5G,-99,-9.0,19.0,14,-85,1156,23,D
42,42,2019.11.28,Day1,07:29:11,1,5G,-99,-9.0,19.0,14,-87,280,10,D
43,43,2019.11.28,Day1,07:29:13,1,5G,-97,-10.0,13.0,15,-84,863,33,D
44,44,2019.11.28,Day1,07:29:14,1,5G,-97,-10.0,13.0,15,-79,280,10,D
45,45,2019.11.28,Day1,07:29:16,1,5G,-92,-8.0,22.0,14,-110,1860,33,D
46,46,2019.11.28,Day1,07:29:18,1,5G,-93,-9.0,20.0,15,-79,276,7,D
47,47,2019.11.28,Day1,07:29:19,1,5G,-90,-8.0,10.0,15,-70,1331,24,D
48,48,2019.11.28,Day1,07:29:22,1,5G,-84,-7.0,16.0,14,-65,279,9,D
49,49,2019.11.28,Day1,07:29:23,1,5G,-84,-7.0,16.0,15,-110,1023,20,D
50,50,2019.11.28,Day1,07:29:24,1,5G,-83,-7.0,19.0,15,-66,277,7,D
51,51,2019.11.28,Day1,07:29:26,1,5G,-78,-13.0,7.0,14,-65,280,7,D
52,52,2019.11.28,Day1,07:29:27,1,5G,-78,-13.0,7.0,15,-70,1061,18,D
53,53,2019.11.28,Day1,07:29:28,1,5G,-82,-7.0,10.0,15,-68,280,9,D
54,54,2019.11.28,Day1,07:29:30,1,5G,-82,-7.0,10.0,15,-66,1550,18,D
55,55,2019.11.28,Day1,07:29:31,1,5G,-86,-9.0,21.0,15,-64,281,9,D
56,56,2019.11.28,Day1,07:29:31,34,5G,-86,-9.0,21.0,15,-64,281,9,D
57,57,2019.11.28,Day1,07:29:35,34,5G,-81,-9.0,26.0,15,-65,1038,15,D
58,58,2019.11.28,Day1,07:29:36,34,5G,-81,-9.0,26.0,15,-68,278,8,D
59,59,2019.11.28,Day1,07:29:37,34,5G,-75,-9.0,19.0,15,-62,279,8,D
60,60,2019.11.28,Day1,07:29:39,34,5G,-75,-9.0,19.0,14,-67,596,11,D
61,61,2019.11.28,Day1,07:29:40,34,5G,-84,-7.0,26.0,15,-70,278,10,D
62,62,2019.11.28,Day1,07:29:42,34,5G,-81,-8.0,28.0,15,-68,1136,22,D
63,63,2019.11.28,Day1,07:29:45,34,5G,-83,-8.0,20.0,15,-67,1225,20,D
64,64,2019.11.28,Day1,07:29:46,33,5G,-83,-8.0,20.0,15,-67,1225,20,D
65,65,2019.11.28,Day1,07:29:46,33,5G,-81,-10.0,26.0,15,-67,280,10,D
66,66,2019.11.28,Day1,07:29:48,33,5G,-81,-10.0,26.0,15,-67,277,9,D
67,67,2019.11.28,Day1,07:29:50,33,5G,-78,-9.0,27.0,15,-67,1558,34,D
68,68,2019.11.28,Day1,07:29:52,33,5G,-83,-7.0,14.0,15,-65,279,8,D
69,69,2019.11.28,Day1,07:29:54,33,5G,-83,-8.0,11.0,15,-65,2270,42,D
70,70,2019.11.28,Day1,07:29:56,33,5G,-88,-10.0,21.0,15,-68,279,10,D
71,71,2019.11.28,Day1,07:29:56,40,5G,-88,-10.0,21.0,15,-68,279,10,D
72,72,2019.11.28,Day1,07:29:58,40,5G,-85,-7.0,6.0,14,-69,279,10,D
73,73,2019.11.28,Day1,07:30:00,40,5G,-84,-8.0,7.0,15,-69,1725,33,D
74,74,2019.11.28,Day1,07:30:01,40,5G,-84,-8.0,7.0,14,-73,282,10,D
75,75,2019.11.28,Day1,07:30:03,40,5G,-94,-9.0,-4.0,14,-76,276,10,D
76,76,2019.11.28,Day1,07:30:05,40,5G,-95,-8.0,8.0,14,-81,1004,20,D
77,77,2019.11.28,Day1,07:30:06,40,5G,-95,-8.0,8.0,13,-78,280,9,D
78,78,2019.11.28,Day1,07:30:06,38,5G,-95,-8.0,8.0,13,-78,280,9,D
79,79,2019.11.28,Day1,07:30:08,38,5G,-91,-9.0,3.0,12,-80,1323,33,D
80,80,2019.11.28,Day1,07:30:10,38,5G,-92,-11.0,10.0,13,-110,281,10,D
81,81,2019.11.28,Day1,07:30:11,38,5G,-91,-14.0,8.0,13,-110,739,19,D
82,82,2019.11.28,Day1,07:30:12,38,5G,-91,-14.0,8.0,9,-73,275,9,D
