,Date,Day#_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
5,2019.12.19,,15.00.51,,0,5G,-105,-12,0.0,9,-87,178,128,D
7,2019.12.19,,15.00.53,,0,5G,-104,-14,6.0,9,-87,17780,574,D
8,2019.12.19,,15.00.54,,0,5G,-104,-14,6.0,9,-87,2282,69,D
10,2019.12.19,,15.00.56,,0,5G,-104,-13,0.0,9,-87,3398,233,D
13,2019.12.19,,15.00.59,,0,5G,-104,-17,4.0,9,-87,7350,188,D
14,2019.12.19,,15.01.01,,0,5G,-104,-17,4.0,9,-87,1097,38,D
15,2019.12.19,,15.01.02,,0,5G,-104,-17,-1.0,9,-87,10050,325,D
16,2019.12.19,,15.01.03,,0,5G,-104,-17,-1.0,13,-89,2028,73,D
17,2019.12.19,,15.01.04,,0,5G,-104,-16,0.0,13,-89,4213,112,D
35,2019.12.19,,15.01.24,,0,5G,-102,-12,1.0,11,-89,1074,24,D
36,2019.12.19,,15.01.25,,0,5G,-102,-12,1.0,11,-89,3331,51,D
37,2019.12.19,,15.01.26,,0,5G,-102,-13,3.0,11,-89,323,89,D
38,2019.12.19,,15.01.27,,0,5G,-102,-13,3.0,11,-89,20346,369,D
39,2019.12.19,,15.01.28,,0,5G,-102,-11,-1.0,11,-89,3204,115,D
41,2019.12.19,,15.01.30,,0,5G,-103,-12,3.0,11,-89,871,23,D
46,2019.12.19,,15.01.36,,0,5G,-102,-16,4.0,12,-87,48,18,D
47,2019.12.19,,15.01.37,,0,5G,-102,-17,-4.0,12,-87,28018,589,D
51,2019.12.19,,15.01.42,,0,5G,-101,-17,5.0,13,-90,49885,853,D
52,2019.12.19,,15.01.43,,0,5G,-101,-17,5.0,13,-90,86016,1006,D
53,2019.12.19,,15.01.44,,0,5G,-99,-12,1.0,9,-,81084,832,D
54,2019.12.19,,15.01.45,,0,5G,-99,-12,1.0,9,-,49005,2058,D
55,2019.12.19,,15.01.46,,0,5G,-98,-13,2.0,9,-,66110,628,D
56,2019.12.19,,15.01.47,,0,5G,-98,-13,2.0,9,-,64898,633,D
57,2019.12.19,,15.01.48,,0,5G,-102,-16,2.0,14,-90,64494,599,D
58,2019.12.19,,15.01.49,,0,5G,-102,-16,2.0,14,-90,64400,662,D
59,2019.12.19,,15.01.50,,0,5G,-106,-16,3.0,14,-86,62799,570,D
60,2019.12.19,,15.01.51,,0,5G,-106,-16,3.0,14,-86,63863,614,D
61,2019.12.19,,15.01.52,,0,5G,-105,-19,-2.0,14,-86,62323,566,D
62,2019.12.19,,15.01.53,,0,5G,-105,-19,-2.0,13,-,63844,641,D
63,2019.12.19,,15.01.55,,0,5G,-106,-19,2.0,13,-,44057,2149,D
64,2019.12.19,,15.01.56,,0,5G,-106,-19,2.0,13,-,56154,431,D
65,2019.12.19,,15.01.57,,0,5G,-106,-13,5.0,13,-88,9499,81,D
67,2019.12.19,,15.01.59,,0,5G,-106,-12,4.0,14,-86,5064,55,D
68,2019.12.19,,15.02.00,,0,5G,-106,-12,4.0,14,-86,2196,18,D
69,2019.12.19,,15.02.01,,0,5G,-107,-14,-3.0,14,-86,6772,62,D
70,2019.12.19,,15.02.02,,0,5G,-107,-14,-3.0,14,-84,2142,19,D
71,2019.12.19,,15.02.03,,0,5G,-105,-15,0.0,14,-84,10980,115,D
73,2019.12.19,,15.02.05,,0,5G,-104,-15,0.0,14,-84,7950,78,D
75,2019.12.19,,15.02.07,,0,5G,-104,-19,2.0,14,-84,10586,102,D
77,2019.12.19,,15.02.09,,0,5G,-99,-18,3.0,14,-86,8221,82,D
79,2019.12.19,,15.02.12,,0,5G,-104,-17,3.0,9,-84,10756,100,D
