,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
1,10.54.40,0,5G,-102,-12,0.0,8,-,4,5,D
2,10.54.40,0,5G,-102,-12,0.0,8,-,4,5,D
6,10.54.45,0,5G,-101,-10,8.0,13,-,4824,220,D
7,10.54.46,0,5G,-101,-10,8.0,13,-,18095,469,D
8,10.54.47,0,5G,-100,-10,2.0,10,-,6853,233,D
9,10.54.48,0,5G,-100,-10,2.0,10,-,29203,383,D
10,10.54.49,0,5G,-101,-11,4.0,12,-,69666,702,D
11,10.54.50,0,5G,-101,-11,4.0,12,-,64365,685,D
12,10.54.52,0,5G,-104,-11,0.0,11,-,67191,635,D
13,10.54.53,0,5G,-104,-11,0.0,11,-,47591,1287,D
14,10.54.54,0,5G,-99,-10,9.0,12,-,56,78,D
15,10.54.55,0,5G,-99,-10,9.0,12,-,65,1298,D
16,10.54.56,0,5G,-100,-12,-1.0,11,-,11103,212,D
17,10.54.57,0,5G,-100,-12,-1.0,11,-,48290,571,D
18,10.54.58,0,5G,-101,-10,3.0,9,-,63308,614,D
19,10.54.59,0,5G,-101,-10,3.0,9,-,63223,584,D
20,10.55.00,0,5G,-100,-10,4.0,12,-,66328,593,D
21,10.55.01,0,5G,-100,-10,4.0,12,-,60558,479,D
22,10.55.03,0,5G,-99,-11,11.0,11,-,65016,476,D
23,10.55.04,0,5G,-99,-11,11.0,11,-,62097,432,D
24,10.55.05,0,5G,-100,-11,7.0,11,-,63277,424,D
25,10.55.06,0,5G,-100,-11,7.0,11,-,21913,1694,D
26,10.55.08,0,5G,-99,-11,5.0,14,-,58381,397,D
27,10.55.09,0,5G,-99,-11,5.0,14,-,41272,267,D
29,10.55.11,0,5G,-99,-10,5.0,12,-,10842,70,D
31,10.55.14,0,5G,-99,-11,3.0,14,-,5368,31,D
32,10.55.15,0,5G,-100,-11,2.0,9,-,10559,79,D
34,10.55.17,0,5G,-99,-10,4.0,14,-,10660,70,D
36,10.55.20,0,5G,-100,-11,4.0,14,-,8491,49,D
37,10.55.21,0,5G,-100,-11,4.0,14,-,10921,80,D
39,10.55.23,0,5G,-100,-13,-1.0,14,-,9985,64,D
40,10.55.24,0,5G,-101,-12,0.0,12,-,263,8,D
41,10.55.26,0,5G,-101,-12,0.0,12,-,3607,20,D
42,10.55.27,0,5G,-102,-10,-4.0,13,-,9247,58,D
44,10.55.29,0,5G,-101,-11,1.0,9,-,11109,70,D
46,10.55.32,0,5G,-100,-12,3.0,11,-,5227,31,D
47,10.55.33,0,5G,-100,-12,3.0,11,-,11042,85,D
49,10.55.35,0,5G,-101,-11,8.0,12,-,10032,74,D
50,10.55.37,0,5G,-101,-12,-3.0,9,-,1359,18,D
51,10.55.38,0,5G,-101,-12,-3.0,9,-,1889,1129,D
52,10.55.39,0,5G,-101,-10,-6.0,13,-,8178,1176,D
53,10.55.40,0,5G,-101,-10,-6.0,13,-,22,1112,D
54,10.55.41,0,5G,-101,-13,-6.0,14,-,12774,1226,D
55,10.55.43,0,5G,-101,-13,-6.0,14,-,321,2,D
57,10.55.45,0,5G,-102,-12,1.0,14,-,10593,77,D
59,10.55.47,0,5G,-101,-11,6.0,11,-,10405,79,D
60,10.55.49,0,5G,-101,-10,6.0,13,-,5253,61,D
62,10.55.51,0,5G,-101,-11,-1.0,14,-,9400,70,D
64,10.55.53,0,5G,-101,-11,1.0,12,-,9821,69,D
66,10.55.56,0,5G,-101,-11,3.0,14,-,4603,26,D
67,10.55.57,0,5G,-101,-11,3.0,14,-,10724,83,D
69,10.55.59,0,5G,-102,-10,6.0,12,-,7216,61,D
71,10.56.02,0,5G,-101,-10,4.0,12,-,5343,32,D
72,10.56.03,0,5G,-101,-12,-1.0,12,-,10915,89,D
74,10.56.05,0,5G,-101,-11,4.0,12,-,11939,80,D
75,10.56.07,0,5G,-101,-11,4.0,12,-,3783,255,D
76,10.56.08,0,5G,-101,-12,3.0,12,-,1459,8,D
77,10.56.09,0,5G,-101,-12,3.0,12,-,10598,95,D
79,10.56.11,0,5G,-101,-11,1.0,13,-,10415,86,D
80,10.56.13,0,5G,-101,-10,-3.0,11,-,164,10,D
81,10.56.14,0,5G,-101,-10,-3.0,11,-,2280,15,D
82,10.56.15,0,5G,-102,-12,-2.0,14,-,9431,70,D
84,10.56.18,0,5G,-101,-11,-1.0,10,-,11217,84,D
85,10.56.19,0,5G,-101,-11,-1.0,10,-,7311,63,D
87,10.56.21,0,5G,-101,-11,4.0,11,-,10473,86,D
89,10.56.24,0,5G,-101,-11,3.0,12,-,10235,79,D
90,10.56.25,0,5G,-101,-12,-2.0,13,-,4568,46,D
92,10.56.27,0,5G,-101,-13,-3.0,12,-,10614,100,D
94,10.56.30,0,5G,-101,-15,-4.0,12,-,9425,47,D
95,10.56.31,0,5G,-101,-15,-4.0,12,-,8322,63,D
97,10.56.33,0,5G,-101,-13,-4.0,13,-,12254,88,D
99,10.56.36,0,5G,-101,-12,0.0,12,-,9585,70,D
100,10.56.37,0,5G,-101,-14,-4.0,11,-,5020,40,D
102,10.56.39,0,5G,-101,-14,-3.0,10,-,10128,75,D
104,10.56.42,0,5G,-101,-14,-3.0,14,-,9881,54,D
105,10.56.43,0,5G,-101,-14,-3.0,14,-,5528,48,D
106,10.56.44,0,5G,-101,-12,-5.0,12,-,722,5,D
107,10.56.45,0,5G,-101,-12,-5.0,12,-,9870,80,D
109,10.56.48,0,5G,-101,-12,-5.0,13,-,10532,68,D
110,10.56.49,0,5G,-102,-13,-5.0,11,-,4270,52,D
111,10.56.50,0,5G,-102,-13,-5.0,11,-,128,1,D
112,10.56.51,0,5G,-101,-13,-3.0,11,-,10220,86,D
114,10.56.54,0,5G,-101,-12,-4.0,11,-,10587,73,D
115,10.56.55,0,5G,-101,-12,-4.0,11,-,10679,81,D
117,10.56.57,0,5G,-101,-14,-1.0,13,-,9980,82,D
119,10.57.00,0,5G,-101,-10,-4.0,9,-,10477,74,D
120,10.57.01,0,5G,-102,-14,-2.0,12,-,7809,66,D
122,10.57.03,0,5G,-100,-14,1.0,13,-,10624,78,D
124,10.57.06,0,5G,-100,-13,-3.0,13,-,9435,1154,D
125,10.57.07,0,5G,-100,-13,-3.0,13,-,11046,77,D
127,10.57.09,0,5G,-101,-12,-2.0,11,-,10624,86,D
129,10.57.12,0,5G,-99,-11,5.0,12,-,5022,33,D
130,10.57.13,0,5G,-99,-11,4.0,11,-,10316,73,D
132,10.57.15,0,5G,-99,-12,-2.0,13,-,10343,88,D
134,10.57.18,0,5G,-100,-12,0.0,13,-,6225,38,D
135,10.57.19,0,5G,-100,-12,0.0,13,-,10633,80,D
137,10.57.21,0,5G,-99,-12,2.0,14,-,10575,85,D
139,10.57.24,0,5G,-100,-13,0.0,12,-,3224,15,D
140,10.57.25,0,5G,-100,-12,-2.0,14,-,9887,77,D
142,10.57.27,0,5G,-101,-11,1.0,14,-,11441,75,D
143,10.57.29,0,5G,-101,-11,1.0,14,-,452,19,D
144,10.57.30,0,5G,-101,-14,-5.0,10,-,1700,9,D
145,10.57.31,0,5G,-101,-14,-5.0,10,-,8179,67,D
147,10.57.34,0,5G,-100,-11,-1.0,15,-,11720,77,D
148,10.57.35,0,5G,-101,-13,0.0,14,-,6115,53,D
150,10.57.37,0,5G,-100,-13,-2.0,13,-,11028,87,D
152,10.57.39,0,5G,-99,-12,5.0,11,-,10586,76,D
153,10.57.41,0,5G,-99,-12,5.0,11,-,417,15,D
154,10.57.42,0,5G,-101,-9,6.0,12,-,4162,22,D
155,10.57.43,0,5G,-101,-9,6.0,12,-,9984,84,D
157,10.57.46,0,5G,-101,-12,-2.0,11,-,11890,84,D
158,10.57.47,0,5G,-101,-11,0.0,13,-,7140,65,D
160,10.57.49,0,5G,-101,-11,8.0,12,-,2609,52,D
161,10.57.50,0,5G,-101,-11,8.0,12,-,13962,126,D
162,10.57.52,0,5G,-100,-11,5.0,15,-,78,14,D
163,10.57.53,0,5G,-100,-11,5.0,15,-,7952,65,D
165,10.57.55,0,5G,-100,-10,0.0,15,-,10878,123,D
167,10.57.58,0,5G,-100,-11,4.0,12,-,10776,68,D
168,10.57.59,0,5G,-101,-11,-8.0,11,-,10001,79,D
170,10.58.01,0,5G,-100,-12,2.0,11,-,10338,68,D
172,10.58.04,0,5G,-101,-13,2.0,12,-,10491,63,D
173,10.58.05,0,5G,-101,-13,2.0,12,-,6161,60,D
174,10.58.06,0,5G,-100,-12,2.0,13,-,35,1092,D
175,10.58.07,0,5G,-100,-12,2.0,13,-,10557,75,D
177,10.58.10,0,5G,-100,-13,-4.0,10,-,9162,61,D
178,10.58.11,0,5G,-99,-12,5.0,15,-,7150,66,D
180,10.58.13,0,5G,-100,-11,4.0,12,-,9518,82,D
182,10.58.16,0,5G,-99,-11,3.0,11,-,11648,80,D
183,10.58.17,0,5G,-99,-11,3.0,11,-,7464,69,D
185,10.58.19,0,5G,-99,-13,-1.0,11,-,10767,82,D
187,10.58.22,0,5G,-99,-10,3.0,11,-,6021,28,D
