,Date,Day#_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
6,2020.01.06,,11.08.16,,0,5G,-97,-10,14.0,14,-,2851,275,D
7,2020.01.06,,11.08.18,,0,5G,-97,-10,14.0,14,-,908,34,D
8,2020.01.06,,11.08.19,,0,5G,-97,-11,-7.0,14,-,1168,110,D
9,2020.01.06,,11.08.20,,0,5G,-97,-11,-7.0,14,-,1899,114,D
10,2020.01.06,,11.08.21,,0,5G,-97,-11,-7.0,14,-,153802,1102,D
11,2020.01.06,,11.08.22,,0,5G,-97,-11,-7.0,14,-,88740,1902,D
12,2020.01.06,,11.08.23,,0,5G,-97,-11,-7.0,14,-,67381,156,D
14,2020.01.06,,11.08.25,,0,5G,-97,-11,-7.0,14,-,4072,20,D
18,2020.01.06,,11.08.29,,0,5G,-97,-11,-7.0,14,-,4020,19,D
19,2020.01.06,,11.08.30,,0,5G,-97,-11,-7.0,14,-,5813,16,D
21,2020.01.06,,11.08.33,,0,5G,-97,-11,-7.0,14,-,292,6,D
22,2020.01.06,,11.08.34,,0,5G,-97,-11,-7.0,14,-,2920,19,D
25,2020.01.06,,11.08.37,,0,5G,-97,-11,-7.0,14,-,3840,70,D
27,2020.01.06,,11.08.39,,0,5G,-97,-11,-7.0,14,-,277,8,D
29,2020.01.06,,11.08.41,,0,5G,-97,-11,-7.0,14,-,7632,40,D
31,2020.01.06,,11.08.43,,0,5G,-97,-11,-7.0,14,-,278,14,D
32,2020.01.06,,11.08.44,,0,5G,-97,-11,-7.0,14,-,4297,19,D
34,2020.01.06,,11.08.46,,0,5G,-97,-11,-7.0,14,-,4072,22,D
36,2020.01.06,,11.08.49,,0,5G,-97,-11,-7.0,14,-,278,8,D
38,2020.01.06,,11.08.51,,0,5G,-97,-11,-7.0,14,-,13690,59,D
40,2020.01.06,,11.08.53,,0,5G,-97,-11,-7.0,14,-,5887,41,D
41,2020.01.06,,11.08.54,,0,5G,-97,-11,-7.0,14,-,275,7,D
42,2020.01.06,,11.08.55,,0,5G,-97,-11,-7.0,14,-,3081,16,D
44,2020.01.06,,11.08.57,,0,5G,-97,-11,-7.0,14,-,278,14,D
45,2020.01.06,,11.08.58,,0,5G,-97,-11,-7.0,14,-,5270,19,D
47,2020.01.06,,11.09.00,,0,5G,-97,-11,-7.0,14,-,77,24,D
49,2020.01.06,,11.09.02,,0,5G,-97,-11,-7.0,14,-,273,7,D
51,2020.01.06,,11.09.05,,0,5G,-97,-11,-7.0,14,-,4407,24,D
52,2020.01.06,,11.09.06,,0,5G,-97,-11,-7.0,14,-,276,7,D
55,2020.01.06,,11.09.09,,0,5G,-97,-11,-7.0,14,-,3599,23,D
56,2020.01.06,,11.09.10,,0,5G,-97,-11,-7.0,14,-,277,7,D
59,2020.01.06,,11.09.13,,0,5G,-97,-11,-7.0,14,-,2723,27,D
60,2020.01.06,,11.09.14,,0,5G,-97,-11,-7.0,14,-,278,8,D
61,2020.01.06,,11.09.15,,0,5G,-97,-11,-7.0,14,-,4195,27,D
64,2020.01.06,,11.09.18,,0,5G,-97,-11,-7.0,14,-,279,8,D
66,2020.01.06,,11.09.21,,0,5G,-97,-11,-7.0,14,-,4633,1606,D
67,2020.01.06,,11.09.22,,0,5G,-97,-11,-7.0,14,-,18,2,D
68,2020.01.06,,11.09.23,,0,5G,-97,-11,-7.0,14,-,280,8,D
70,2020.01.06,,11.09.25,,0,5G,-97,-11,-7.0,14,-,8978,44,D
72,2020.01.06,,11.09.27,,0,5G,-97,-11,-7.0,14,-,274,8,D
74,2020.01.06,,11.09.29,,0,5G,-97,-11,-7.0,14,-,9618,42,D
77,2020.01.06,,11.09.32,,0,5G,-97,-11,-7.0,14,-,170,6,D
78,2020.01.06,,11.09.33,,0,5G,-97,-11,-7.0,14,-,3982,23,D
79,2020.01.06,,11.09.35,,0,5G,-97,-11,-7.0,14,-,944,4,D
81,2020.01.06,,11.09.37,,0,5G,-97,-11,-7.0,14,-,276,8,D
83,2020.01.06,,11.09.39,,0,5G,-97,-11,-7.0,14,-,4586,35,D
85,2020.01.06,,11.09.41,,0,5G,-97,-11,-7.0,14,-,2892,23,D
87,2020.01.06,,11.09.43,,0,5G,-97,-11,-7.0,14,-,276,8,D
88,2020.01.06,,11.09.44,,0,5G,-97,-11,-7.0,14,-,278,7,D
89,2020.01.06,,11.09.45,,0,5G,-97,-11,-7.0,14,-,4772,25,D
92,2020.01.06,,11.09.48,,0,5G,-97,-11,-7.0,14,-,5669,28,D
94,2020.01.06,,11.09.51,,0,5G,-97,-11,-7.0,14,-,278,7,D
95,2020.01.06,,11.09.52,,0,5G,-97,-11,-7.0,14,-,275,7,D
96,2020.01.06,,11.09.53,,0,5G,-97,-11,-7.0,14,-,3469,23,D
97,2020.01.06,,11.09.54,,0,5G,-97,-11,-7.0,14,-,284,13,D
100,2020.01.06,,11.09.57,,0,5G,-97,-11,-7.0,14,-,3990,23,D
101,2020.01.06,,11.09.58,,0,5G,-97,-11,-7.0,14,-,275,8,D
104,2020.01.06,,11.10.01,,0,5G,-97,-11,-7.0,14,-,1596,17,D
105,2020.01.06,,11.10.02,,0,5G,-97,-11,-7.0,14,-,240,11,D
106,2020.01.06,,11.10.03,,0,5G,-97,-11,-7.0,14,-,8290,29,D
107,2020.01.06,,11.10.05,,0,5G,-97,-11,-7.0,14,-,290,8,D
109,2020.01.06,,11.10.07,,0,5G,-97,-11,-7.0,14,-,3588,18,D
111,2020.01.06,,11.10.09,,0,5G,-97,-11,-7.0,14,-,278,8,D
113,2020.01.06,,11.10.11,,0,5G,-97,-11,-7.0,14,-,7983,33,D
114,2020.01.06,,11.10.12,,0,5G,-97,-11,-7.0,14,-,278,4,D
116,2020.01.06,,11.10.14,,0,5G,-97,-11,-7.0,14,-,275,7,D
118,2020.01.06,,11.10.16,,0,5G,-97,-11,-7.0,14,-,109,9,D
120,2020.01.06,,11.10.18,,0,5G,-97,-11,-7.0,14,-,5312,32,D
122,2020.01.06,,11.10.21,,0,5G,-97,-11,-7.0,14,-,10338,866,D
124,2020.01.06,,11.10.23,,0,5G,-97,-11,-7.0,14,-,277,8,D
126,2020.01.06,,11.10.25,,0,5G,-97,-11,-7.0,14,-,12812,41,D
128,2020.01.06,,11.10.27,,0,5G,-97,-11,-7.0,14,-,278,4,D
129,2020.01.06,,11.10.28,,0,5G,-97,-11,-7.0,14,-,278,3,D
131,2020.01.06,,11.10.30,,0,5G,-97,-11,-7.0,14,-,112,8,D
133,2020.01.06,,11.10.32,,0,5G,-97,-11,-7.0,14,-,277,4,D
135,2020.01.06,,11.10.35,,0,5G,-97,-11,-7.0,14,-,1054,19,D
137,2020.01.06,,11.10.37,,0,5G,-97,-11,-7.0,14,-,278,8,D
139,2020.01.06,,11.10.39,,0,5G,-97,-11,-7.0,14,-,276,8,D
141,2020.01.06,,11.10.41,,0,5G,-97,-11,-7.0,14,-,4396,29,D
143,2020.01.06,,11.10.43,,0,5G,-97,-11,-7.0,14,-,276,8,D
145,2020.01.06,,11.10.45,,0,5G,-97,-11,-7.0,14,-,4040,24,D
146,2020.01.06,,11.10.46,,0,5G,-97,-11,-7.0,14,-,275,7,D
148,2020.01.06,,11.10.49,,0,5G,-97,-11,-7.0,14,-,9926,35,D
149,2020.01.06,,11.10.50,,0,5G,-97,-11,-7.0,14,-,280,7,D
152,2020.01.06,,11.10.53,,0,5G,-97,-11,-7.0,14,-,8106,42,D
154,2020.01.06,,11.10.55,,0,5G,-97,-11,-7.0,14,-,279,8,D
156,2020.01.06,,11.10.57,,0,5G,-97,-11,-7.0,14,-,9997,45,D
158,2020.01.06,,11.10.59,,0,5G,-97,-11,-7.0,14,-,555,15,D
159,2020.01.06,,11.11.00,,0,5G,-97,-11,-7.0,14,-,3305,23,D
161,2020.01.06,,11.11.02,,0,5G,-97,-11,-7.0,14,-,276,7,D
163,2020.01.06,,11.11.05,,0,5G,-97,-11,-7.0,14,-,6097,28,D
165,2020.01.06,,11.11.07,,0,5G,-97,-11,-7.0,14,-,279,8,D
167,2020.01.06,,11.11.09,,0,5G,-97,-11,-7.0,14,-,3827,27,D
169,2020.01.06,,11.11.11,,0,5G,-97,-11,-7.0,14,-,5249,24,D
171,2020.01.06,,11.11.13,,0,5G,-97,-11,-7.0,14,-,277,7,D
173,2020.01.06,,11.11.15,,0,5G,-97,-11,-7.0,14,-,5988,32,D
176,2020.01.06,,11.11.19,,0,5G,-97,-11,-7.0,14,-,2827,21,D
177,2020.01.06,,11.11.20,,0,5G,-97,-11,-7.0,14,-,44,17,D
178,2020.01.06,,11.11.21,,0,5G,-97,-11,-7.0,14,-,8040,871,D
179,2020.01.06,,11.11.22,,0,5G,-97,-11,-7.0,14,-,40,9,D
180,2020.01.06,,11.11.23,,0,5G,-97,-11,-7.0,14,-,321,1635,D
181,2020.01.06,,11.11.24,,0,5G,-97,-11,-7.0,14,-,317,1121,D
182,2020.01.06,,11.11.25,,0,5G,-97,-11,-7.0,14,-,5059,26,D
184,2020.01.06,,11.11.27,,0,5G,-97,-11,-7.0,14,-,92,2,D
186,2020.01.06,,11.11.29,,0,5G,-97,-11,-7.0,14,-,8257,31,D
187,2020.01.06,,11.11.30,,0,5G,-97,-11,-7.0,14,-,184,2,D
189,2020.01.06,,11.11.33,,0,5G,-97,-11,-7.0,14,-,3373,24,D
191,2020.01.06,,11.11.35,,0,5G,-97,-11,-7.0,14,-,275,8,D
193,2020.01.06,,11.11.37,,0,5G,-97,-11,-7.0,14,-,277,8,D
194,2020.01.06,,11.11.38,,0,5G,-97,-11,-7.0,14,-,5785,38,D
197,2020.01.06,,11.11.41,,0,5G,-97,-11,-7.0,14,-,4093,41,D
199,2020.01.06,,11.11.43,,0,5G,-97,-11,-7.0,14,-,2276,20,D
200,2020.01.06,,11.11.44,,0,5G,-97,-11,-7.0,14,-,280,8,D
202,2020.01.06,,11.11.46,,0,5G,-97,-11,-7.0,14,-,1405,23,D
204,2020.01.06,,11.11.49,,0,5G,-97,-11,-7.0,14,-,276,8,D
206,2020.01.06,,11.11.51,,0,5G,-97,-11,-7.0,14,-,2030,26,D
208,2020.01.06,,11.11.53,,0,5G,-97,-11,-7.0,14,-,3094,29,D
210,2020.01.06,,11.11.55,,0,5G,-97,-11,-7.0,14,-,4196,27,D
212,2020.01.06,,11.11.57,,0,5G,-97,-11,-7.0,14,-,6315,31,D
