,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
0,2020.01.06,,,11.40.29,,0,5G,-100,-10,-6.0,14,-,160,626,D
1,2020.01.06,,,11.40.29,,0,5G,-100,-10,-6.0,14,-,160,626,D
2,2020.01.06,,,11.40.29,,0,5G,-99,-9,5.0,14,-,74,582,D
3,2020.01.06,,,11.40.31,,0,5G,-99,-9,5.0,14,-,48,65,D
4,2020.01.06,,,11.40.33,,0,5G,-97,-10,14.0,13,-,142,112,D
5,2020.01.06,,,11.40.34,,0,5G,-97,-8,-7.0,10,-,615,160,D
6,2020.01.06,,,11.40.35,,0,5G,-97,-8,-7.0,10,-,461,379,D
7,2020.01.06,,,11.40.36,,0,5G,-102,-11,4.0,12,-,280,99,D
8,2020.01.06,,,11.40.37,,0,5G,-102,-11,4.0,12,-,75,34,D
9,2020.01.06,,,11.40.38,,0,5G,-100,-10,-8.0,10,-,57,54,D
10,2020.01.06,,,11.40.40,,0,5G,-100,-10,-8.0,10,-,245,57,D
11,2020.01.06,,,11.40.41,,0,5G,-97,-10,4.0,12,-,20237,1396,D
12,2020.01.06,,,11.40.42,,0,5G,-97,-10,4.0,12,-,18837,295,D
13,2020.01.06,,,11.40.44,,0,5G,-99,-10,2.0,14,-,80007,1067,D
14,2020.01.06,,,11.40.45,,0,5G,-99,-10,2.0,14,-,88132,2317,D
15,2020.01.06,,,11.40.46,,0,5G,-98,-11,2.0,9,-,20385,107,D
16,2020.01.06,,,11.40.47,,0,5G,-98,-11,2.0,9,-,2424,52,D
17,2020.01.06,,,11.40.48,,0,5G,-98,-11,3.0,9,-,7713,49,D
18,2020.01.06,,,11.40.49,,0,5G,-98,-11,3.0,9,-,5803,90,D
19,2020.01.06,,,11.40.50,,0,5G,-96,-9,10.0,11,-,294,17,D
20,2020.01.06,,,11.40.51,,0,5G,-96,-9,10.0,11,-,7983,55,D
23,2020.01.06,,,11.40.54,,0,5G,-97,-9,4.0,14,-,3436,21,D
25,2020.01.06,,,11.40.57,,0,5G,-97,-10,6.0,14,-,281,36,D
34,2020.01.06,,,11.41.05,,0,HSPA+,-81,-,-,-,-,257,51,VD
35,2020.01.06,,,11.41.06,,0,HSPA+,-81,-,-,-,-,2689,174,VD
36,2020.01.06,,,11.41.07,,0,HSPA+,-81,-,-,-,-,287,27,VD
