,Unnamed: 0,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
0,0,2020.01.06,Day1,09:55:17,0,5G,-102,-9.0,-1.0,10,-110,11,0,D,
1,1,2020.01.06,Day1,09:55:18,0,5G,-102,-9.0,-1.0,10,-110,993,74,D,
2,2,2020.01.06,Day1,09:55:19,0,5G,-101,-11.0,3.0,12,-110,3269,370,D,
3,3,2020.01.06,Day1,09:55:20,0,5G,-101,-11.0,3.0,12,-110,2415,140,D,
4,4,2020.01.06,Day1,09:55:22,0,5G,-103,-13.0,2.0,11,-110,1764,64,D,
5,5,2020.01.06,Day1,09:55:23,0,5G,-103,-13.0,2.0,11,-110,3003,99,D,
6,6,2020.01.06,Day1,09:55:28,0,5G,-104,-15.0,-1.0,15,-110,935,17,D,
7,7,2020.01.06,Day1,09:55:29,0,5G,-104,-15.0,-1.0,15,-110,456,12,D,
8,8,2020.01.06,Day1,09:55:30,0,5G,-103,-13.0,0.0,11,-110,277,6,D,
9,9,2020.01.06,Day1,09:55:31,0,5G,-103,-13.0,0.0,11,-110,663,16,D,
10,10,2020.01.06,Day1,09:55:34,0,5G,-104,-15.0,-2.0,14,-110,1893,141,D,
11,11,2020.01.06,Day1,09:55:35,0,5G,-105,-13.0,5.0,13,-110,63200,754,D,
12,12,2020.01.06,Day1,09:55:54,0,5G,-104,-13.0,-5.0,14,-110,52,18,D,
13,13,2020.01.06,Day1,09:56:00,0,5G,-104,-13.0,-5.0,14,-110,143,35,D,
14,14,2020.01.06,Day1,09:56:06,0,5G,-104,-13.0,-5.0,14,-110,29362,520,D,
15,15,2020.01.06,Day1,09:56:07,0,5G,-104,-13.0,-5.0,14,-110,73184,2418,D,
16,16,2020.01.06,Day1,09:56:08,0,5G,-104,-13.0,-5.0,14,-110,127924,600,D,
17,17,2020.01.06,Day1,09:56:09,0,5G,-104,-13.0,-5.0,14,-110,194256,504,D,
18,18,2020.01.06,Day1,09:56:11,0,5G,-104,-13.0,-5.0,14,-110,280,4,D,
19,19,2020.01.06,Day1,09:56:13,0,5G,-104,-13.0,-5.0,14,-110,12770,52,D,
20,20,2020.01.06,Day1,09:56:14,0,5G,-104,-13.0,-5.0,14,-110,25,4,D,
21,21,2020.01.06,Day1,09:56:15,0,5G,-104,-13.0,-5.0,14,-110,279,6,D,
22,22,2020.01.06,Day1,09:56:16,0,5G,-104,-13.0,-5.0,14,-110,14634,35,D,
23,23,2020.01.06,Day1,09:56:20,0,5G,-104,-13.0,-5.0,14,-110,10437,258,D,
24,24,2020.01.06,Day1,09:56:21,0,5G,-104,-13.0,-5.0,14,-110,276,1,D,
25,25,2020.01.06,Day1,09:56:24,0,5G,-104,-13.0,-5.0,14,-110,13474,49,D,
26,26,2020.01.06,Day1,09:56:26,0,5G,-104,-13.0,-5.0,14,-110,14224,45,D,
27,27,2020.01.06,Day1,09:56:29,0,5G,-104,-13.0,-5.0,14,-110,7739,36,D,
28,28,2020.01.06,Day1,09:56:30,0,5G,-104,-13.0,-5.0,14,-110,1291,1,D,
