,Date,Day#_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
0,2019.12.16,,12.27.05,,0,5G,-100,-11,5.0,12,-90,30,8,D
1,2019.12.16,,12.27.06,,0,5G,-100,-11,5.0,12,-90,30,8,D
7,2019.12.16,,12.27.10,,0,5G,-100,-12,1.0,12,-90,11962,276,D
8,2019.12.16,,12.27.11,,0,5G,-101,-12,6.0,9,-92,24925,198,D
9,2019.12.16,,12.27.13,,0,5G,-101,-12,6.0,9,-92,16274,128,D
10,2019.12.16,,12.27.14,,0,5G,-98,-15,6.0,9,-92,8586,99,D
11,2019.12.16,,12.27.15,,0,5G,-98,-15,6.0,9,-92,13700,125,D
12,2019.12.16,,12.27.16,,0,5G,-100,-13,4.0,9,-92,17119,122,D
13,2019.12.16,,12.27.17,,0,5G,-100,-13,4.0,9,-92,13023,135,D
14,2019.12.16,,12.27.18,,0,5G,-97,-14,8.0,14,-90,16010,129,D
15,2019.12.16,,12.27.19,,0,5G,-97,-14,8.0,14,-90,22776,148,D
16,2019.12.16,,12.27.20,,0,5G,-99,-12,4.0,14,-90,30671,178,D
17,2019.12.16,,12.27.23,,0,5G,-100,-12,1.0,14,-90,4606,50,D
18,2019.12.16,,12.27.23,,0,5G,-100,-12,1.0,14,-90,4606,50,D
19,2019.12.16,,12.27.24,,0,5G,-100,-12,1.0,14,-90,1736,36,D
20,2019.12.16,,12.27.25,,0,5G,-99,-12,7.0,14,-90,35138,275,D
21,2019.12.16,,12.27.26,,0,5G,-99,-12,7.0,14,-90,33936,224,D
22,2019.12.16,,12.27.27,,0,5G,-99,-12,0.0,14,-90,25971,148,D
23,2019.12.16,,12.27.28,,0,5G,-99,-12,0.0,14,-90,19851,193,D
24,2019.12.16,,12.27.30,,0,5G,-99,-13,6.0,14,-90,17709,136,D
25,2019.12.16,,12.27.31,,0,5G,-99,-13,6.0,14,-90,16998,187,D
26,2019.12.16,,12.27.32,,0,5G,-102,-12,-7.0,14,-90,4111,74,D
27,2019.12.16,,12.27.33,,0,5G,-102,-12,-7.0,14,-90,6052,56,D
28,2019.12.16,,12.27.34,,0,5G,-101,-12,2.0,14,-90,6512,78,D
29,2019.12.16,,12.27.35,,0,5G,-101,-12,2.0,14,-90,10348,91,D
30,2019.12.16,,12.27.36,,0,5G,-101,-11,4.0,11,-89,3854,35,D
31,2019.12.16,,12.27.37,,0,5G,-101,-11,4.0,9,-91,3854,35,D
33,2019.12.16,,12.27.39,,0,5G,-99,-14,5.0,9,-91,11171,204,D
34,2019.12.16,,12.27.40,,0,5G,-99,-14,5.0,9,-91,11499,122,D
35,2019.12.16,,12.27.41,,0,5G,-103,-11,4.0,9,-91,10498,111,D
36,2019.12.16,,12.27.42,,0,5G,-103,-11,4.0,9,-91,11797,81,D
37,2019.12.16,,12.27.43,,0,5G,-101,-11,10.0,9,-93,12909,93,D
38,2019.12.16,,12.27.44,,0,5G,-101,-11,10.0,10,-89,13009,103,D
39,2019.12.16,,12.27.46,,0,5G,-98,-10,3.0,13,-90,16879,120,D
40,2019.12.16,,12.27.47,,0,5G,-98,-10,3.0,13,-90,22364,140,D
41,2019.12.16,,12.27.48,,0,5G,-97,-10,9.0,13,-90,26253,166,D
42,2019.12.16,,12.27.49,,0,5G,-97,-10,9.0,13,-90,28033,162,D
43,2019.12.16,,12.27.50,,0,5G,-98,-9,9.0,12,-88,21557,122,D
46,2019.12.16,,12.27.52,,0,5G,-97,-8,13.0,14,-84,12798,181,D
47,2019.12.16,,12.27.53,,0,5G,-97,-8,13.0,15,-79,13269,79,D
48,2019.12.16,,12.27.55,,0,5G,-93,-11,18.0,14,-81,10886,77,D
49,2019.12.16,,12.27.56,,0,5G,-93,-11,18.0,14,-83,10954,71,D
50,2019.12.16,,12.27.57,,0,5G,-93,-8,11.0,14,-,14857,103,D
51,2019.12.16,,12.27.58,,0,5G,-93,-8,11.0,14,-,11829,138,D
52,2019.12.16,,12.27.59,,0,5G,-90,-9,16.0,15,-76,10040,89,D
53,2019.12.16,,12.28.00,,0,5G,-90,-9,16.0,9,-69,8786,85,D
54,2019.12.16,,12.28.01,,0,5G,-84,-9,14.0,14,-,6642,98,D
55,2019.12.16,,12.28.02,,0,5G,-84,-9,14.0,11,-75,6453,64,D
56,2019.12.16,,12.28.03,,0,5G,-80,-9,21.0,14,-70,13039,103,D
59,2019.12.16,,12.28.06,,0,5G,-85,-9,21.0,10,-72,2837,62,D
60,2019.12.16,,12.28.07,,0,5G,-85,-9,21.0,10,-72,9699,201,D
61,2019.12.16,,12.28.08,,0,5G,-84,-8,-1.0,10,-72,10981,86,D
