,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
0,2020.02.13,,13.03.24,0,5G,-100,-13,1.0,13,-103,24,3,D,
1,2020.02.13,,13.03.24,0,5G,-100,-13,1.0,13,-103,24,3,D,
6,2020.02.13,,13.03.29,0,5G,-98,-11,1.0,8,-101,18,18,D,
7,2020.02.13,,13.03.29,0,5G,-98,-11,1.0,8,-101,18,18,D,
8,2020.02.13,,13.03.30,0,5G,-101,-11,3.0,9,-105,2013,68,D,
9,2020.02.13,,13.03.32,0,5G,-101,-11,3.0,9,-103,14348,278,D,
10,2020.02.13,,13.03.33,0,5G,-100,-14,6.0,9,-103,17229,198,D,
11,2020.02.13,,13.03.34,0,5G,-100,-14,6.0,9,-103,10414,125,D,
12,2020.02.13,,13.03.35,0,5G,-101,-16,2.0,14,-103,8445,103,D,
13,2020.02.13,,13.03.36,0,5G,-101,-16,2.0,14,-103,5816,60,D,
14,2020.02.13,,13.03.37,0,5G,-99,-12,5.0,9,-103,4196,63,D,
15,2020.02.13,,13.03.39,0,5G,-99,-12,5.0,9,-103,5252,72,D,
16,2020.02.13,,13.03.40,0,5G,-100,-12,5.0,14,-103,6198,79,D,
17,2020.02.13,,13.03.42,0,5G,-100,-11,2.0,9,-103,3376,16,D,
18,2020.02.13,,13.03.43,0,5G,-100,-11,2.0,9,-103,3376,16,D,
19,2020.02.13,,13.03.43,0,5G,-100,-11,2.0,9,-103,5206,129,D,
20,2020.02.13,,13.03.45,0,5G,-99,-11,8.0,9,-105,14607,196,D,
21,2020.02.13,,13.03.46,0,5G,-99,-11,8.0,9,-105,11938,95,D,
22,2020.02.13,,13.03.47,0,5G,-101,-13,0.0,14,-105,14205,135,D,
23,2020.02.13,,13.03.48,0,5G,-101,-13,0.0,14,-105,15122,129,D,
24,2020.02.13,,13.03.49,0,5G,-102,-12,2.0,13,-103,21587,158,D,
25,2020.02.13,,13.03.50,0,5G,-102,-12,2.0,13,-105,15154,147,D,
26,2020.02.13,,13.03.52,0,5G,-95,-10,9.0,10,-105,14103,134,D,
27,2020.02.13,,13.03.53,0,5G,-95,-10,9.0,10,-105,16752,134,D,
28,2020.02.13,,13.03.54,0,5G,-102,-12,2.0,10,-105,14651,116,D,
