,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
0,2020.02.27,,20.35.57,0,5G,-101,-14,1.0,-,-101,207,101,D
9,2020.02.27,,20.36.04,1,5G,-101,-14,-9.0,11,-105,3783,118,D
10,2020.02.27,,20.36.05,1,5G,-101,-14,-9.0,11,-103,9426,190,D
11,2020.02.27,,20.36.07,1,5G,-96,-15,-4.0,10,-97,8819,140,D
12,2020.02.27,,20.36.08,1,5G,-96,-15,-4.0,10,-99,3233,44,D
13,2020.02.27,,20.36.09,1,5G,-98,-16,-3.0,10,-109,20705,107,D
14,2020.02.27,,20.36.10,1,5G,-98,-16,-3.0,10,-109,19509,97,D
15,2020.02.27,,20.36.11,1,5G,-96,-17,-1.0,13,-109,24990,137,D
16,2020.02.27,,20.36.12,1,5G,-96,-17,-1.0,13,-109,81220,272,D
17,2020.02.27,,20.36.13,1,5G,-97,-18,-4.0,9,-109,81760,219,D
18,2020.02.27,,20.36.14,1,5G,-97,-18,-4.0,9,-107,91193,221,D
19,2020.02.27,,20.36.15,1,5G,-96,-16,-2.0,10,-107,107058,205,D
20,2020.02.27,,20.36.16,1,5G,-96,-16,-2.0,10,-109,71667,69,D
21,2020.02.27,,20.36.17,1,5G,-96,-16,-2.0,10,-109,11,3,D
22,2020.02.27,,20.36.17,1,5G,-98,-18,-6.0,11,-109,11,3,D
23,2020.02.27,,20.36.18,1,5G,-98,-18,-6.0,11,-109,17331,178,D
24,2020.02.27,,20.36.20,1,5G,-99,-17,-2.0,9,-109,29663,89,D
25,2020.02.27,,20.36.21,1,5G,-99,-17,-2.0,9,-109,95001,195,D
26,2020.02.27,,20.36.22,1,5G,-99,-18,1.0,9,-109,101647,140,D
27,2020.02.27,,20.36.23,1,5G,-99,-18,1.0,9,-109,180855,292,D
28,2020.02.27,,20.36.24,1,5G,-99,-14,-7.0,10,-109,154803,203,D
29,2020.02.27,,20.36.25,1,5G,-99,-14,-7.0,10,-109,92803,170,D
30,2020.02.27,,20.36.26,1,5G,-100,-15,-7.0,8,-109,98844,218,D
31,2020.02.27,,20.36.27,1,5G,-100,-15,-7.0,8,-109,104863,200,D
32,2020.02.27,,20.36.28,1,5G,-98,-14,-3.0,9,-107,110481,171,D
33,2020.02.27,,20.36.30,1,5G,-98,-17,-8.0,11,-107,5489,10,D
34,2020.02.27,,20.36.31,1,5G,-98,-17,-8.0,11,-107,5489,10,D
35,2020.02.27,,20.36.32,1,5G,-98,-17,-8.0,11,-107,1753,31,D
36,2020.02.27,,20.36.33,1,5G,-94,-12,0.0,9,-107,28055,133,D
37,2020.02.27,,20.36.34,1,5G,-94,-12,0.0,9,-107,19483,48,D
38,2020.02.27,,20.36.35,1,5G,-92,-15,4.0,7,-107,70535,150,D
39,2020.02.27,,20.36.36,1,5G,-92,-15,4.0,7,-111,72331,137,D
40,2020.02.27,,20.36.37,1,5G,-91,-15,0.0,12,-111,104252,146,D
41,2020.02.27,,20.36.38,1,5G,-91,-15,0.0,12,-107,42653,63,D
42,2020.02.27,,20.36.39,1,5G,-93,-16,-5.0,11,-107,135437,257,D
43,2020.02.27,,20.36.41,1,5G,-93,-16,-5.0,11,-109,174276,214,D
44,2020.02.27,,20.36.42,1,5G,-95,-16,-4.0,11,-109,142323,188,D
45,2020.02.27,,20.36.44,1,5G,-94,-15,-2.0,14,-109,96379,76,D
46,2020.02.27,,20.36.45,1,5G,-94,-15,-2.0,14,-107,96379,76,D
48,2020.02.27,,20.36.46,1,5G,-94,-13,-5.0,10,-107,19186,172,D
49,2020.02.27,,20.36.47,1,5G,-94,-13,-5.0,10,-107,20866,53,D
50,2020.02.27,,20.36.49,1,5G,-93,-14,-2.0,12,-107,19743,51,D
51,2020.02.27,,20.36.50,1,5G,-93,-14,-2.0,12,-107,20771,50,D
52,2020.02.27,,20.36.51,1,5G,-93,-11,-3.0,11,-107,21663,52,D
53,2020.02.27,,20.36.52,1,5G,-93,-11,-3.0,11,-107,20925,56,D
54,2020.02.27,,20.36.53,1,5G,-92,-10,3.0,15,-107,20697,52,D
55,2020.02.27,,20.36.54,1,5G,-92,-10,3.0,15,-107,20409,65,D
56,2020.02.27,,20.36.55,1,5G,-92,-12,-1.0,7,-109,18775,44,D
57,2020.02.27,,20.36.58,1,5G,-90,-14,6.0,15,-105,10020,24,D
60,2020.02.27,,20.37.00,1,5G,-90,-14,6.0,15,-107,22257,178,D
61,2020.02.27,,20.37.01,1,5G,-94,-10,2.0,11,-107,25671,68,D
62,2020.02.27,,20.37.02,1,5G,-94,-10,2.0,11,-107,24748,77,D
63,2020.02.27,,20.37.03,1,5G,-97,-13,-5.0,11,-105,26002,78,D
64,2020.02.27,,20.37.04,1,5G,-97,-13,-5.0,11,-105,23841,68,D
65,2020.02.27,,20.37.05,1,5G,-92,-13,0.0,8,-103,27278,72,D
66,2020.02.27,,20.37.06,1,5G,-92,-13,0.0,8,-103,25156,57,D
67,2020.02.27,,20.37.08,1,5G,-94,-14,-3.0,10,-99,20710,59,D
68,2020.02.27,,20.37.09,1,5G,-94,-14,-3.0,10,-103,27521,62,D
69,2020.02.27,,20.37.10,1,5G,-92,-13,7.0,13,-103,140924,205,D
70,2020.02.27,,20.37.12,1,5G,-94,-13,-4.0,10,-103,31393,4,D
71,2020.02.27,,20.37.13,1,5G,-94,-13,-4.0,10,-103,31393,4,D
72,2020.02.27,,20.37.13,1,5G,-94,-13,-4.0,10,-103,7883,100,D
73,2020.02.27,,20.37.14,1,5G,-93,-13,-3.0,11,-105,32119,81,D
74,2020.02.27,,20.37.15,1,5G,-93,-13,-3.0,11,-101,31281,76,D
75,2020.02.27,,20.37.17,1,5G,-90,-12,0.0,6,-103,29809,57,D
76,2020.02.27,,20.37.18,1,5G,-90,-12,0.0,6,-103,31927,65,D
77,2020.02.27,,20.37.19,1,5G,-92,-14,-1.0,9,-101,32145,65,D
78,2020.02.27,,20.37.20,1,5G,-92,-14,-1.0,9,-101,31856,66,D
79,2020.02.27,,20.37.21,1,5G,-85,-15,-12.0,6,-101,16710,49,D
80,2020.02.27,,20.37.22,1,5G,-85,-15,-12.0,6,-103,19115,48,D
81,2020.02.27,,20.37.23,1,5G,-90,-13,-3.0,9,-105,31821,71,D
82,2020.02.27,,20.37.26,1,5G,-93,-16,-3.0,9,-105,19066,32,D
83,2020.02.27,,20.37.27,1,5G,-93,-16,-3.0,9,-107,19066,32,D
84,2020.02.27,,20.37.27,1,5G,-93,-16,-3.0,9,-107,1417,30,D
85,2020.02.27,,20.37.28,1,5G,-92,-11,-4.0,9,-107,18470,156,D
86,2020.02.27,,20.37.29,1,5G,-92,-11,-4.0,9,-107,60107,172,D
87,2020.02.27,,20.37.30,1,5G,-93,-13,-2.0,11,-109,189814,299,D
88,2020.02.27,,20.37.31,1,5G,-93,-13,-2.0,11,-109,128490,219,D
89,2020.02.27,,20.37.33,1,5G,-90,-14,3.0,9,-109,136160,167,D
90,2020.02.27,,20.37.34,1,5G,-90,-14,3.0,9,-105,142345,182,D
91,2020.02.27,,20.37.35,1,5G,-95,-12,0.0,7,-107,138435,172,D
92,2020.02.27,,20.37.36,1,5G,-95,-12,0.0,7,-107,151125,188,D
93,2020.02.27,,20.37.37,1,5G,-88,-11,4.0,15,-107,147840,178,D
94,2020.02.27,,20.37.38,1,5G,-88,-11,4.0,15,-107,158001,219,D
95,2020.02.27,,20.37.39,1,5G,-92,-13,2.0,15,-105,97928,80,D
96,2020.02.27,,20.37.40,1,5G,-92,-13,2.0,15,-105,97928,80,D
98,2020.02.27,,20.37.42,1,5G,-96,-11,2.0,11,-105,33670,245,D
99,2020.02.27,,20.37.43,1,5G,-96,-11,2.0,11,-105,148420,247,D
100,2020.02.27,,20.37.44,1,5G,-87,-10,10.0,12,-103,189583,289,D
101,2020.02.27,,20.37.45,1,5G,-87,-10,10.0,12,-95,170777,207,D
102,2020.02.27,,20.37.46,1,5G,-94,-10,5.0,12,-95,141296,170,D
103,2020.02.27,,20.37.47,1,5G,-94,-10,5.0,12,-95,151007,171,D
104,2020.02.27,,20.37.48,1,5G,-86,-14,2.0,15,-95,164238,176,D
105,2020.02.27,,20.37.49,1,5G,-86,-14,2.0,15,-91,172273,190,D
106,2020.02.27,,20.37.51,1,5G,-78,-8,7.0,12,-89,166819,183,D
107,2020.02.27,,20.37.52,1,5G,-78,-8,7.0,12,-89,152511,201,D
108,2020.02.27,,20.37.53,1,5G,-89,-13,9.0,10,-93,109424,117,D
109,2020.02.27,,20.37.54,1,5G,-89,-13,9.0,10,-99,4470,2,D
110,2020.02.27,,20.37.54,1,5G,-89,-13,9.0,10,-99,4470,2,D
111,2020.02.27,,20.37.55,1,5G,-88,-10,12.0,11,-99,18081,222,D
112,2020.02.27,,20.37.56,1,5G,-88,-10,12.0,11,-99,127577,267,D
113,2020.02.27,,20.37.57,1,5G,-86,-11,-1.0,12,-99,205109,350,D
114,2020.02.27,,20.37.58,1,5G,-86,-11,-1.0,12,-99,110115,212,D
115,2020.02.27,,20.37.59,1,5G,-87,-11,-2.0,9,-99,179944,252,D
116,2020.02.27,,20.38.00,1,5G,-87,-11,-2.0,9,-101,188312,269,D
117,2020.02.27,,20.38.02,1,5G,-86,-12,-3.0,12,-99,178723,196,D
118,2020.02.27,,20.38.03,1,5G,-86,-12,-3.0,12,-99,171979,211,D
119,2020.02.27,,20.38.04,1,5G,-89,-13,-4.0,12,-101,153891,190,D
120,2020.02.27,,20.38.05,1,5G,-89,-13,-4.0,12,-101,140226,196,D
121,2020.02.27,,20.38.07,1,5G,-84,-14,-6.0,6,-99,30540,36,D
122,2020.02.27,,20.38.08,1,5G,-84,-14,-6.0,6,-103,30540,36,D
124,2020.02.27,,20.38.09,1,5G,-88,-14,-2.0,9,-103,20676,182,D
125,2020.02.27,,20.38.10,1,5G,-87,-13,-6.0,11,-97,117959,282,D
126,2020.02.27,,20.38.12,1,5G,-87,-13,-6.0,11,-95,75282,210,D
127,2020.02.27,,20.38.13,1,5G,-83,-12,2.0,11,-91,88540,244,D
128,2020.02.27,,20.38.14,1,5G,-83,-12,2.0,11,-91,77496,258,D
129,2020.02.27,,20.38.15,1,5G,-82,-12,-2.0,12,-91,63083,192,D
130,2020.02.27,,20.38.16,1,5G,-82,-12,-2.0,12,-83,64258,187,D
131,2020.02.27,,20.38.16,28,5G,-82,-12,-2.0,12,-83,64258,187,D
132,2020.02.27,,20.38.17,28,5G,-74,-10,8.0,15,-79,77641,198,D
133,2020.02.27,,20.38.18,28,5G,-74,-10,8.0,15,-79,86408,236,D
134,2020.02.27,,20.38.20,28,5G,-73,-13,9.0,14,-83,99144,217,D
135,2020.02.27,,20.38.21,28,5G,-73,-13,9.0,14,-85,52342,80,D
138,2020.02.27,,20.38.23,28,5G,-67,-12,16.0,15,-77,94808,275,D
139,2020.02.27,,20.38.24,28,5G,-67,-11,13.0,15,-81,168634,210,D
140,2020.02.27,,20.38.25,28,5G,-67,-11,13.0,15,-81,229791,282,D
141,2020.02.27,,20.38.26,28,5G,-67,-14,21.0,15,-77,253839,214,D
142,2020.02.27,,20.38.26,41,5G,-67,-14,21.0,15,-77,253839,214,D
143,2020.02.27,,20.38.27,41,5G,-67,-14,21.0,15,-81,269927,222,D
144,2020.02.27,,20.38.29,41,5G,-67,-14,22.0,15,-81,213490,216,D
145,2020.02.27,,20.38.30,41,5G,-67,-14,22.0,15,-85,205823,196,D
146,2020.02.27,,20.38.31,41,5G,-81,-15,4.0,12,-93,183850,202,D
147,2020.02.27,,20.38.32,41,5G,-81,-15,4.0,12,-93,176461,193,D
148,2020.02.27,,20.38.33,41,5G,-78,-14,15.0,12,-87,138917,182,D
149,2020.02.27,,20.38.34,41,5G,-78,-14,15.0,12,-87,136041,168,D
150,2020.02.27,,20.38.35,41,5G,-80,-15,5.0,12,-87,5563,8,D
151,2020.02.27,,20.38.36,41,5G,-80,-15,5.0,12,-87,5563,8,D
152,2020.02.27,,20.38.36,41,5G,-80,-15,5.0,12,-87,10187,134,D
153,2020.02.27,,20.38.38,41,5G,-79,-14,4.0,10,-87,22261,64,D
154,2020.02.27,,20.38.39,41,5G,-79,-14,4.0,10,-91,20083,58,D
155,2020.02.27,,20.38.40,41,5G,-79,-14,13.0,15,-91,31093,80,D
156,2020.02.27,,20.38.41,41,5G,-79,-14,13.0,15,-91,106250,205,D
157,2020.02.27,,20.38.42,41,5G,-74,-14,14.0,11,-81,107032,148,D
158,2020.02.27,,20.38.43,41,5G,-74,-14,14.0,11,-81,106975,121,D
159,2020.02.27,,20.38.44,41,5G,-73,-15,14.0,15,-77,113486,128,D
160,2020.02.27,,20.38.45,41,5G,-73,-15,14.0,15,-79,110772,135,D
161,2020.02.27,,20.38.47,41,5G,-77,-15,20.0,15,-79,123458,143,D
162,2020.02.27,,20.38.48,30,5G,-77,-15,20.0,15,-81,218559,197,D
163,2020.02.27,,20.38.49,30,5G,-73,-13,12.0,14,-81,3107,4,D
164,2020.02.27,,20.38.50,30,5G,-73,-13,12.0,14,-83,3107,4,D
165,2020.02.27,,20.38.50,30,5G,-73,-13,12.0,14,-83,3516,52,D
166,2020.02.27,,20.38.51,30,5G,-76,-10,11.0,13,-83,28571,136,D
167,2020.02.27,,20.38.52,30,5G,-76,-10,11.0,13,-81,34271,92,D
168,2020.02.27,,20.38.53,30,5G,-77,-16,2.0,11,-81,67525,213,D
169,2020.02.27,,20.38.55,30,5G,-77,-16,2.0,11,-85,70619,188,D
170,2020.02.27,,20.38.56,30,5G,-84,-13,1.0,8,-89,76922,230,D
171,2020.02.27,,20.38.57,30,5G,-84,-13,1.0,8,-89,81917,217,D
172,2020.02.27,,20.38.58,30,5G,-82,-10,9.0,13,-95,88697,232,D
173,2020.02.27,,20.38.59,30,5G,-82,-10,9.0,13,-95,85913,230,D
174,2020.02.27,,20.39.00,30,5G,-86,-13,-4.0,8,-95,91525,245,D
175,2020.02.27,,20.39.01,30,5G,-86,-13,-4.0,8,-95,58845,163,D
176,2020.02.27,,20.39.01,33,5G,-86,-13,-4.0,8,-95,58845,163,D
177,2020.02.27,,20.39.02,33,5G,-84,-16,1.0,10,-95,21016,44,D
178,2020.02.27,,20.39.03,33,5G,-84,-16,1.0,10,-95,21016,44,D
179,2020.02.27,,20.39.04,33,5G,-84,-16,1.0,10,-95,629,18,D
180,2020.02.27,,20.39.05,33,5G,-85,-15,-9.0,6,-93,12813,158,D
181,2020.02.27,,20.39.06,33,5G,-85,-15,-9.0,6,-95,17536,63,D
182,2020.02.27,,20.39.07,33,5G,-84,-17,-2.0,9,-87,19767,69,D
183,2020.02.27,,20.39.08,33,5G,-84,-17,-2.0,9,-91,11806,52,D
184,2020.02.27,,20.39.09,33,5G,-80,-14,-2.0,6,-87,17291,60,D
185,2020.02.27,,20.39.10,33,5G,-80,-14,-2.0,6,-87,15761,66,D
186,2020.02.27,,20.39.12,33,5G,-80,-12,0.0,6,-91,8755,48,D
187,2020.02.27,,20.39.13,33,5G,-80,-12,0.0,6,-87,19033,69,D
188,2020.02.27,,20.39.14,33,5G,-74,-11,0.0,10,-87,19416,69,D
189,2020.02.27,,20.39.14,25,5G,-74,-11,0.0,10,-87,19416,69,D
190,2020.02.27,,20.39.16,25,5G,-79,-12,3.0,14,-91,14559,52,D
193,2020.02.27,,20.39.18,25,5G,-82,-13,-3.0,6,-89,9880,172,D
194,2020.02.27,,20.39.19,25,5G,-82,-13,-3.0,6,-83,16117,86,D
195,2020.02.27,,20.39.21,25,5G,-82,-12,8.0,10,-85,17290,81,D
196,2020.02.27,,20.39.22,25,5G,-82,-12,8.0,10,-85,18469,86,D
197,2020.02.27,,20.39.23,25,5G,-79,-11,10.0,11,-83,19030,94,D
198,2020.02.27,,20.39.23,41,5G,-79,-11,10.0,11,-83,19030,94,D
199,2020.02.27,,20.39.24,41,5G,-79,-11,10.0,11,-85,19779,103,D
200,2020.02.27,,20.39.25,41,5G,-74,-15,20.0,15,-81,21734,94,D
201,2020.02.27,,20.39.26,41,5G,-74,-15,20.0,15,-79,140494,291,D
202,2020.02.27,,20.39.27,41,5G,-67,-10,15.0,15,-71,276344,292,D
203,2020.02.27,,20.39.28,41,5G,-67,-10,15.0,15,-79,310495,238,D
204,2020.02.27,,20.39.30,41,5G,-70,-14,20.0,15,-79,240439,203,D
205,2020.02.27,,20.39.31,41,5G,-70,-14,20.0,15,-79,28,8,D
206,2020.02.27,,20.39.31,41,5G,-70,-14,20.0,15,-79,28,8,D
207,2020.02.27,,20.39.32,41,5G,-67,-12,27.0,15,-79,11075,139,D
208,2020.02.27,,20.39.32,39,5G,-67,-12,27.0,15,-73,11075,139,D
209,2020.02.27,,20.39.33,39,5G,-67,-12,27.0,15,-73,40644,71,D
210,2020.02.27,,20.39.34,39,5G,-63,-10,23.0,15,-73,180030,236,D
211,2020.02.27,,20.39.35,39,5G,-63,-10,23.0,15,-73,150102,169,D
212,2020.02.27,,20.39.36,39,5G,-62,-11,24.0,15,-69,178889,183,D
213,2020.02.27,,20.39.37,39,5G,-62,-11,24.0,15,-69,196635,192,D
214,2020.02.27,,20.39.39,39,5G,-56,-13,18.0,15,-63,119119,162,D
215,2020.02.27,,20.39.40,39,5G,-56,-13,18.0,15,-65,117281,129,D
216,2020.02.27,,20.39.41,39,5G,-60,-13,15.0,14,-69,127465,151,D
217,2020.02.27,,20.39.42,39,5G,-60,-13,15.0,14,-69,171953,192,D
218,2020.02.27,,20.39.44,39,5G,-69,-11,10.0,14,-79,56400,18,D
219,2020.02.27,,20.39.45,39,5G,-69,-11,10.0,14,-81,56400,18,D
220,2020.02.27,,20.39.45,39,5G,-72,-14,17.0,14,-81,1012,23,D
221,2020.02.27,,20.39.45,46,5G,-72,-14,17.0,14,-81,1012,23,D
222,2020.02.27,,20.39.46,46,5G,-72,-14,17.0,14,-81,23312,141,D
223,2020.02.27,,20.39.48,46,5G,-74,-15,9.0,8,-81,24499,59,D
224,2020.02.27,,20.39.49,46,5G,-74,-15,9.0,8,-79,22625,66,D
225,2020.02.27,,20.39.50,46,5G,-75,-14,10.0,10,-81,23940,69,D
226,2020.02.27,,20.39.51,46,5G,-75,-14,10.0,10,-81,19772,75,D
227,2020.02.27,,20.39.52,46,5G,-72,-15,7.0,11,-71,20791,82,D
228,2020.02.27,,20.39.52,58,5G,-72,-15,7.0,11,-71,20791,82,D
229,2020.02.27,,20.39.53,58,5G,-72,-15,7.0,11,-75,33735,106,D
230,2020.02.27,,20.39.54,58,5G,-70,-11,8.0,14,-75,172903,292,D
231,2020.02.27,,20.39.55,58,5G,-70,-11,8.0,14,-75,208609,166,D
232,2020.02.27,,20.39.58,58,5G,-80,-16,9.0,12,-73,71434,71,D
233,2020.02.27,,20.39.58,66,5G,-80,-16,9.0,12,-75,71434,71,D
236,2020.02.27,,20.40.00,66,5G,-68,-11,18.0,14,-77,19415,185,D
237,2020.02.27,,20.40.01,66,5G,-73,-13,5.0,12,-83,21789,58,D
238,2020.02.27,,20.40.02,66,5G,-73,-13,5.0,12,-83,22068,68,D
239,2020.02.27,,20.40.03,66,5G,-77,-10,-10.0,13,-81,20687,59,D
240,2020.02.27,,20.40.04,66,5G,-77,-10,-10.0,13,-83,20687,59,D
241,2020.02.27,,20.40.05,66,5G,-77,-10,-10.0,13,-83,20177,59,D
242,2020.02.27,,20.40.06,66,5G,-84,-13,8.0,14,-85,18773,52,D
243,2020.02.27,,20.40.07,66,5G,-84,-13,8.0,14,-91,21420,72,D
244,2020.02.27,,20.40.08,66,5G,-87,-11,-8.0,14,-91,18962,86,D
245,2020.02.27,,20.40.09,66,5G,-87,-11,-8.0,14,-89,20918,64,D
246,2020.02.27,,20.40.10,66,5G,-90,-13,3.0,8,-89,21896,57,D
247,2020.02.27,,20.40.10,70,5G,-90,-13,3.0,8,-89,21896,57,D
248,2020.02.27,,20.40.11,70,5G,-90,-13,3.0,8,-95,55552,96,D
249,2020.02.27,,20.40.12,70,5G,-88,-14,10.0,11,-93,1861,15,D
250,2020.02.27,,20.40.13,70,5G,-88,-14,10.0,11,-97,1861,15,D
251,2020.02.27,,20.40.14,70,5G,-88,-14,10.0,11,-95,6022,102,D
252,2020.02.27,,20.40.15,70,5G,-91,-13,-5.0,6,-95,8616,106,D
253,2020.02.27,,20.40.16,70,5G,-91,-13,-5.0,6,-101,20922,59,D
254,2020.02.27,,20.40.16,72,5G,-91,-13,-5.0,6,-101,20922,59,D
255,2020.02.27,,20.40.17,72,5G,-94,-15,-10.0,6,-101,12033,43,D
256,2020.02.27,,20.40.18,72,5G,-94,-15,-10.0,6,-95,17399,61,D
257,2020.02.27,,20.40.19,72,5G,-98,-13,-9.0,9,-105,17954,66,D
258,2020.02.27,,20.40.20,72,5G,-98,-13,-9.0,9,-109,10942,35,D
259,2020.02.27,,20.40.22,72,5G,-104,-17,-6.0,8,-105,32060,113,D
260,2020.02.27,,20.40.22,71,5G,-104,-17,-6.0,8,-105,32060,113,D
261,2020.02.27,,20.40.23,71,5G,-104,-17,-6.0,8,-109,65053,135,D
262,2020.02.27,,20.40.24,71,5G,-105,-17,-7.0,7,-107,86199,201,D
263,2020.02.27,,20.40.25,71,5G,-105,-17,-7.0,7,-111,99488,208,D
266,2020.02.27,,20.40.27,71,5G,-103,-16,-1.0,7,-109,10514,135,D
267,2020.02.27,,20.40.28,71,5G,-102,-12,-2.0,10,-105,22321,61,D
268,2020.02.27,,20.40.28,71,5G,-102,-12,-2.0,10,-105,22321,61,D
269,2020.02.27,,20.40.29,71,5G,-102,-12,-2.0,10,-103,20962,54,D
270,2020.02.27,,20.40.31,71,5G,-99,-12,1.0,8,-109,49498,118,D
271,2020.02.27,,20.40.32,71,5G,-99,-12,1.0,8,-109,145866,206,D
272,2020.02.27,,20.40.33,71,5G,-100,-15,-3.0,7,-113,113438,149,D
