,Date,Day#_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
0,2019.12.16,,13.40.04,,0,5G,-103,-15,1.0,15,-90,72,20,D
7,2019.12.16,,13.40.09,,0,5G,-102,-14,1.0,15,-91,3434,55,D
8,2019.12.16,,13.40.10,,0,5G,-102,-14,1.0,11,-88,27631,138,D
9,2019.12.16,,13.40.11,,0,5G,-102,-16,-3.0,11,-88,31414,85,D
10,2019.12.16,,13.40.12,,0,5G,-102,-16,-3.0,11,-88,29997,145,D
11,2019.12.16,,13.40.14,,0,5G,-103,-16,-1.0,11,-88,45685,127,D
12,2019.12.16,,13.40.15,,0,5G,-103,-16,-1.0,15,-90,185367,305,D
13,2019.12.16,,13.40.16,,0,5G,-102,-15,-3.0,15,-90,175609,236,D
14,2019.12.16,,13.40.17,,0,5G,-102,-15,-3.0,15,-90,159747,222,D
15,2019.12.16,,13.40.18,,0,5G,-102,-18,-3.0,15,-90,165814,252,D
16,2019.12.16,,13.40.19,,0,5G,-102,-18,-3.0,15,-90,178035,286,D
17,2019.12.16,,13.40.20,,0,5G,-102,-18,0.0,10,-92,190264,306,D
18,2019.12.16,,13.40.21,,0,5G,-102,-18,0.0,12,-84,79010,114,D
21,2019.12.16,,13.40.24,,0,5G,-98,-16,-1.0,15,-86,21940,200,D
22,2019.12.16,,13.40.25,,0,5G,-98,-15,6.0,15,-86,22254,76,D
23,2019.12.16,,13.40.26,,0,5G,-98,-15,6.0,15,-86,40424,115,D
24,2019.12.16,,13.40.27,,0,5G,-98,-16,-4.0,11,-84,153318,230,D
25,2019.12.16,,13.40.28,,0,5G,-98,-16,-4.0,10,-86,159331,225,D
26,2019.12.16,,13.40.29,,0,5G,-98,-16,0.0,10,-84,157899,225,D
27,2019.12.16,,13.40.30,,0,5G,-98,-16,0.0,10,-84,162756,234,D
28,2019.12.16,,13.40.31,,0,5G,-99,-13,-4.0,10,-84,163776,182,D
29,2019.12.16,,13.40.33,,0,5G,-99,-13,-4.0,10,-84,279678,366,D
30,2019.12.16,,13.40.35,,0,5G,-97,-14,-1.0,10,-84,166645,279,D
31,2019.12.16,,13.40.35,,0,5G,-97,-14,-1.0,10,-84,222253,244,D
34,2019.12.16,,13.40.37,,0,5G,-103,-13,0.0,10,-84,6997,100,D
35,2019.12.16,,13.40.38,,0,5G,-100,-12,0.0,9,-86,29871,115,D
36,2019.12.16,,13.40.39,,0,5G,-100,-12,0.0,9,-86,31879,184,D
37,2019.12.16,,13.40.40,,0,5G,-97,-15,-1.0,9,-86,31015,81,D
38,2019.12.16,,13.40.41,,0,5G,-97,-15,-1.0,10,-88,159040,320,D
39,2019.12.16,,13.40.43,,0,5G,-100,-17,0.0,10,-88,202205,358,D
40,2019.12.16,,13.40.44,,0,5G,-100,-17,0.0,10,-88,203437,215,D
41,2019.12.16,,13.40.45,,0,5G,-100,-16,-2.0,10,-86,211206,294,D
42,2019.12.16,,13.40.46,,0,5G,-100,-16,-2.0,11,-90,211928,203,D
43,2019.12.16,,13.40.47,,0,5G,-96,-16,4.0,11,-90,221852,225,D
44,2019.12.16,,13.40.49,,0,5G,-96,-17,1.0,11,-90,67874,102,D
47,2019.12.16,,13.40.51,,0,5G,-96,-14,1.0,11,-90,24320,260,D
48,2019.12.16,,13.40.53,,0,5G,-96,-14,1.0,11,-90,23853,78,D
49,2019.12.16,,13.40.54,,0,5G,-96,-15,3.0,11,-90,23720,79,D
50,2019.12.16,,13.40.55,,0,5G,-96,-15,3.0,11,-90,23809,78,D
51,2019.12.16,,13.40.56,,0,5G,-96,-16,2.0,11,-90,24167,76,D
52,2019.12.16,,13.40.57,,0,5G,-96,-16,2.0,11,-90,24070,87,D
53,2019.12.16,,13.40.58,,0,5G,-96,-15,-2.0,11,-90,24169,80,D
54,2019.12.16,,13.40.59,,0,5G,-96,-15,-2.0,11,-90,25306,86,D
55,2019.12.16,,13.41.01,,0,5G,-96,-14,1.0,11,-90,24158,72,D
56,2019.12.16,,13.41.03,,0,5G,-96,-17,-1.0,11,-90,14472,51,D
59,2019.12.16,,13.41.05,,0,5G,-96,-15,0.0,11,-90,13003,201,D
60,2019.12.16,,13.41.06,,0,5G,-96,-15,0.0,11,-90,18164,75,D
61,2019.12.16,,13.41.07,,0,5G,-96,-12,4.0,11,-90,19216,74,D
62,2019.12.16,,13.41.09,,0,5G,-96,-12,4.0,8,-92,19411,74,D
63,2019.12.16,,13.41.10,,0,5G,-96,-15,0.0,8,-92,20959,74,D
64,2019.12.16,,13.41.11,,0,5G,-96,-15,0.0,8,-92,20041,75,D
65,2019.12.16,,13.41.12,,0,5G,-96,-16,-1.0,8,-92,20272,64,D
66,2019.12.16,,13.41.13,,0,5G,-96,-16,-1.0,6,-89,19590,74,D
67,2019.12.16,,13.41.14,,0,5G,-99,-15,-2.0,6,-89,19688,74,D
68,2019.12.16,,13.41.15,,0,5G,-99,-15,-2.0,6,-89,19764,68,D
69,2019.12.16,,13.41.16,,0,5G,-96,-13,1.0,6,-89,17822,68,D
72,2019.12.16,,13.41.19,,0,5G,-99,-18,-6.0,11,-89,11375,178,D
73,2019.12.16,,13.41.20,,0,5G,-99,-18,-6.0,11,-89,23488,83,D
74,2019.12.16,,13.41.21,,0,5G,-100,-18,-5.0,11,-89,23311,80,D
75,2019.12.16,,13.41.22,,0,5G,-100,-18,-5.0,11,-89,22777,86,D
76,2019.12.16,,13.41.23,,0,5G,-100,-17,-5.0,11,-89,43375,120,D
77,2019.12.16,,13.41.24,,0,5G,-100,-17,-5.0,11,-89,201641,334,D
78,2019.12.16,,13.41.25,,0,5G,-100,-17,-7.0,11,-89,187045,170,D
79,2019.12.16,,13.41.26,,0,5G,-100,-17,-7.0,11,-89,249825,566,D
80,2019.12.16,,13.41.28,,0,5G,-99,-16,-3.0,11,-89,184298,290,D
81,2019.12.16,,13.41.29,,0,5G,-99,-16,-3.0,11,-89,217767,212,D
82,2019.12.16,,13.41.31,,0,5G,-100,-19,-2.0,14,-87,76668,78,D
85,2019.12.16,,13.41.33,,0,5G,-96,-15,-5.0,14,-87,75742,348,D
86,2019.12.16,,13.41.34,,0,5G,-99,-14,3.0,14,-87,200481,219,D
87,2019.12.16,,13.41.35,,0,5G,-99,-14,3.0,14,-87,240129,189,D
