,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
8,2020.01.16,,,10.43.42,,0,5G,-99,-11,5.0,14,-105,14199,219,D
9,2020.01.16,,,10.43.43,,0,5G,-99,-11,5.0,14,-105,27292,84,D
10,2020.01.16,,,10.43.44,,0,5G,-100,-9,2.0,11,-105,133037,221,D
11,2020.01.16,,,10.43.45,,0,5G,-100,-9,2.0,11,-105,168763,181,D
12,2020.01.16,,,10.43.46,,0,5G,-101,-15,3.0,9,-105,160461,205,D
13,2020.01.16,,,10.43.47,,0,5G,-101,-15,3.0,9,-105,164948,211,D
14,2020.01.16,,,10.43.49,,0,5G,-102,-12,6.0,14,-105,162083,215,D
15,2020.01.16,,,10.43.50,,0,5G,-102,-12,6.0,14,-105,155306,213,D
16,2020.01.16,,,10.43.51,,0,5G,-105,-14,4.0,10,-105,165436,297,D
17,2020.01.16,,,10.43.52,,0,5G,-105,-14,4.0,10,-105,151753,183,D
18,2020.01.16,,,10.43.53,,0,5G,-99,-12,3.0,15,-103,12,1,D
19,2020.01.16,,,10.43.53,,0,5G,-99,-12,3.0,15,-103,12,1,D
20,2020.01.16,,,10.43.54,,0,5G,-99,-12,3.0,15,-103,8183,152,D
21,2020.01.16,,,10.43.55,,0,5G,-98,-13,10.0,13,-103,17765,88,D
22,2020.01.16,,,10.43.57,,0,5G,-98,-13,10.0,13,-101,56367,165,D
23,2020.01.16,,,10.43.58,,0,5G,-98,-18,2.0,10,-101,111665,191,D
24,2020.01.16,,,10.43.59,,0,5G,-98,-18,2.0,10,-101,108687,207,D
25,2020.01.16,,,10.44.00,,0,5G,-100,-18,2.0,15,-101,108466,209,D
26,2020.01.16,,,10.44.01,,0,5G,-100,-18,2.0,15,-101,105553,205,D
27,2020.01.16,,,10.44.03,,0,5G,-105,-17,4.0,15,-105,84461,323,D
28,2020.01.16,,,10.44.04,,0,5G,-105,-17,4.0,15,-103,68214,187,D
29,2020.01.16,,,10.44.05,,0,5G,-95,-15,4.0,15,-107,72586,181,D
30,2020.01.16,,,10.44.06,,0,5G,-95,-15,4.0,15,-105,57117,165,D
33,2020.01.16,,,10.44.08,,0,5G,-102,-15,8.0,9,-105,16533,176,D
34,2020.01.16,,,10.44.10,,0,5G,-100,-13,7.0,15,-105,22433,66,D
35,2020.01.16,,,10.44.11,,0,5G,-100,-13,7.0,15,-105,21357,69,D
36,2020.01.16,,,10.44.12,,0,5G,-102,-11,-5.0,8,-105,20815,61,D
37,2020.01.16,,,10.44.13,,0,5G,-102,-11,-5.0,8,-105,21725,64,D
38,2020.01.16,,,10.44.14,,0,5G,-103,-11,3.0,10,-105,20543,74,D
39,2020.01.16,,,10.44.16,,0,5G,-103,-11,3.0,10,-105,21326,71,D
40,2020.01.16,,,10.44.17,,0,5G,-103,-14,0.0,15,-105,21238,69,D
41,2020.01.16,,,10.44.18,,0,5G,-103,-14,0.0,15,-105,21265,75,D
42,2020.01.16,,,10.44.20,,0,5G,-101,-10,-5.0,15,-107,4167,17,D
43,2020.01.16,,,10.44.21,,0,5G,-101,-10,-5.0,15,-103,4167,17,D
44,2020.01.16,,,10.44.21,,0,5G,-104,-12,2.0,14,-103,334,12,D
45,2020.01.16,,,10.44.23,,0,5G,-104,-12,2.0,14,-103,20679,146,D
46,2020.01.16,,,10.44.24,,0,5G,-100,-11,-1.0,10,-103,21212,71,D
47,2020.01.16,,,10.44.25,,0,5G,-100,-11,-1.0,10,-103,21762,66,D
48,2020.01.16,,,10.44.26,,0,5G,-100,-11,-1.0,14,-103,21935,72,D
49,2020.01.16,,,10.44.27,,0,5G,-100,-11,-1.0,14,-103,22945,83,D
50,2020.01.16,,,10.44.29,,0,5G,-100,-13,-4.0,8,-103,22874,72,D
51,2020.01.16,,,10.44.30,,0,5G,-100,-13,-4.0,8,-103,20948,68,D
52,2020.01.16,,,10.44.31,,0,5G,-100,-12,3.0,13,-103,19121,56,D
53,2020.01.16,,,10.44.32,,0,5G,-100,-12,3.0,13,-103,22289,72,D
54,2020.01.16,,,10.44.33,,0,5G,-97,-11,8.0,15,-103,21667,68,D
57,2020.01.16,,,10.44.36,,0,5G,-100,-13,1.0,12,-103,6060,97,D
58,2020.01.16,,,10.44.37,,0,5G,-100,-13,1.0,12,-103,15471,108,D
59,2020.01.16,,,10.44.38,,0,5G,-100,-11,6.0,14,-103,15469,70,D
60,2020.01.16,,,10.44.39,,0,5G,-100,-11,6.0,14,-103,16515,75,D
61,2020.01.16,,,10.44.40,,0,5G,-99,-11,-2.0,14,-103,17305,81,D
62,2020.01.16,,,10.44.42,,0,5G,-99,-11,-2.0,14,-103,14380,105,D
63,2020.01.16,,,10.44.43,,0,5G,-99,-11,1.0,12,-103,16803,70,D
64,2020.01.16,,,10.44.44,,0,5G,-99,-11,1.0,12,-105,11362,115,D
65,2020.01.16,,,10.44.45,,0,5G,-101,-15,6.0,12,-105,16010,65,D
66,2020.01.16,,,10.44.46,,0,5G,-101,-15,6.0,12,-105,16733,58,D
67,2020.01.16,,,10.44.47,,0,5G,-104,-11,0.0,10,-105,13214,67,D
70,2020.01.16,,,10.44.50,,0,5G,-100,-14,5.0,15,-105,10156,127,D
71,2020.01.16,,,10.44.51,,0,5G,-100,-14,5.0,15,-103,21749,61,D
72,2020.01.16,,,10.44.52,,0,5G,-102,-14,-9.0,11,-103,22890,76,D
