,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
0,13.21.26,0,5G,-103,-15,5.0,12,-107,63,20,D
1,13.21.27,0,5G,-103,-15,5.0,12,-107,2,4,D
2,13.21.27,0,5G,-102,-15,1.0,12,-107,2,4,D
4,13.21.29,0,5G,-103,-16,-2.0,10,-105,2,4,D
5,13.21.30,0,5G,-103,-16,-2.0,10,-109,4,6,D
6,13.21.30,0,5G,-103,-16,-2.0,10,-109,4,6,D
7,13.21.31,0,5G,-104,-16,2.0,9,-105,20568,254,D
8,13.21.33,0,5G,-104,-16,2.0,9,-105,22021,57,D
9,13.21.34,0,5G,-105,-13,-4.0,6,-103,22064,61,D
10,13.21.35,0,5G,-105,-13,-4.0,6,-105,20854,64,D
11,13.21.36,0,5G,-103,-16,-1.0,11,-105,21208,61,D
12,13.21.37,0,5G,-103,-16,-1.0,11,-105,21882,69,D
13,13.21.38,0,5G,-103,-14,-1.0,11,-105,21508,69,D
14,13.21.40,0,5G,-103,-14,-1.0,11,-105,21777,69,D
15,13.21.41,0,5G,-104,-15,-3.0,7,-105,21536,62,D
16,13.21.43,0,5G,-102,-14,4.0,10,-105,4772,12,D
17,13.21.44,0,5G,-102,-14,4.0,10,-105,4772,12,D
18,13.21.44,0,5G,-102,-14,4.0,10,-105,3090,59,D
19,13.21.46,0,5G,-103,-13,2.0,12,-105,20791,118,D
20,13.21.47,0,5G,-103,-13,2.0,12,-105,23288,62,D
21,13.21.48,0,5G,-103,-13,-1.0,9,-105,23119,61,D
22,13.21.49,0,5G,-103,-13,-1.0,9,-105,24412,73,D
23,13.21.50,0,5G,-101,-13,2.0,11,-105,23779,71,D
24,13.21.52,0,5G,-101,-13,2.0,11,-105,22444,67,D
25,13.21.53,0,5G,-102,-14,-3.0,11,-105,23291,64,D
26,13.21.54,0,5G,-102,-14,-3.0,11,-105,23529,64,D
27,13.21.55,0,5G,-102,-13,0.0,12,-107,23327,72,D
28,13.21.56,0,5G,-102,-13,0.0,12,-107,21119,55,D
31,13.21.58,0,5G,-102,-12,5.0,13,-105,6737,95,D
32,13.22.00,0,5G,-103,-14,-5.0,10,-105,19847,83,D
33,13.22.01,0,5G,-103,-14,-5.0,10,-105,19671,175,D
34,13.22.02,0,5G,-103,-12,-4.0,11,-105,20380,65,D
35,13.22.03,0,5G,-103,-12,-4.0,11,-105,22519,68,D
36,13.22.04,0,5G,-103,-12,-4.0,12,-105,19874,71,D
37,13.22.06,0,5G,-103,-12,-4.0,12,-105,19880,66,D
38,13.22.07,0,5G,-104,-12,0.0,11,-105,20028,70,D
