,Date,Day#_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
5,2019.11.23,,12.27.38,,0,5G,-88,-8,8.0,13,-73,49,14,D
6,2019.11.23,,12.27.39,,0,5G,-84,-8,13.0,13,-73,5721,453,D
7,2019.11.23,,12.27.40,,0,5G,-84,-8,13.0,15,-,41296,1009,D
8,2019.11.23,,12.27.41,,0,5G,-80,-7,21.0,15,-77,36804,990,D
9,2019.11.23,,12.27.42,,0,5G,-80,-7,21.0,13,-71,10729,354,D
10,2019.11.23,,12.27.43,,0,5G,-80,-8,18.0,12,-74,37457,370,D
11,2019.11.23,,12.27.44,,0,5G,-80,-8,18.0,12,-74,34951,281,D
12,2019.11.23,,12.27.45,,0,5G,-81,-10,18.0,12,-74,28028,235,D
13,2019.11.23,,12.27.47,,0,5G,-81,-10,18.0,12,-74,42319,331,D
14,2019.11.23,,12.27.48,,0,5G,-80,-8,13.0,11,-76,52522,529,D
15,2019.11.23,,12.27.49,,0,5G,-80,-8,13.0,11,-76,145,9,D
16,2019.11.23,,12.27.50,,0,5G,-83,-9,15.0,10,-,30,4,D
35,2019.11.23,,12.28.10,,0,5G,-78,-8,14.0,13,-68,83,208,D
41,2019.11.23,,12.28.17,,0,5G,-90,-10,6.0,12,-79,45,18,D
42,2019.11.23,,12.28.18,,0,5G,-87,-9,8.0,11,-81,34,14,D
62,2019.11.23,,12.28.38,,24,5G,-100,-15,-3.0,3,-94,17,49,D
66,2019.11.23,,12.28.43,,24,5G,-99,-15,-3.0,3,-94,16,28,D
76,2019.11.23,,12.28.52,,24,5G,-97,-13,5.0,12,-92,14,26,D
109,2019.11.23,,12.29.27,,17,5G,-93,-11,2.0,10,-76,2263,50,D
110,2019.11.23,,12.29.28,,17,5G,-93,-11,2.0,10,-81,18006,268,D
111,2019.11.23,,12.29.29,,17,5G,-92,-12,10.0,10,-81,14423,117,D
120,2019.11.23,,12.29.39,,17,5G,-91,-16,0.0,9,-83,15,26,D
124,2019.11.23,,12.29.43,,17,5G,-91,-13,2.0,14,-,14,26,D
155,2019.11.23,,12.30.14,,34,5G,-90,-13,4.0,11,-76,22052,139,D
182,2019.11.23,,12.30.43,,34,5G,-96,-11,6.0,11,-81,15,27,D
198,2019.11.23,,12.30.59,,27,5G,-88,-11,6.0,15,-82,35274,279,D
243,2019.11.23,,12.31.45,,65,5G,-101,-15,-7.0,10,-94,30112,194,D
244,2019.11.23,,12.31.46,,65,5G,-101,-15,-7.0,10,-94,1167,3,D
290,2019.11.23,,12.32.30,,98,LTE,-86,-9,6.0,8,-68,2411,50,D
291,2019.11.23,,12.32.31,,98,LTE,-86,-9,6.0,8,-68,15182,232,D
292,2019.11.23,,12.32.32,,98,LTE,-86,-12,7.0,9,-74,13943,235,D
293,2019.11.23,,12.32.32,,100,LTE,-86,-12,7.0,9,-74,13943,235,D
294,2019.11.23,,12.32.33,,100,LTE,-86,-12,7.0,6,-,887,20,D
304,2019.11.23,,12.32.42,,101,LTE,-88,-11,-4.0,8,-69,26,17,D
305,2019.11.23,,12.32.43,,101,LTE,-83,-13,0.0,7,-67,15,27,D
309,2019.11.23,,12.32.46,,101,LTE,-80,-11,1.0,5,-64,11,1,D
344,2019.11.23,,12.33.17,,94,LTE,-85,-8,6.0,6,-68,10985,189,D
345,2019.11.23,,12.33.18,,94,LTE,-85,-8,6.0,6,-68,7000,129,D
346,2019.11.23,,12.33.19,,94,LTE,-85,-12,8.0,6,-68,15052,229,D
372,2019.11.23,,12.33.43,,76,LTE,-97,-9,7.0,11,-81,15,28,D
373,2019.11.23,,12.33.44,,76,LTE,-97,-9,7.0,11,-81,22,1,D
394,2019.11.23,,12.34.04,,18,LTE,-88,-11,2.0,6,-71,21866,264,D
433,2019.11.23,,12.34.43,,77,LTE,-95,-13,6.0,9,-77,18,32,D
434,2019.11.23,,12.34.43,,82,LTE,-95,-13,6.0,9,-77,18,32,D
441,2019.11.23,,12.34.50,,86,LTE,-95,-11,4.0,7,-82,7274,138,D
442,2019.11.23,,12.34.51,,86,LTE,-95,-11,4.0,9,-75,11906,189,D
443,2019.11.23,,12.34.52,,86,LTE,-92,-12,5.0,10,-72,11292,184,D
444,2019.11.23,,12.34.53,,86,LTE,-92,-12,5.0,10,-72,1254,19,D
445,2019.11.23,,12.34.53,,88,LTE,-92,-12,5.0,11,-70,1254,19,D
496,2019.11.23,,12.35.37,,91,LTE,-83,-11,5.0,14,-63,12230,220,D
497,2019.11.23,,12.35.38,,91,LTE,-83,-11,5.0,8,-69,14952,214,D
498,2019.11.23,,12.35.38,,91,LTE,-83,-11,5.0,8,-69,14952,214,D
499,2019.11.23,,12.35.39,,91,LTE,-86,-15,2.0,5,-67,5419,88,D
504,2019.11.23,,12.35.43,,91,LTE,-87,-12,6.0,8,-70,17,32,D
505,2019.11.23,,12.35.44,,91,LTE,-87,-12,6.0,8,-70,79,14,D
549,2019.11.23,,12.36.23,,88,5G,-98,-13,2.0,7,-80,9706,147,D
550,2019.11.23,,12.36.24,,88,5G,-97,-13,-4.0,8,-94,4652,76,D
551,2019.11.23,,12.36.24,,86,5G,-97,-13,-4.0,8,-94,4652,76,D
552,2019.11.23,,12.36.25,,86,5G,-97,-13,-4.0,10,-85,14495,159,D
570,2019.11.23,,12.36.42,,83,5G,-101,-15,1.0,7,-85,11,1,D
571,2019.11.23,,12.36.43,,83,5G,-101,-15,1.0,8,-81,16,28,D
603,2019.11.23,,12.37.11,,86,5G,-66,-11,14.0,14,-57,12644,96,D
604,2019.11.23,,12.37.12,,86,5G,-66,-9,19.0,14,-55,12598,97,D
639,2019.11.23,,12.37.43,,84,5G,-70,-9,1.0,13,-58,15,27,D
646,2019.11.23,,12.37.49,,84,5G,-81,-12,3.0,12,-66,33,18,D
647,2019.11.23,,12.37.49,,84,5G,-81,-12,3.0,12,-66,33,18,D
655,2019.11.23,,12.37.57,,84,5G,-82,-11,11.0,9,-68,273,20,D
656,2019.11.23,,12.37.58,,84,5G,-82,-11,11.0,9,-70,1914,126,D
657,2019.11.23,,12.37.59,,84,5G,-83,-11,1.0,14,-68,2218,36,D
658,2019.11.23,,12.37.59,,83,5G,-83,-11,1.0,13,-63,2218,36,D
659,2019.11.23,,12.38.00,,83,5G,-83,-11,1.0,13,-63,21259,191,D
660,2019.11.23,,12.38.01,,83,5G,-83,-10,-1.0,13,-63,5713,32,D
705,2019.11.23,,12.38.43,,86,5G,-84,-16,-5.0,9,-55,15,27,D
708,2019.11.23,,12.38.45,,85,5G,-79,-9,11.0,13,-62,7076,65,D
709,2019.11.23,,12.38.46,,85,5G,-79,-12,4.0,11,-54,22477,161,D
760,2019.11.23,,12.39.32,,91,5G,-80,-16,-2.0,9,-50,21311,154,D
761,2019.11.23,,12.39.32,,89,5G,-80,-16,-2.0,9,-58,21311,154,D
762,2019.11.23,,12.39.33,,89,5G,-80,-16,-2.0,9,-58,9941,73,D
774,2019.11.23,,12.39.43,,91,5G,-80,-10,6.0,12,-67,15,27,D
775,2019.11.23,,12.39.44,,88,5G,-80,-10,6.0,12,-73,15,27,D
812,2019.11.23,,12.40.17,,87,5G,-94,-15,-9.0,9,-83,303,23,D
813,2019.11.23,,12.40.18,,87,5G,-94,-15,-9.0,9,-83,4437,89,D
814,2019.11.23,,12.40.19,,87,5G,-99,-17,-8.0,9,-83,11136,87,D
815,2019.11.23,,12.40.19,,88,5G,-99,-17,-8.0,9,-83,11136,87,D
847,2019.11.23,,12.40.48,,83,5G,-101,-21,-9.0,10,-,15,26,D
867,2019.11.23,,12.41.05,,84,5G,-86,-22,-16.0,2,-79,6961,98,D
868,2019.11.23,,12.41.06,,84,5G,-87,-23,-13.0,3,-,11172,82,D
908,2019.11.23,,12.41.44,,88,LTE,-83,-7,5.0,9,-74,15,7,D
909,2019.11.23,,12.41.44,,87,LTE,-83,-7,5.0,8,-77,15,7,D
917,2019.11.23,,12.41.51,,86,LTE,-98,-13,-7.0,3,-85,838,20,D
918,2019.11.23,,12.41.52,,86,LTE,-98,-13,-7.0,4,-88,145,6,D
919,2019.11.23,,12.41.53,,86,LTE,-105,-19,-9.0,5,-,1228,62,D
920,2019.11.23,,12.41.55,,84,LTE,-105,-17,-6.0,5,-,637,12,D
921,2019.11.23,,12.41.57,,84,LTE,-105,-17,-6.0,5,-,233,4,D
922,2019.11.23,,12.41.58,,84,LTE,-105,-17,-6.0,3,-84,66,2,D
928,2019.11.23,,12.42.03,,92,HSPA+,-79,-2,-,-,-,1868,54,D
929,2019.11.23,,12.42.03,,99,HSPA+,-79,-2,-,-,-,1868,54,D
930,2019.11.23,,12.42.04,,99,HSPA+,-71,-2,-,-,-,5936,133,D
931,2019.11.23,,12.42.05,,99,HSPA+,-71,-2,-,-,-,5800,139,D
946,2019.11.23,,12.42.19,,84,5G,-99,-10,3.0,10,-81,33,18,D
953,2019.11.23,,12.42.25,,86,5G,-79,-7,9.0,14,-58,62,30,D
954,2019.11.23,,12.42.26,,86,5G,-79,-8,15.0,14,-58,62,155,D
975,2019.11.23,,12.42.45,,86,5G,-75,-10,9.0,12,-51,23,44,D
982,2019.11.23,,12.42.51,,81,5G,-74,-8,12.0,11,-51,1236,34,D
983,2019.11.23,,12.42.52,,81,5G,-70,-8,11.0,7,-54,1792,27,D
1015,2019.11.23,,12.43.23,,35,5G,-68,-9,17.0,14,-58,34,17,D
1016,2019.11.23,,12.43.24,,35,5G,-74,-15,7.0,13,-54,1004,102,D
1017,2019.11.23,,12.43.26,,35,5G,-74,-15,7.0,14,-62,13765,138,D
1018,2019.11.23,,12.43.27,,35,5G,-75,-13,13.0,14,-62,2136,48,D
1029,2019.11.23,,12.43.37,,0,5G,-77,-15,-2.0,13,-62,462,6,D
1035,2019.11.23,,12.43.44,,0,5G,-75,-9,5.0,13,-65,16,27,D
1082,2019.11.23,,12.44.30,,36,5G,-78,-11,10.0,15,-62,32,27,D
1083,2019.11.23,,12.44.31,,36,5G,-76,-10,13.0,15,-62,107,163,D
1084,2019.11.23,,12.44.33,,36,5G,-76,-10,13.0,14,-57,5223,446,D
1085,2019.11.23,,12.44.34,,36,5G,-78,-13,12.0,14,-59,7098,318,D
1086,2019.11.23,,12.44.35,,36,5G,-78,-13,12.0,14,-59,7817,231,D
1087,2019.11.23,,12.44.36,,36,5G,-78,-12,14.0,14,-59,5953,188,D
1088,2019.11.23,,12.44.37,,36,5G,-78,-12,14.0,14,-59,9221,203,D
1089,2019.11.23,,12.44.38,,36,5G,-75,-12,22.0,13,-57,13569,143,D
1090,2019.11.23,,12.44.39,,36,5G,-75,-12,22.0,15,-60,876,50,D
1091,2019.11.23,,12.44.40,,36,5G,-78,-13,17.0,15,-60,219,20,D
1092,2019.11.23,,12.44.41,,36,5G,-78,-13,17.0,15,-62,303,21,D
