,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
4,2019.11.23,,13.28.29,1,5G,-105,-15,-5.0,10,-89,86,48,D
5,2019.11.23,,13.28.30,1,5G,-105,-15,-5.0,12,-85,83,1,D
6,2019.11.23,,13.28.31,1,5G,-101,-14,0.0,12,-85,38,134,D
7,2019.11.23,,13.28.32,1,5G,-101,-14,0.0,12,-83,7356,518,D
8,2019.11.23,,13.28.33,1,5G,-100,-12,-4.0,10,-85,8149,272,D
9,2019.11.23,,13.28.34,1,5G,-100,-12,-4.0,11,-110,9067,328,D
10,2019.11.23,,13.28.35,1,5G,-101,-14,-2.0,11,-110,10099,408,D
11,2019.11.23,,13.28.36,1,5G,-101,-14,-2.0,11,-110,14548,518,D
12,2019.11.23,,13.28.37,1,5G,-102,-15,-3.0,11,-110,7538,258,D
13,2019.11.23,,13.28.38,1,5G,-102,-15,-3.0,14,-110,2686,128,D
14,2019.11.23,,13.28.39,1,5G,-101,-14,-3.0,15,-85,4265,143,D
15,2019.11.23,,13.28.41,1,5G,-101,-14,-3.0,15,-110,6895,228,D
16,2019.11.23,,13.28.42,1,5G,-103,-15,1.0,15,-110,9029,247,D
17,2019.11.23,,13.28.43,1,5G,-103,-15,1.0,14,-110,2470,97,D
18,2019.11.23,,13.28.44,1,5G,-103,-13,2.0,14,-110,6045,111,D
19,2019.11.23,,13.28.45,1,5G,-103,-13,2.0,14,-110,3890,82,D
20,2019.11.23,,13.28.46,1,5G,-103,-16,7.0,15,-110,313,25,D
21,2019.11.23,,13.28.47,1,5G,-103,-16,7.0,11,-86,506,49,D
22,2019.11.23,,13.28.48,1,5G,-102,-15,6.0,11,-86,1324,41,D
23,2019.11.23,,13.28.49,1,5G,-102,-15,6.0,11,-86,23169,503,D
24,2019.11.23,,13.28.50,1,5G,-105,-14,-2.0,11,-86,16829,189,D
25,2019.11.23,,13.28.51,1,5G,-105,-14,-2.0,11,-86,14194,146,D
26,2019.11.23,,13.28.52,1,5G,-105,-12,6.0,11,-86,26623,297,D
27,2019.11.23,,13.28.53,1,5G,-105,-12,6.0,11,-86,21903,189,D
28,2019.11.23,,13.28.54,1,5G,-103,-13,4.0,11,-86,10236,167,D
29,2019.11.23,,13.28.55,1,5G,-103,-13,4.0,11,-83,23477,225,D
30,2019.11.23,,13.28.57,1,5G,-103,-12,-2.0,11,-83,10516,58,D
54,2019.11.23,,13.29.23,1,5G,-102,-16,9.0,12,-86,54,32,D
60,2019.11.23,,13.29.29,1,5G,-103,-16,8.0,11,-86,17,47,D
68,2019.11.23,,13.29.38,1,5G,-101,-11,9.0,9,-86,14,26,D
72,2019.11.23,,13.29.42,1,5G,-102,-15,-3.0,9,-86,13593,105,D
114,2019.11.23,,13.30.27,1,5G,-101,-14,0.0,11,-110,20131,134,D
119,2019.11.23,,13.30.33,1,5G,-102,-16,7.0,11,-110,11,1,D
124,2019.11.23,,13.30.38,1,5G,-103,-13,8.0,11,-84,15,27,D
156,2019.11.23,,13.31.13,1,5G,-103,-15,9.0,11,-85,21559,133,D
179,2019.11.23,,13.31.38,1,5G,-104,-13,3.0,13,-110,15,26,D
198,2019.11.23,,13.31.58,1,5G,-103,-12,1.0,11,-87,11743,199,D
199,2019.11.23,,13.31.59,1,5G,-103,-12,1.0,10,-85,2938,44,D
200,2019.11.23,,13.32.00,1,5G,-102,-16,-3.0,10,-85,5004,67,D
235,2019.11.23,,13.32.38,1,5G,-102,-15,-5.0,10,-83,15,28,D
241,2019.11.23,,13.32.45,1,5G,-103,-13,-2.0,13,-85,2655,30,D
242,2019.11.23,,13.32.46,1,5G,-102,-13,6.0,13,-85,18921,162,D
269,2019.11.23,,13.33.15,1,5G,-103,-15,-6.0,11,-110,119,83,D
270,2019.11.23,,13.33.16,1,5G,-103,-15,-1.0,11,-110,55,14,D
274,2019.11.23,,13.33.20,1,5G,-103,-15,-3.0,11,-110,35,4,D
280,2019.11.23,,13.33.27,1,5G,-102,-14,4.0,11,-110,14,16,D
284,2019.11.23,,13.33.31,1,5G,-103,-15,-4.0,14,-86,27434,237,D
285,2019.11.23,,13.33.32,1,5G,-103,-15,-4.0,14,-86,3208,17,D
290,2019.11.23,,13.33.38,1,5G,-102,-13,-3.0,14,-86,15,27,D
327,2019.11.23,,13.34.17,1,5G,-102,-13,-3.0,13,-84,13974,108,D
346,2019.11.23,,13.34.38,1,5G,-102,-15,-3.0,9,-84,16,27,D
369,2019.11.23,,13.35.03,1,5G,-102,-13,4.0,12,-110,9000,147,D
370,2019.11.23,,13.35.04,1,5G,-101,-13,5.0,15,-82,5147,116,D
403,2019.11.23,,13.35.40,1,5G,-101,-12,-2.0,8,-110,17,1,D
404,2019.11.23,,13.35.41,1,5G,-102,-13,6.0,8,-110,11,0,D
415,2019.11.23,,13.35.53,1,5G,-101,-11,1.0,12,-110,345,11,D
416,2019.11.23,,13.35.54,1,5G,-102,-16,-5.0,10,-110,16,1,D
417,2019.11.23,,13.35.55,1,5G,-102,-16,-5.0,12,-83,178,13,D
418,2019.11.23,,13.35.56,1,5G,-103,-12,7.0,12,-83,279,6,D
419,2019.11.23,,13.35.57,1,5G,-103,-12,7.0,10,-110,156,4,D
420,2019.11.23,,13.35.58,1,5G,-102,-12,-3.0,10,-110,145,6,D
421,2019.11.23,,13.35.59,1,5G,-102,-12,-3.0,10,-110,33,1,D
423,2019.11.23,,13.36.01,1,5G,-103,-15,2.0,15,-85,11,0,D
424,2019.11.23,,13.36.02,1,5G,-101,-13,-4.0,15,-85,101,5,D
425,2019.11.23,,13.36.03,1,5G,-101,-13,-4.0,15,-85,22,0,D
426,2019.11.23,,13.36.04,1,5G,-102,-14,4.0,15,-85,56,2,D
427,2019.11.23,,13.36.05,1,5G,-102,-14,4.0,15,-85,23,1,D
429,2019.11.23,,13.36.08,1,5G,-101,-13,-6.0,8,-110,2847,50,D
430,2019.11.23,,13.36.09,1,5G,-102,-14,-3.0,8,-110,198,4,D
432,2019.11.23,,13.36.11,1,5G,-102,-15,-5.0,9,-83,428,17,D
433,2019.11.23,,13.36.12,1,5G,-102,-15,-5.0,9,-83,206,16,D
434,2019.11.23,,13.36.13,1,5G,-102,-13,-5.0,9,-83,277,5,D
435,2019.11.23,,13.36.14,1,5G,-102,-13,-5.0,9,-86,55,2,D
436,2019.11.23,,13.36.15,1,5G,-102,-14,5.0,9,-86,13,5,D
437,2019.11.23,,13.36.16,1,5G,-102,-14,5.0,9,-86,22,1,D
438,2019.11.23,,13.36.17,1,5G,-103,-12,3.0,9,-86,57,4,D
439,2019.11.23,,13.36.18,1,5G,-103,-12,3.0,9,-86,33,2,D
440,2019.11.23,,13.36.19,1,5G,-103,-11,7.0,9,-86,11,0,D
441,2019.11.23,,13.36.21,1,5G,-103,-11,7.0,9,-86,22,0,D
442,2019.11.23,,13.36.22,1,5G,-103,-11,4.0,15,-84,78,4,D
443,2019.11.23,,13.36.23,1,5G,-103,-11,4.0,15,-84,45,2,D
445,2019.11.23,,13.36.25,1,5G,-103,-15,-7.0,12,-86,11,1,D
446,2019.11.23,,13.36.26,1,5G,-103,-13,-5.0,10,-84,11,0,D
448,2019.11.23,,13.36.28,1,5G,-102,-13,-6.0,10,-84,11,0,D
451,2019.11.23,,13.36.31,1,5G,-103,-14,-1.0,14,-86,55,2,D
452,2019.11.23,,13.36.32,1,5G,-102,-14,-1.0,14,-86,345,11,D
455,2019.11.23,,13.36.36,1,5G,-102,-16,-5.0,14,-86,17364,164,D
456,2019.11.23,,13.36.37,1,5G,-102,-13,2.0,12,-83,21138,143,D
457,2019.11.23,,13.36.38,1,5G,-102,-13,2.0,14,-85,16,27,D
498,2019.11.23,,13.37.22,1,5G,-103,-16,3.0,15,-86,22172,155,D
513,2019.11.23,,13.37.38,1,5G,-99,-15,1.0,15,-87,16,27,D
540,2019.11.23,,13.38.08,1,5G,-98,-13,0.0,15,-110,12210,82,D
541,2019.11.23,,13.38.09,1,5G,-98,-13,0.0,15,-110,11952,79,D
568,2019.11.23,,13.38.38,1,5G,-98,-12,12.0,11,-83,15,27,D
573,2019.11.23,,13.38.43,1,5G,-99,-15,6.0,11,-83,11,0,D
583,2019.11.23,,13.38.54,1,5G,-98,-10,0.0,10,-83,24457,163,D
624,2019.11.23,,13.39.38,1,5G,-100,-13,3.0,11,-83,670,48,D
625,2019.11.23,,13.39.39,1,5G,-100,-13,3.0,11,-83,23523,349,D
626,2019.11.23,,13.39.40,1,5G,-100,-16,7.0,11,-83,9116,120,D
668,2019.11.23,,13.40.26,1,5G,-99,-15,0.0,12,-81,8201,129,D
669,2019.11.23,,13.40.27,1,5G,-99,-15,0.0,12,-84,11,0,D
671,2019.11.23,,13.40.29,1,5G,-100,-13,-2.0,12,-82,4399,142,D
672,2019.11.23,,13.40.30,1,5G,-99,-14,-1.0,12,-82,2133,31,D
673,2019.11.23,,13.40.31,1,5G,-99,-14,-1.0,10,-84,4048,61,D
674,2019.11.23,,13.40.32,1,5G,-99,-14,-2.0,10,-84,24414,188,D
675,2019.11.23,,13.40.33,1,5G,-99,-14,-2.0,10,-84,3977,18,D
716,2019.11.23,,13.41.18,1,5G,-99,-13,6.0,10,-87,17443,142,D
717,2019.11.23,,13.41.19,1,5G,-99,-13,6.0,10,-87,11280,82,D
735,2019.11.23,,13.41.38,1,5G,-100,-14,-1.0,10,-85,15,27,D
758,2019.11.23,,13.42.03,1,5G,-99,-11,4.0,14,-82,1839,44,D
759,2019.11.23,,13.42.04,1,5G,-99,-11,4.0,14,-82,5185,96,D
760,2019.11.23,,13.42.05,1,5G,-99,-12,5.0,14,-110,7920,144,D
772,2019.11.23,,13.42.18,1,5G,-100,-14,2.0,12,-87,11,1,D
802,2019.11.23,,13.42.51,1,5G,-100,-13,5.0,14,-110,6981,131,D
803,2019.11.23,,13.42.52,1,5G,-100,-13,5.0,14,-110,11010,128,D
845,2019.11.23,,13.43.37,1,5G,-99,-12,-1.0,13,-85,16137,156,D
846,2019.11.23,,13.43.38,1,5G,-98,-12,-1.0,13,-85,15,27,D
849,2019.11.23,,13.43.41,1,5G,-99,-13,4.0,14,-110,94,129,D
887,2019.11.23,,13.44.22,1,5G,-97,-12,8.0,10,-81,1377,38,D
888,2019.11.23,,13.44.24,1,5G,-98,-14,-2.0,10,-81,1956,24,D
889,2019.11.23,,13.44.25,1,5G,-98,-14,-2.0,10,-81,1073,44,D
890,2019.11.23,,13.44.26,1,5G,-98,-12,5.0,10,-81,105,9,D
891,2019.11.23,,13.44.27,1,5G,-98,-12,5.0,10,-81,280,15,D
892,2019.11.23,,13.44.28,1,5G,-100,-14,5.0,10,-84,78,3,D
893,2019.11.23,,13.44.29,1,5G,-100,-14,5.0,10,-81,78,4,D
894,2019.11.23,,13.44.30,1,5G,-98,-12,6.0,10,-81,304,19,D
895,2019.11.23,,13.44.31,1,5G,-98,-12,6.0,10,-81,278,6,D
896,2019.11.23,,13.44.32,1,5G,-100,-14,4.0,9,-83,212,11,D
897,2019.11.23,,13.44.33,1,5G,-100,-14,4.0,9,-83,167,8,D
898,2019.11.23,,13.44.34,1,5G,-100,-14,-2.0,11,-81,34,1,D
899,2019.11.23,,13.44.35,1,5G,-100,-14,-2.0,11,-81,103,10,D
900,2019.11.23,,13.44.36,1,5G,-98,-11,6.0,15,-83,112,5,D
901,2019.11.23,,13.44.38,1,5G,-98,-11,6.0,15,-83,150,21,D
902,2019.11.23,,13.44.39,1,5G,-98,-14,4.0,15,-83,98,36,D
903,2019.11.23,,13.44.40,1,5G,-98,-14,4.0,15,-83,27,17,D
904,2019.11.23,,13.44.41,1,5G,-98,-13,11.0,14,-85,12,1,D
