,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
1,2019.11.24,,12.19.13,0,5G,-102,-14,2.0,4,-110,35,10,D,
2,2019.11.24,,12.19.14,0,5G,-102,-14,2.0,4,-110,35,10,D,
4,2019.11.24,,12.19.15,0,5G,-100,-16,9.0,4,-110,215,66,D,
5,2019.11.24,,12.19.16,0,5G,-102,-15,1.0,4,-110,343,100,D,
6,2019.11.24,,12.19.17,0,5G,-102,-15,1.0,4,-110,1701,99,D,
7,2019.11.24,,12.19.18,0,5G,-100,-15,-1.0,4,-110,57,10,D,
8,2019.11.24,,12.19.20,0,5G,-100,-15,-1.0,4,-110,15928,883,D,
9,2019.11.24,,12.19.21,0,5G,-100,-14,9.0,4,-110,30994,976,D,
10,2019.11.24,,12.19.22,0,5G,-100,-14,9.0,4,-110,30554,912,D,
11,2019.11.24,,12.19.23,0,5G,-100,-15,4.0,11,-85,20619,513,D,
12,2019.11.24,,12.19.24,0,5G,-100,-15,4.0,11,-87,7533,129,D,
13,2019.11.24,,12.19.25,0,5G,-98,-12,6.0,11,-87,6984,116,D,
14,2019.11.24,,12.19.26,0,5G,-98,-12,6.0,11,-85,9428,150,D,
15,2019.11.24,,12.19.27,0,5G,-100,-16,6.0,11,-85,11468,184,D,
16,2019.11.24,,12.19.28,0,5G,-100,-16,6.0,9,-88,13713,225,D,
17,2019.11.24,,12.19.29,0,5G,-100,-14,8.0,9,-88,15048,209,D,
18,2019.11.24,,12.19.30,0,5G,-100,-14,8.0,9,-88,11597,164,D,
19,2019.11.24,,12.19.31,0,5G,-101,-12,4.0,9,-88,6992,132,D,
20,2019.11.24,,12.19.32,0,5G,-101,-12,4.0,9,-88,12288,164,D,
21,2019.11.24,,12.19.33,0,5G,-100,-12,4.0,11,-85,10764,152,D,
22,2019.11.24,,12.19.35,0,5G,-100,-12,4.0,11,-87,13288,166,D,
23,2019.11.24,,12.19.36,0,5G,-100,-14,5.0,12,-89,9564,139,D,
24,2019.11.24,,12.19.37,0,5G,-100,-14,5.0,12,-85,16540,232,D,
25,2019.11.24,,12.19.38,0,5G,-99,-13,9.0,10,-87,5561,174,D,
26,2019.11.24,,12.19.39,0,5G,-99,-13,9.0,10,-87,67,21,D,
36,2019.11.24,,12.19.50,0,5G,-101,-11,8.0,11,-87,46,16,D,
61,2019.11.24,,12.20.18,28,5G,-84,-14,16.0,11,-68,18,50,D,
66,2019.11.24,,12.20.23,28,5G,-76,-13,19.0,15,-66,6391,160,D,
67,2019.11.24,,12.20.23,29,5G,-76,-13,19.0,15,-66,6391,160,D,
68,2019.11.24,,12.20.24,29,5G,-76,-13,19.0,15,-66,6998,110,D,
69,2019.11.24,,12.20.25,29,5G,-86,-15,14.0,13,-69,4641,63,D,
98,2019.11.24,,12.20.54,36,5G,-94,-11,1.0,12,-71,34,11,D,
102,2019.11.24,,12.20.58,36,5G,-92,-9,14.0,12,-110,19,7,D,
114,2019.11.24,,12.21.10,35,5G,-88,-13,1.0,14,-69,2324,29,D,
127,2019.11.24,,12.21.23,22,5G,-88,-11,-1.0,15,-70,28,35,D,
129,2019.11.24,,12.21.25,22,5G,-88,-13,-2.0,15,-70,393,21,D,
130,2019.11.24,,12.21.26,22,5G,-88,-13,-2.0,9,-67,19263,698,D,
131,2019.11.24,,12.21.28,22,5G,-87,-14,-1.0,14,-69,359,8,D,
134,2019.11.24,,12.21.31,22,5G,-86,-13,1.0,12,-74,12291,429,D,
135,2019.11.24,,12.21.32,22,5G,-85,-13,1.0,12,-72,8372,291,D,
136,2019.11.24,,12.21.33,22,5G,-85,-13,1.0,12,-72,35,25,D,
147,2019.11.24,,12.21.44,51,5G,-93,-13,-6.0,14,-110,36,42,D,
148,2019.11.24,,12.21.45,51,5G,-97,-13,2.0,11,-82,956,107,D,
149,2019.11.24,,12.21.46,51,5G,-97,-13,2.0,11,-76,7721,117,D,
150,2019.11.24,,12.21.47,51,5G,-98,-14,-4.0,11,-80,4892,74,D,
151,2019.11.24,,12.21.48,51,5G,-98,-14,-4.0,11,-80,6417,105,D,
152,2019.11.24,,12.21.49,54,5G,-98,-14,-4.0,15,-73,6417,105,D,
159,2019.11.24,,12.21.56,54,5G,-98,-14,5.0,15,-74,1554,19,D,
160,2019.11.24,,12.21.56,49,5G,-98,-14,5.0,15,-74,1554,19,D,
187,2019.11.24,,12.22.22,38,5G,-90,-9,23.0,15,-72,16,28,D,
213,2019.11.24,,12.22.49,48,5G,-81,-11,2.0,14,-60,2716,547,D,
214,2019.11.24,,12.22.50,48,5G,-81,-11,2.0,15,-63,46531,1350,D,
