,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
4,2019.11.25,,,07.25.46,,0,5G,-101,-9,12.0,11,-84,46,14,D
5,2019.11.25,,,07.25.47,,0,5G,-101,-9,12.0,11,-84,211,98,D
6,2019.11.25,,,07.25.48,,0,5G,-102,-11,9.0,14,-,390,8,D
7,2019.11.25,,,07.25.49,,0,5G,-102,-11,9.0,14,-,14798,873,D
8,2019.11.25,,,07.25.50,,0,5G,-101,-12,9.0,14,-,10328,332,D
10,2019.11.25,,,07.25.53,,0,5G,-101,-11,2.0,11,-,11,1,D
11,2019.11.25,,,07.25.54,,0,5G,-101,-11,2.0,12,-,3021,166,D
12,2019.11.25,,,07.25.55,,0,5G,-102,-13,7.0,12,-,27898,909,D
13,2019.11.25,,,07.25.56,,0,5G,-102,-13,7.0,10,-,14726,269,D
14,2019.11.25,,,07.25.57,,0,5G,-102,-15,4.0,10,-,13145,242,D
15,2019.11.25,,,07.25.58,,0,5G,-102,-15,4.0,12,-,8040,160,D
16,2019.11.25,,,07.25.59,,0,5G,-100,-10,5.0,12,-86,3554,49,D
17,2019.11.25,,,07.26.00,,0,5G,-100,-10,5.0,12,-86,18048,200,D
18,2019.11.25,,,07.26.01,,0,5G,-99,-9,14.0,12,-86,26078,206,D
19,2019.11.25,,,07.26.02,,0,5G,-99,-9,14.0,13,-88,17861,182,D
20,2019.11.25,,,07.26.03,,0,5G,-99,-10,7.0,13,-88,21855,233,D
21,2019.11.25,,,07.26.04,,0,5G,-99,-10,7.0,13,-86,21417,207,D
22,2019.11.25,,,07.26.05,,0,5G,-101,-9,5.0,13,-86,21839,228,D
23,2019.11.25,,,07.26.07,,0,5G,-101,-9,5.0,13,-86,4763,39,D
34,2019.11.25,,,07.26.18,,0,5G,-100,-10,7.0,13,-88,15,26,D
60,2019.11.25,,,07.26.46,,0,5G,-103,-16,5.0,14,-85,39,15,D
61,2019.11.25,,,07.26.47,,0,5G,-103,-16,5.0,14,-85,16,50,D
68,2019.11.25,,,07.26.55,,0,5G,-94,-12,21.0,15,-78,20,30,D
76,2019.11.25,,,07.27.04,,0,5G,-84,-12,15.0,15,-72,1638,20,D
77,2019.11.25,,,07.27.05,,0,5G,-84,-12,15.0,12,-70,16898,203,D
78,2019.11.25,,,07.27.06,,0,5G,-85,-8,19.0,14,-68,12402,131,D
79,2019.11.25,,,07.27.06,,31,5G,-85,-8,19.0,14,-68,12402,131,D
124,2019.11.25,,,07.27.51,,35,5G,-90,-9,13.0,14,-72,7907,109,D
125,2019.11.25,,,07.27.52,,35,5G,-90,-9,13.0,14,-74,22037,184,D
126,2019.11.25,,,07.27.52,,36,5G,-90,-9,13.0,14,-74,22037,184,D
129,2019.11.25,,,07.27.55,,36,5G,-91,-11,4.0,12,-72,27,33,D
131,2019.11.25,,,07.27.57,,36,5G,-96,-11,8.0,11,-76,11274,403,D
132,2019.11.25,,,07.27.58,,36,5G,-96,-11,8.0,12,-74,9233,260,D
136,2019.11.25,,,07.28.03,,36,5G,-89,-12,12.0,14,-72,15948,526,D
137,2019.11.25,,,07.28.04,,36,5G,-91,-10,3.0,14,-,5694,186,D
138,2019.11.25,,,07.28.04,,27,5G,-91,-10,3.0,13,-71,5694,186,D
170,2019.11.25,,,07.28.37,,47,5G,-88,-10,-2.0,12,-,6506,53,D
171,2019.11.25,,,07.28.38,,47,5G,-88,-12,5.0,12,-,21261,199,D
172,2019.11.25,,,07.28.39,,47,5G,-88,-12,5.0,14,-69,2625,26,D
180,2019.11.25,,,07.28.47,,52,5G,-96,-9,12.0,14,-,16,51,D
217,2019.11.25,,,07.29.24,,46,5G,-89,-8,6.0,15,-72,1644,25,D
218,2019.11.25,,,07.29.25,,46,5G,-89,-8,6.0,15,-72,27610,231,D
219,2019.11.25,,,07.29.26,,46,5G,-91,-8,13.0,15,-72,1688,10,D
248,2019.11.25,,,07.29.55,,21,5G,-87,-11,5.0,12,-60,15,27,D
264,2019.11.25,,,07.30.10,,49,5G,-89,-9,5.0,14,-73,3733,39,D
265,2019.11.25,,,07.30.11,,49,5G,-92,-9,2.0,14,-73,25070,222,D
266,2019.11.25,,,07.30.12,,49,5G,-92,-9,2.0,14,-73,2880,32,D
310,2019.11.25,,,07.30.56,,50,5G,-79,-8,17.0,12,-,18,45,D
311,2019.11.25,,,07.30.57,,50,5G,-82,-9,14.0,10,-69,1494,27,D
312,2019.11.25,,,07.30.58,,50,5G,-82,-9,14.0,15,-69,23545,177,D
313,2019.11.25,,,07.30.59,,50,5G,-87,-8,11.0,15,-69,3332,28,D
319,2019.11.25,,,07.31.04,,46,5G,-82,-8,9.0,11,-73,13,5,D
359,2019.11.25,,,07.31.43,,45,5G,-90,-9,8.0,12,-70,1052,9,D
360,2019.11.25,,,07.31.44,,45,5G,-91,-9,4.0,15,-72,27772,175,D
363,2019.11.25,,,07.31.47,,45,5G,-77,-10,21.0,15,-62,18,35,D
364,2019.11.25,,,07.31.47,,28,5G,-77,-10,21.0,15,-62,18,35,D
371,2019.11.25,,,07.31.55,,28,5G,-85,-11,9.0,15,-57,14,26,D
405,2019.11.25,,,07.32.29,,56,5G,-108,-10,13.0,10,-91,10695,171,D
406,2019.11.25,,,07.32.30,,56,5G,-108,-10,13.0,11,-84,22156,301,D
424,2019.11.25,,,07.32.48,,54,5G,-112,-10,3.0,14,-94,19,44,D
