,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
0,07.29.47,1,5G,-99,-10,5.0,13,-,3,4,D
1,07.29.47,1,5G,-99,-10,5.0,13,-,1,1,D
2,07.29.47,0,5G,-99,-10,5.0,13,-,1,1,D
3,07.29.48,0,5G,-101,-11,4.0,13,-,12,3,D
4,07.29.49,0,5G,-101,-11,4.0,13,-,1,1,D
7,07.29.52,0,5G,-101,-9,7.0,13,-81,195,100,D
8,07.29.53,0,5G,-101,-9,7.0,13,-81,444,17,D
9,07.29.55,0,5G,-101,-11,6.0,13,-79,23885,1619,D
10,07.29.56,0,5G,-101,-11,6.0,13,-79,651,16,D
11,07.29.57,0,5G,-101,-11,1.0,13,-79,2,4,D
13,07.29.59,0,5G,-101,-11,8.0,13,-79,21292,747,D
14,07.30.00,0,5G,-101,-11,8.0,13,-79,25945,566,D
15,07.30.01,0,5G,-99,-10,-6.0,13,-79,24636,226,D
16,07.30.02,0,5G,-99,-10,-6.0,13,-79,22587,232,D
17,07.30.03,0,5G,-99,-10,5.0,13,-79,19630,248,D
18,07.30.04,0,5G,-99,-10,5.0,13,-79,31503,434,D
19,07.30.05,0,5G,-98,-10,9.0,13,-79,36713,310,D
20,07.30.06,0,5G,-98,-10,9.0,13,-79,20949,227,D
21,07.30.07,0,5G,-98,-9,10.0,13,-79,18373,260,D
22,07.30.09,0,5G,-98,-9,10.0,13,-79,819,6,D
26,07.30.13,0,5G,-100,-10,2.0,12,-81,114,43,D
27,07.30.14,0,5G,-100,-11,-3.0,10,-79,2,5,D
29,07.30.16,0,5G,-99,-11,6.0,10,-79,2,4,D
30,07.30.17,0,5G,-99,-11,6.0,12,-81,1,1,D
31,07.30.18,0,5G,-100,-9,5.0,12,-81,2,4,D
39,07.30.27,0,5G,-100,-11,9.0,11,-84,16,28,D
46,07.30.34,0,5G,-99,-11,8.0,12,-,2,4,D
48,07.30.37,0,5G,-100,-12,5.0,12,-,2,4,D
50,07.30.39,0,5G,-101,-13,-7.0,12,-,2,4,D
60,07.30.49,0,5G,-100,-11,8.0,11,-88,1,1,D
63,07.30.53,0,5G,-101,-11,7.0,12,-83,16,49,D
66,07.30.56,0,5G,-100,-10,12.0,12,-83,2,5,D
68,07.30.58,0,5G,-96,-9,12.0,13,-79,3,5,D
69,07.30.59,0,5G,-93,-9,18.0,15,-,14,26,D
70,07.31.00,0,5G,-93,-9,18.0,14,-76,8,9,D
71,07.31.01,0,5G,-93,-11,20.0,15,-79,1,1,D
75,07.31.06,0,5G,-84,-8,16.0,15,-,1,0,D
77,07.31.08,0,5G,-81,-8,20.0,15,-,2,1,D
82,07.31.12,33,5G,-85,-9,23.0,15,-70,2789,60,D
83,07.31.13,33,5G,-85,-9,23.0,15,-68,22174,267,D
84,07.31.14,33,5G,-82,-9,15.0,15,-68,6092,56,D
86,07.31.16,33,5G,-83,-10,15.0,14,-66,2,4,D
88,07.31.19,33,5G,-75,-9,17.0,15,-68,2,4,D
90,07.31.21,33,5G,-76,-8,23.0,15,-67,2,4,D
91,07.31.22,35,5G,-76,-8,23.0,15,-65,2,4,D
106,07.31.38,40,5G,-84,-9,17.0,14,-67,2,4,D
108,07.31.40,40,5G,-84,-9,3.0,13,-69,2,5,D
110,07.31.42,40,5G,-85,-9,9.0,14,-66,2,4,D
121,07.31.53,37,5G,-91,-12,-3.0,6,-,1,1,D
126,07.31.58,37,5G,-91,-9,14.0,14,-,139,13,D
127,07.32.00,37,5G,-90,-11,19.0,11,-74,27996,292,D
128,07.32.00,27,5G,-90,-11,19.0,11,-74,27996,292,D
129,07.32.01,27,5G,-90,-11,19.0,14,-67,2,4,D
130,07.32.02,27,5G,-91,-10,1.0,14,-69,31,15,D
131,07.32.03,27,5G,-91,-10,1.0,14,-75,2,4,D
148,07.32.20,24,5G,-82,-9,6.0,9,-,2,4,D
150,07.32.22,24,5G,-82,-11,15.0,11,-71,2,4,D
152,07.32.24,24,5G,-82,-10,16.0,9,-76,2,4,D
167,07.32.40,24,5G,-91,-11,10.0,12,-76,2,4,D
170,07.32.43,50,5G,-95,-10,10.0,11,-75,2,4,D
172,07.32.45,50,5G,-95,-11,2.0,14,-,5975,89,D
173,07.32.46,50,5G,-95,-11,2.0,12,-77,23363,211,D
174,07.32.47,50,5G,-98,-13,-7.0,12,-77,2472,36,D
185,07.32.59,51,5G,-89,-15,8.0,13,-,15,27,D
188,07.33.02,51,5G,-92,-10,8.0,13,-74,2,4,D
191,07.33.04,50,5G,-89,-11,3.0,14,-,2,4,D
193,07.33.06,50,5G,-89,-15,12.0,14,-75,4,5,D
194,07.33.07,50,5G,-89,-15,12.0,14,-73,5,9,D
207,07.33.22,42,5G,-85,-9,4.0,15,-68,2,4,D
209,07.33.25,42,5G,-84,-8,20.0,15,-68,2,4,D
211,07.33.27,42,5G,-87,-8,4.0,14,-66,3,5,D
216,07.33.31,47,5G,-83,-10,25.0,14,-67,928,11,D
217,07.33.32,47,5G,-76,-9,15.0,14,-67,26296,277,D
218,07.33.33,47,5G,-76,-9,15.0,14,-67,1218,12,D
222,07.33.38,47,5G,-84,-11,9.0,15,-72,3,1,D
223,07.33.38,51,5G,-84,-11,9.0,15,-72,3,1,D
229,07.33.44,51,5G,-86,-11,17.0,15,-72,2,4,D
232,07.33.46,46,5G,-85,-9,3.0,15,-68,2,4,D
234,07.33.48,46,5G,-79,-10,19.0,11,-61,2,4,D
