,Unnamed: 0,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
927,927,2019.11.25,Day3,07:25:46,0,5G,-101,-9.0,12.0,11,-84,46,14,D
928,928,2019.11.25,Day3,07:25:47,0,5G,-101,-9.0,12.0,11,-84,211,98,D
929,929,2019.11.25,Day3,07:25:48,0,5G,-102,-11.0,9.0,14,-110,390,8,D
930,930,2019.11.25,Day3,07:25:49,0,5G,-102,-11.0,9.0,14,-110,14798,873,D
931,931,2019.11.25,Day3,07:25:50,0,5G,-101,-12.0,9.0,14,-110,10328,332,D
932,932,2019.11.25,Day3,07:25:53,0,5G,-101,-11.0,2.0,11,-110,11,1,D
933,933,2019.11.25,Day3,07:25:54,0,5G,-101,-11.0,2.0,12,-110,3021,166,D
934,934,2019.11.25,Day3,07:25:55,0,5G,-102,-13.0,7.0,12,-110,27898,909,D
935,935,2019.11.25,Day3,07:25:56,0,5G,-102,-13.0,7.0,10,-110,14726,269,D
936,936,2019.11.25,Day3,07:25:57,0,5G,-102,-15.0,4.0,10,-110,13145,242,D
937,937,2019.11.25,Day3,07:25:58,0,5G,-102,-15.0,4.0,12,-110,8040,160,D
938,938,2019.11.25,Day3,07:25:59,0,5G,-100,-10.0,5.0,12,-86,3554,49,D
939,939,2019.11.25,Day3,07:26:00,0,5G,-100,-10.0,5.0,12,-86,18048,200,D
940,940,2019.11.25,Day3,07:26:01,0,5G,-99,-9.0,14.0,12,-86,26078,206,D
941,941,2019.11.25,Day3,07:26:02,0,5G,-99,-9.0,14.0,13,-88,17861,182,D
942,942,2019.11.25,Day3,07:26:03,0,5G,-99,-10.0,7.0,13,-88,21855,233,D
943,943,2019.11.25,Day3,07:26:04,0,5G,-99,-10.0,7.0,13,-86,21417,207,D
944,944,2019.11.25,Day3,07:26:05,0,5G,-101,-9.0,5.0,13,-86,21839,228,D
945,945,2019.11.25,Day3,07:26:07,0,5G,-101,-9.0,5.0,13,-86,4763,39,D
946,946,2019.11.25,Day3,07:26:18,0,5G,-100,-10.0,7.0,13,-88,15,26,D
947,947,2019.11.25,Day3,07:26:46,0,5G,-103,-16.0,5.0,14,-85,39,15,D
948,948,2019.11.25,Day3,07:26:47,0,5G,-103,-16.0,5.0,14,-85,16,50,D
