,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
0,2019.11.21,,,14.33.25,,0,5G,-101,-13,4.0,14,-81,36,7,D
4,2019.11.21,,,14.33.28,,3,5G,-103,-16,1.0,14,-81,35,11,D
5,2019.11.21,,,14.33.29,,3,5G,-103,-18,-1.0,14,-81,168,61,D
6,2019.11.21,,,14.33.30,,3,5G,-103,-18,-1.0,14,-81,21270,608,D
8,2019.11.21,,,14.33.32,,3,5G,-100,-17,4.0,14,-81,45,126,D
9,2019.11.21,,,14.33.33,,3,5G,-100,-12,3.0,10,-,29755,1098,D
10,2019.11.21,,,14.33.34,,3,5G,-100,-12,3.0,10,-,16530,599,D
11,2019.11.21,,,14.33.35,,3,5G,-103,-13,3.0,10,-,10334,283,D
12,2019.11.21,,,14.33.36,,3,5G,-103,-13,3.0,12,-,5426,260,D
13,2019.11.21,,,14.33.37,,3,5G,-101,-13,-1.0,12,-,18568,199,D
14,2019.11.21,,,14.33.38,,3,5G,-101,-13,-1.0,15,-81,14097,165,D
15,2019.11.21,,,14.33.39,,3,5G,-101,-14,5.0,15,-81,19503,193,D
16,2019.11.21,,,14.33.41,,3,5G,-101,-14,5.0,15,-81,21406,314,D
17,2019.11.21,,,14.33.42,,3,5G,-102,-16,4.0,12,-,26414,313,D
18,2019.11.21,,,14.33.43,,3,5G,-102,-16,4.0,12,-,12160,180,D
19,2019.11.21,,,14.33.44,,3,5G,-102,-15,3.0,12,-,12607,184,D
20,2019.11.21,,,14.33.45,,3,5G,-102,-15,3.0,12,-,9912,133,D
34,2019.11.21,,,14.34.00,,3,5G,-101,-12,5.0,14,-80,15,28,D
61,2019.11.21,,,14.34.29,,3,5G,-88,-8,17.0,14,-70,16,51,D
68,2019.11.21,,,14.34.37,,3,5G,-82,-12,7.0,15,-73,17,31,D
76,2019.11.21,,,14.34.44,,34,5G,-79,-8,23.0,15,-67,3463,53,D
77,2019.11.21,,,14.34.45,,34,5G,-79,-8,23.0,15,-69,9151,109,D
78,2019.11.21,,,14.34.46,,34,5G,-77,-7,22.0,15,-67,7747,84,D
124,2019.11.21,,,14.35.31,,37,5G,-89,-15,13.0,13,-75,14073,167,D
125,2019.11.21,,,14.35.32,,37,5G,-89,-15,13.0,13,-75,19722,158,D
126,2019.11.21,,,14.35.34,,37,5G,-85,-12,6.0,13,-,4082,48,D
129,2019.11.21,,,14.35.37,,37,5G,-83,-11,11.0,12,-,18,32,D
163,2019.11.21,,,14.36.09,,26,HSPA+,-69,-2,-,-,-,12,9,VD
164,2019.11.21,,,14.36.10,,26,HSPA+,-67,-2,-,-,-,11,6,VD
165,2019.11.21,,,14.36.11,,26,HSPA+,-67,-2,-,-,-,11,6,D
166,2019.11.21,,,14.36.11,,26,HSPA+,-67,-2,-,-,-,11,43,D
167,2019.11.21,,,14.36.12,,26,HSPA+,-67,-2,-,-,-,19,1,D
178,2019.11.21,,,14.36.24,,21,LTE,-93,-11,2.0,6,-76,5209,110,D
179,2019.11.21,,,14.36.25,,21,LTE,-93,-11,2.0,6,-76,10913,196,D
180,2019.11.21,,,14.36.26,,21,LTE,-92,-12,1.0,6,-76,10778,195,D
181,2019.11.21,,,14.36.27,,21,LTE,-92,-12,1.0,6,-76,5371,90,D
192,2019.11.21,,,14.36.38,,38,LTE,-90,-10,6.0,8,-72,15,26,D
226,2019.11.21,,,14.37.12,,48,5G,-88,-10,15.0,13,-73,22173,196,D
227,2019.11.21,,,14.37.13,,39,5G,-88,-10,15.0,13,-73,22173,196,D
270,2019.11.21,,,14.37.57,,34,5G,-84,-14,7.0,15,-69,10943,170,D
271,2019.11.21,,,14.37.58,,34,5G,-85,-10,1.0,15,-69,8878,80,D
296,2019.11.21,,,14.38.23,,59,5G,-97,-10,10.0,15,-,22,3,D
309,2019.11.21,,,14.38.37,,65,5G,-103,-12,-4.0,13,-93,15,27,D
313,2019.11.21,,,14.38.43,,61,5G,-107,-14,-5.0,8,-90,11,1,D
314,2019.11.21,,,14.38.44,,61,5G,-107,-13,-4.0,14,-92,2409,41,D
315,2019.11.21,,,14.38.45,,61,5G,-107,-13,-4.0,10,-89,5470,69,D
316,2019.11.21,,,14.38.46,,61,5G,-107,-13,-1.0,10,-89,13294,144,D
360,2019.11.21,,,14.39.31,,45,5G,-107,-13,0.0,10,-90,6370,127,D
361,2019.11.21,,,14.39.32,,45,5G,-107,-13,0.0,10,-90,13446,219,D
362,2019.11.21,,,14.39.33,,30,5G,-107,-13,0.0,10,-90,13446,219,D
367,2019.11.21,,,14.39.38,,30,5G,-110,-15,9.0,15,-92,15,27,D
405,2019.11.21,,,14.40.17,,17,5G,-109,-13,0.0,13,-92,2435,54,D
406,2019.11.21,,,14.40.18,,17,5G,-108,-17,3.0,13,-92,12396,224,D
407,2019.11.21,,,14.40.19,,17,5G,-108,-17,3.0,13,-92,7441,141,D
408,2019.11.21,,,14.40.20,,17,5G,-108,-15,1.0,13,-90,3605,57,D
424,2019.11.21,,,14.40.38,,17,5G,-108,-11,2.0,13,-92,15,27,D
452,2019.11.21,,,14.41.06,,49,HSPA+,-91,-2,-,-,-,531,38,D
453,2019.11.21,,,14.41.06,,58,HSPA+,-91,-2,-,-,-,531,38,D
454,2019.11.21,,,14.41.07,,58,HSPA+,-91,-2,-,-,-,2881,95,D
455,2019.11.21,,,14.41.08,,58,HSPA+,-89,-2,-,-,-,4315,105,D
456,2019.11.21,,,14.41.09,,58,HSPA+,-89,-2,-,-,-,4060,77,D
457,2019.11.21,,,14.41.10,,58,HSPA+,-89,-2,-,-,-,2977,53,D
458,2019.11.21,,,14.41.11,,58,HSPA+,-89,-2,-,-,-,3135,71,D
459,2019.11.21,,,14.41.12,,58,HSPA+,-89,-2,-,-,-,1890,39,D
460,2019.11.21,,,14.41.13,,59,HSPA+,-89,-2,-,-,-,1890,39,D
504,2019.11.21,,,14.41.59,,64,HSPA+,-93,-13,-,-,-,910,28,D
505,2019.11.21,,,14.42.00,,64,HSPA+,-93,-2,-,-,-,1993,35,D
506,2019.11.21,,,14.42.01,,64,HSPA+,-93,-2,-,-,-,1762,38,D
507,2019.11.21,,,14.42.01,,58,HSPA+,-93,-2,-,-,-,1762,38,D
508,2019.11.21,,,14.42.02,,58,HSPA+,-91,-2,-,-,-,2417,46,D
509,2019.11.21,,,14.42.03,,58,HSPA+,-91,-2,-,-,-,3052,63,D
510,2019.11.21,,,14.42.04,,58,HSPA+,-87,-2,-,-,-,3746,52,D
511,2019.11.21,,,14.42.05,,58,HSPA+,-87,-2,-,-,-,3251,40,D
512,2019.11.21,,,14.42.06,,58,HSPA+,-89,-2,-,-,-,810,14,D
555,2019.11.21,,,14.42.50,,66,5G,-102,-12,-2.0,12,-85,9076,167,D
556,2019.11.21,,,14.42.51,,66,5G,-102,-15,-1.0,12,-85,12650,225,D
557,2019.11.21,,,14.42.52,,66,5G,-102,-15,-1.0,12,-85,729,12,D
597,2019.11.21,,,14.43.28,,71,LTE,-100,-9,9.0,8,-83,13,39,D
608,2019.11.21,,,14.43.37,,72,LTE,-93,-8,11.0,10,-75,15,27,D
620,2019.11.21,,,14.43.50,,70,LTE,-80,-8,10.0,14,-63,12,2,D
666,2019.11.21,,,14.44.37,,51,LTE,-83,-8,12.0,15,-66,15,33,D
728,2019.11.21,,,14.45.43,,31,HSPA+,-75,-2,-,-,-,23,42,D
752,2019.11.21,,,14.46.08,,17,LTE,-84,-11,1.0,2,-,40,63,D
753,2019.11.21,,,14.46.09,,17,LTE,-85,-9,1.0,6,-69,13132,261,D
754,2019.11.21,,,14.46.10,,17,LTE,-85,-9,1.0,9,-66,6281,120,D
779,2019.11.21,,,14.46.37,,32,LTE,-97,-17,-9.0,4,-81,16,27,D
811,2019.11.21,,,14.47.08,,34,5G,-105,-19,-7.0,10,-88,33,288,D
812,2019.11.21,,,14.47.09,,34,5G,-106,-20,-12.0,5,-86,828,235,D
813,2019.11.21,,,14.47.10,,34,5G,-106,-20,-12.0,5,-,2335,205,D
814,2019.11.21,,,14.47.12,,34,5G,-105,-20,-8.0,7,-,30030,465,D
815,2019.11.21,,,14.47.13,,34,5G,-105,-20,-8.0,7,-85,40531,692,D
816,2019.11.21,,,14.47.14,,34,5G,-103,-19,-5.0,7,-87,63389,754,D
817,2019.11.21,,,14.47.15,,34,5G,-103,-19,-5.0,7,-,24976,425,D
831,2019.11.21,,,14.47.31,,29,5G,-93,-19,-9.0,4,-70,33,18,D
860,2019.11.21,,,14.48.00,,49,LTE,-70,-9,12.0,13,-52,24883,338,D
861,2019.11.21,,,14.48.01,,49,LTE,-69,-12,13.0,15,-50,4189,54,D
870,2019.11.21,,,14.48.10,,48,LTE,-69,-7,11.0,15,-52,16,26,D
903,2019.11.21,,,14.48.45,,45,LTE,-69,-7,13.0,15,-52,8527,137,D
918,2019.11.21,,,14.49.01,,45,LTE,-70,-8,15.0,10,-53,11,1,D
946,2019.11.21,,,14.49.31,,45,LTE,-70,-6,11.0,15,-55,32845,392,D
983,2019.11.21,,,14.50.09,,25,LTE,-79,-10,3.0,8,-63,15,26,D
990,2019.11.21,,,14.50.16,,25,LTE,-77,-9,8.0,12,-60,11990,150,D
991,2019.11.21,,,14.50.18,,25,LTE,-77,-9,8.0,12,-60,14103,176,D
1015,2019.11.21,,,14.50.43,,25,LTE,-78,-15,1.0,8,-62,67,11,D
1034,2019.11.21,,,14.51.03,,11,LTE,-78,-15,-4.0,11,-59,5259,101,D
1035,2019.11.21,,,14.51.04,,11,LTE,-70,-10,-3.0,11,-59,12661,225,D
1036,2019.11.21,,,14.51.05,,11,LTE,-70,-10,-3.0,9,-54,15951,216,D
1040,2019.11.21,,,14.51.09,,11,LTE,-64,-6,4.0,1,-47,15,26,D
1041,2019.11.21,,,14.51.10,,25,LTE,-64,-6,4.0,1,-47,15,26,D
1079,2019.11.21,,,14.51.50,,25,LTE,-65,-12,12.0,13,-47,11113,136,D
1080,2019.11.21,,,14.51.51,,25,LTE,-66,-12,12.0,12,-49,25749,309,D
