,Date,Day#_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
0,2019.11.21,,15.38.36,,0,LTE,-90,-7,9.0,7,-72,36,6,D
1,2019.11.21,,15.38.36,,1,LTE,-90,-7,9.0,7,-72,36,6,D
2,2019.11.21,,15.38.36,,1,LTE,-90,-7,9.0,7,-72,198,80,D
5,2019.11.21,,15.38.40,,1,LTE,-89,-9,3.0,10,-72,165,57,D
6,2019.11.21,,15.38.41,,1,LTE,-89,-9,3.0,10,-72,6689,681,D
7,2019.11.21,,15.38.42,,1,LTE,-84,-10,1.0,10,-67,17267,647,D
8,2019.11.21,,15.38.43,,1,LTE,-84,-10,1.0,10,-67,28223,908,D
9,2019.11.21,,15.38.44,,1,LTE,-85,-9,4.0,10,-67,27813,935,D
10,2019.11.21,,15.38.45,,1,LTE,-85,-9,4.0,14,-69,15385,359,D
11,2019.11.21,,15.38.46,,1,LTE,-90,-10,2.0,12,-73,17088,336,D
12,2019.11.21,,15.38.47,,1,LTE,-90,-10,2.0,8,-71,13939,243,D
13,2019.11.21,,15.38.48,,1,LTE,-87,-12,4.0,8,-71,11366,210,D
14,2019.11.21,,15.38.49,,1,LTE,-87,-12,4.0,9,-69,24747,392,D
15,2019.11.21,,15.38.50,,1,LTE,-82,-10,5.0,11,-69,30305,395,D
16,2019.11.21,,15.38.51,,1,LTE,-82,-10,5.0,11,-69,14561,239,D
17,2019.11.21,,15.38.52,,1,LTE,-86,-13,4.0,11,-69,8855,155,D
29,2019.11.21,,15.39.05,,1,LTE,-92,-10,-1.0,12,-73,38,17,D
58,2019.11.21,,15.39.34,,17,UMTS,-65,-2,-,-,-,15,11,D
60,2019.11.21,,15.39.36,,17,UMTS,-63,-2,-,-,-,12,9,D
62,2019.11.21,,15.39.39,,17,UMTS,-65,-2,-,-,-,33,20,D
63,2019.11.21,,15.39.40,,17,UMTS,-69,-2,-,-,-,55,8,D
64,2019.11.21,,15.39.41,,17,UMTS,-69,-2,-,-,-,61,2,D
65,2019.11.21,,15.39.42,,17,HSPA+,-67,-2,-,-,-,2608,153,D
66,2019.11.21,,15.39.43,,17,HSPA+,-67,-2,-,-,-,7529,161,D
67,2019.11.21,,15.39.44,,17,HSPA+,-65,-2,-,-,-,8773,139,D
68,2019.11.21,,15.39.45,,17,HSPA+,-65,-2,-,-,-,18,5,D
70,2019.11.21,,15.39.47,,17,HSPA+,-67,-2,-,-,-,64,18,D
104,2019.11.21,,15.40.24,,17,HSPA+,-55,-2,-,-,-,15,10,D
108,2019.11.21,,15.40.29,,17,HSPA+,-67,-2,-,-,-,164,21,D
109,2019.11.21,,15.40.29,,49,HSPA+,-67,-2,-,-,-,164,21,D
110,2019.11.21,,15.40.30,,49,HSPA+,-61,-2,-,-,-,8028,146,D
111,2019.11.21,,15.40.31,,49,HSPA+,-61,-2,-,-,-,9192,158,D
125,2019.11.21,,15.40.45,,45,LTE,-98,-18,-13.0,5,-80,23,40,D
159,2019.11.21,,15.41.19,,28,5G,-73,-11,18.0,2,-65,11,26,D
