,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
4,2019.11.26,,13.50.52,0,5G,-106,-13,1.0,13,-88,433,245,D,
5,2019.11.26,,13.50.53,0,5G,-103,-14,4.0,12,-86,11366,497,D,
6,2019.11.26,,13.50.54,0,5G,-103,-14,4.0,12,-86,18419,672,D,
7,2019.11.26,,13.50.55,1,5G,-103,-14,4.0,12,-86,18419,672,D,
8,2019.11.26,,13.50.55,1,5G,-103,-17,2.0,12,-86,21778,857,D,
9,2019.11.26,,13.50.57,1,5G,-103,-17,2.0,12,-86,5464,206,D,
10,2019.11.26,,13.50.58,1,5G,-103,-13,10.0,15,-83,13,22,D,
11,2019.11.26,,13.50.59,1,5G,-103,-13,10.0,5,-87,11407,445,D,
12,2019.11.26,,13.51.00,1,5G,-104,-14,6.0,5,-87,11512,362,D,
13,2019.11.26,,13.51.01,1,5G,-104,-14,6.0,5,-87,152,90,D,
14,2019.11.26,,13.51.02,1,5G,-103,-15,2.0,9,-85,239,248,D,
15,2019.11.26,,13.51.03,1,5G,-103,-15,2.0,9,-83,3787,111,D,
16,2019.11.26,,13.51.04,1,5G,-102,-16,7.0,9,-86,13443,197,D,
17,2019.11.26,,13.51.05,1,5G,-102,-16,7.0,9,-86,33239,279,D,
18,2019.11.26,,13.51.06,1,5G,-103,-11,5.0,14,-90,46142,335,D,
19,2019.11.26,,13.51.07,1,5G,-103,-11,5.0,15,-87,62772,365,D,
20,2019.11.26,,13.51.08,1,5G,-102,-12,7.0,15,-89,41124,225,D,
24,2019.11.26,,13.51.13,1,5G,-102,-12,2.0,12,-89,75,22,D,
62,2019.11.26,,13.51.54,1,5G,-100,-12,4.0,11,-83,3531,89,D,
63,2019.11.26,,13.51.55,1,5G,-100,-12,4.0,11,-83,13,5,D,
65,2019.11.26,,13.51.57,1,5G,-101,-10,2.0,14,-110,1084,25,D,
66,2019.11.26,,13.51.58,1,5G,-101,-12,-1.0,14,-110,425,22,D,
67,2019.11.26,,13.51.59,1,5G,-101,-12,-1.0,14,-110,589,23,D,
68,2019.11.26,,13.52.00,1,5G,-101,-11,0.0,14,-110,60,5,D,
69,2019.11.26,,13.52.01,1,5G,-101,-11,0.0,14,-110,117,10,D,
70,2019.11.26,,13.52.02,1,5G,-100,-11,1.0,14,-110,34,2,D,
71,2019.11.26,,13.52.03,1,5G,-100,-11,1.0,14,-110,100,42,D,
72,2019.11.26,,13.52.05,1,5G,-101,-12,4.0,14,-110,68,9,D,
73,2019.11.26,,13.52.06,1,5G,-101,-12,4.0,14,-110,56,11,D,
74,2019.11.26,,13.52.07,1,5G,-101,-11,5.0,14,-110,25,4,D,
76,2019.11.26,,13.52.09,1,5G,-101,-13,-2.0,14,-110,19,8,D,
77,2019.11.26,,13.52.10,1,5G,-101,-13,-2.0,14,-110,12,3,D,
80,2019.11.26,,13.52.13,1,5G,-101,-11,3.0,14,-85,70,6,D,
87,2019.11.26,,13.52.21,1,5G,-101,-11,-1.0,12,-83,20,9,D,
94,2019.11.26,,13.52.28,1,5G,-101,-15,5.0,10,-85,11,0,D,
95,2019.11.26,,13.52.29,1,5G,-101,-15,5.0,10,-85,15079,229,D,
96,2019.11.26,,13.52.30,1,5G,-101,-14,0.0,10,-85,24424,279,D,
97,2019.11.26,,13.52.32,1,5G,-101,-14,0.0,10,-85,772,12,D,
103,2019.11.26,,13.52.38,1,5G,-100,-14,-3.0,13,-83,16,15,D,
120,2019.11.26,,13.52.56,1,5G,-101,-15,-1.0,12,-83,11,1,D,
126,2019.11.26,,13.53.03,1,5G,-101,-12,2.0,12,-83,15,27,D,
133,2019.11.26,,13.53.10,1,5G,-101,-14,3.0,10,-110,15,27,D,
138,2019.11.26,,13.53.16,1,5G,-101,-11,5.0,13,-85,5598,60,D,
139,2019.11.26,,13.53.17,1,5G,-101,-11,5.0,13,-85,23446,262,D,
181,2019.11.26,,13.54.03,1,5G,-100,-11,4.0,14,-83,23205,250,D,
182,2019.11.26,,13.54.04,1,5G,-100,-13,-2.0,14,-83,8413,115,D,
223,2019.11.26,,13.54.48,1,5G,-101,-12,5.0,14,-84,49,7,D,
224,2019.11.26,,13.54.49,1,5G,-101,-13,1.0,14,-84,29868,316,D,
239,2019.11.26,,13.55.05,1,5G,-100,-11,5.0,11,-84,18,31,D,
262,2019.11.26,,13.55.30,1,5G,-101,-13,4.0,14,-81,11,1,D,
266,2019.11.26,,13.55.34,1,5G,-101,-12,5.0,13,-85,17024,176,D,
267,2019.11.26,,13.55.36,1,5G,-101,-12,5.0,13,-85,14404,130,D,
293,2019.11.26,,13.56.04,1,5G,-100,-11,10.0,13,-110,15,27,D,
300,2019.11.26,,13.56.11,1,5G,-101,-13,6.0,14,-82,14,25,D,
309,2019.11.26,,13.56.21,1,5G,-101,-10,1.0,13,-110,22768,243,D,
310,2019.11.26,,13.56.22,1,5G,-100,-10,6.0,11,-82,8651,76,D,
348,2019.11.26,,13.57.03,1,5G,-100,-17,5.0,10,-83,15,27,D,
353,2019.11.26,,13.57.08,1,5G,-100,-14,2.0,13,-83,8280,147,D,
354,2019.11.26,,13.57.10,1,5G,-100,-12,5.0,13,-83,2307,36,D,
356,2019.11.26,,13.57.12,1,5G,-100,-15,3.0,13,-83,4008,91,D,
357,2019.11.26,,13.57.13,1,5G,-100,-15,3.0,13,-83,8916,137,D,
358,2019.11.26,,13.57.14,1,5G,-100,-16,4.0,13,-83,2785,45,D,
359,2019.11.26,,13.57.15,1,5G,-100,-16,4.0,13,-83,12145,103,D,
401,2019.11.26,,13.58.00,1,5G,-99,-11,6.0,12,-82,12763,149,D,
402,2019.11.26,,13.58.01,1,5G,-99,-11,5.0,12,-82,14361,115,D,
403,2019.11.26,,13.58.02,1,5G,-99,-11,5.0,12,-82,4959,33,D,
404,2019.11.26,,13.58.04,1,5G,-99,-13,3.0,12,-82,15,27,D,
411,2019.11.26,,13.58.11,1,5G,-103,-15,5.0,12,-84,14,24,D,
445,2019.11.26,,13.58.48,1,5G,-104,-12,1.0,6,-84,525,43,D,
446,2019.11.26,,13.58.49,1,5G,-101,-13,-1.0,10,-81,1866,47,D,
447,2019.11.26,,13.58.50,1,5G,-101,-13,-1.0,11,-85,2040,21,D,
448,2019.11.26,,13.58.51,1,5G,-100,-12,0.0,14,-81,4578,49,D,
449,2019.11.26,,13.58.52,1,5G,-100,-12,0.0,8,-83,7124,54,D,
450,2019.11.26,,13.58.53,1,5G,-100,-11,5.0,8,-83,5093,42,D,
451,2019.11.26,,13.58.54,1,5G,-100,-11,5.0,8,-83,6993,70,D,
452,2019.11.26,,13.58.55,1,5G,-100,-15,6.0,8,-83,10258,67,D,
459,2019.11.26,,13.59.03,1,5G,-101,-13,2.0,13,-81,15,27,D,
477,2019.11.26,,13.59.22,1,5G,-100,-13,0.0,12,-81,11,1,D,
493,2019.11.26,,13.59.40,1,5G,-101,-14,0.0,10,-84,2504,56,D,
494,2019.11.26,,13.59.41,1,5G,-101,-18,-2.0,10,-84,13,5,D,
495,2019.11.26,,13.59.42,1,5G,-101,-18,-2.0,10,-84,35,4,D,
496,2019.11.26,,13.59.43,1,5G,-101,-12,7.0,12,-82,711,66,D,
497,2019.11.26,,13.59.44,1,5G,-101,-12,7.0,12,-82,43,2,D,
498,2019.11.26,,13.59.45,1,5G,-102,-11,6.0,12,-82,23,2,D,
499,2019.11.26,,13.59.46,1,5G,-102,-11,6.0,14,-110,33,1,D,
500,2019.11.26,,13.59.47,1,5G,-102,-12,1.0,14,-110,34,2,D,
501,2019.11.26,,13.59.48,1,5G,-102,-12,1.0,14,-110,67,3,D,
502,2019.11.26,,13.59.49,1,5G,-102,-12,-1.0,14,-110,55,2,D,
503,2019.11.26,,13.59.50,1,5G,-102,-12,-1.0,14,-84,890,17,D,
504,2019.11.26,,13.59.52,1,5G,-101,-14,5.0,14,-84,522,9,D,
505,2019.11.26,,13.59.53,1,5G,-101,-14,5.0,14,-84,56,5,D,
506,2019.11.26,,13.59.54,1,5G,-101,-14,-8.0,14,-84,45,3,D,
507,2019.11.26,,13.59.55,1,5G,-101,-14,-8.0,14,-84,168,8,D,
508,2019.11.26,,13.59.56,1,5G,-101,-13,7.0,14,-84,391,7,D,
509,2019.11.26,,13.59.57,1,5G,-101,-13,7.0,14,-84,133,5,D,
510,2019.11.26,,13.59.58,1,5G,-102,-12,6.0,14,-84,24,5,D,
511,2019.11.26,,13.59.59,1,5G,-102,-12,6.0,6,-81,67,3,D,
512,2019.11.26,,14.00.00,1,5G,-102,-12,8.0,15,-83,24,5,D,
513,2019.11.26,,14.00.01,1,5G,-102,-12,8.0,15,-83,103,9,D,
514,2019.11.26,,14.00.02,1,5G,-101,-12,5.0,15,-83,11,0,D,
515,2019.11.26,,14.00.03,1,5G,-101,-12,5.0,15,-83,33,34,D,
517,2019.11.26,,14.00.06,1,5G,-102,-11,4.0,14,-85,11,9,D,
519,2019.11.26,,14.00.08,1,5G,-101,-11,5.0,7,-81,11,0,D,
521,2019.11.26,,14.00.10,1,5G,-102,-12,4.0,11,-85,3232,48,D,
522,2019.11.26,,14.00.11,1,5G,-101,-10,5.0,9,-83,1159,26,D,
523,2019.11.26,,14.00.12,1,5G,-101,-10,5.0,9,-83,10635,158,D,
524,2019.11.26,,14.00.13,1,5G,-102,-13,4.0,9,-83,29649,235,D,
566,2019.11.26,,14.00.59,1,5G,-101,-14,-3.0,8,-79,15062,120,D,
567,2019.11.26,,14.01.00,1,5G,-101,-14,-3.0,8,-83,9108,48,D,
570,2019.11.26,,14.01.03,1,5G,-100,-17,1.0,8,-83,18,33,D,
574,2019.11.26,,14.01.07,1,5G,-101,-12,5.0,11,-85,32,16,D,
595,2019.11.26,,14.01.30,1,5G,-101,-14,-4.0,8,-85,11,1,D,
608,2019.11.26,,14.01.44,1,5G,-101,-14,-4.0,15,-110,5359,87,D,
609,2019.11.26,,14.01.45,1,5G,-101,-14,-4.0,15,-110,22466,347,D,
610,2019.11.26,,14.01.46,1,5G,-101,-14,3.0,15,-110,3487,58,D,
626,2019.11.26,,14.02.04,1,5G,-100,-14,-1.0,7,-82,18,32,D,
646,2019.11.26,,14.02.25,1,5G,-100,-13,0.0,15,-85,29,12,D,
