,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
0,08.02.06,0,5G,-79,-9,4.0,15,-72,8,2,D
3,08.02.09,0,5G,-80,-10,0.0,15,-72,46,13,D
4,08.02.10,0,5G,-79,-9,0.0,15,-72,117,43,D
6,08.02.12,0,5G,-80,-9,4.0,8,-70,590,328,D
7,08.02.13,0,5G,-80,-9,4.0,10,-72,11,0,D
8,08.02.14,0,5G,-80,-9,3.0,10,-72,2,4,D
9,08.02.15,0,5G,-80,-9,3.0,10,-72,1303,131,D
10,08.02.16,0,5G,-79,-11,5.0,10,-72,21302,214,D
11,08.02.17,0,5G,-79,-11,5.0,10,-72,40380,367,D
12,08.02.18,0,5G,-81,-10,5.0,15,-70,52673,432,D
13,08.02.19,0,5G,-81,-10,5.0,15,-70,48521,308,D
14,08.02.20,0,5G,-79,-11,6.0,15,-70,11039,160,D
25,08.02.32,0,5G,-80,-12,5.0,9,-70,2,4,D
27,08.02.35,0,5G,-79,-11,-4.0,9,-70,2,5,D
29,08.02.37,0,5G,-80,-10,0.0,15,-70,1,1,D
42,08.02.51,0,5G,-81,-14,-2.0,14,-73,1,2,D
43,08.02.52,0,5G,-81,-14,-2.0,14,-73,17,32,D
45,08.02.54,0,5G,-79,-13,-5.0,14,-73,2,4,D
47,08.02.56,0,5G,-81,-11,6.0,11,-71,2,5,D
61,08.03.11,0,5G,-80,-11,5.0,15,-70,2,1,D
62,08.03.12,0,5G,-78,-9,-7.0,15,-70,3,6,D
63,08.03.13,0,5G,-78,-9,-7.0,15,-70,81,36,D
64,08.03.14,0,5G,-80,-11,-1.0,15,-70,2,4,D
65,08.03.16,0,5G,-80,-11,-1.0,15,-70,15,26,D
66,08.03.17,0,5G,-79,-11,4.0,15,-70,2,5,D
69,08.03.20,0,5G,-80,-12,-8.0,15,-70,2,1,D
70,08.03.21,0,5G,-79,-9,4.0,15,-70,1,1,D
82,08.03.34,0,5G,-78,-9,3.0,14,-63,2,4,D
84,08.03.36,0,5G,-80,-10,5.0,15,-71,2,4,D
86,08.03.38,0,5G,-82,-10,-5.0,15,-74,14478,275,D
87,08.03.39,0,5G,-82,-10,-5.0,11,-72,12877,152,D
92,08.03.45,0,5G,-79,-8,9.0,14,-70,4,5,D
101,08.03.54,0,5G,-80,-11,3.0,14,-70,2,4,D
103,08.03.57,0,5G,-81,-10,-3.0,14,-70,2,4,D
105,08.03.59,0,5G,-80,-9,5.0,14,-70,2,4,D
115,08.04.09,0,5G,-79,-14,8.0,14,-70,15,28,D
118,08.04.13,0,5G,-79,-9,3.0,14,-70,11,1,D
121,08.04.16,0,5G,-81,-12,-1.0,14,-70,17,32,D
123,08.04.18,0,5G,-80,-9,1.0,14,-70,2,4,D
125,08.04.20,0,5G,-80,-9,-4.0,14,-70,2,4,D
129,08.04.25,0,5G,-80,-9,1.0,14,-70,19504,235,D
130,08.04.26,0,5G,-80,-14,1.0,14,-70,9845,108,D
140,08.04.36,0,5G,-80,-9,-3.0,14,-68,2,4,D
142,08.04.39,0,5G,-80,-9,0.0,10,-70,2,4,D
144,08.04.41,0,5G,-80,-8,1.0,10,-70,2,4,D
160,08.04.58,0,5G,-80,-9,-2.0,11,-71,2,4,D
162,08.05.00,0,5G,-80,-8,2.0,11,-71,2,4,D
172,08.05.11,0,5G,-80,-10,3.0,11,-71,31321,329,D
177,08.05.16,0,5G,-80,-10,6.0,11,-71,10,1,D
178,08.05.17,0,5G,-80,-11,-5.0,11,-71,8,37,D
179,08.05.18,0,5G,-80,-11,-5.0,11,-71,23326,780,D
181,08.05.21,0,5G,-80,-9,7.0,11,-71,2,4,D
183,08.05.23,0,5G,-81,-10,-1.0,11,-71,13,29,D
184,08.05.24,0,5G,-81,-10,2.0,11,-71,22764,670,D
187,08.05.27,0,5G,-81,-11,0.0,11,-71,2,0,D
191,08.05.31,0,5G,-82,-11,2.0,11,-71,2,1,D
199,08.05.40,0,5G,-79,-10,1.0,11,-71,2,4,D
201,08.05.42,0,5G,-81,-9,7.0,11,-71,2,4,D
214,08.05.56,0,5G,-80,-10,0.0,9,-71,6096,53,D
215,08.05.57,0,5G,-80,-10,0.0,9,-71,25040,231,D
218,08.06.01,0,5G,-80,-11,2.0,9,-71,2,4,D
220,08.06.03,0,5G,-80,-13,1.0,9,-71,2,4,D
221,08.06.04,0,5G,-80,-13,1.0,9,-71,3,1,D
222,08.06.05,0,5G,-80,-11,1.0,9,-71,2,4,D
232,08.06.16,0,5G,-79,-11,1.0,12,-63,15,28,D
238,08.06.22,0,5G,-79,-9,2.0,15,-72,2,4,D
240,08.06.24,0,5G,-80,-10,4.0,15,-72,9,9,D
241,08.06.25,0,5G,-80,-10,4.0,15,-72,4,6,D
257,08.06.43,0,5G,-79,-9,5.0,11,-71,23047,261,D
258,08.06.44,0,5G,-80,-11,6.0,11,-68,4921,40,D
259,08.06.45,0,5G,-80,-11,6.0,11,-68,2,4,D
261,08.06.47,0,5G,-80,-14,4.0,11,-68,2,4,D
277,08.07.04,0,5G,-80,-12,6.0,15,-71,2,4,D
280,08.07.07,0,5G,-80,-11,3.0,15,-71,2,4,D
288,08.07.16,0,5G,-81,-10,2.0,15,-71,15,28,D
296,08.07.25,0,5G,-80,-11,-3.0,15,-71,2,4,D
298,08.07.27,0,5G,-81,-10,-5.0,15,-71,2,4,D
299,08.07.28,0,5G,-81,-10,-5.0,15,-71,5,6,D
300,08.07.29,0,5G,-81,-10,-3.0,15,-71,30258,275,D
316,08.07.46,0,5G,-80,-11,-4.0,11,-71,2,4,D
319,08.07.49,0,5G,-80,-11,1.0,11,-71,2,4,D
335,08.08.07,0,5G,-79,-11,-5.0,15,-72,2,4,D
337,08.08.09,0,5G,-81,-10,-3.0,15,-72,2,4,D
339,08.08.11,0,5G,-80,-10,-4.0,15,-72,2,4,D
342,08.08.14,0,5G,-81,-11,1.0,15,-72,11646,88,D
343,08.08.15,0,5G,-81,-11,1.0,15,-72,19946,196,D
355,08.08.28,0,5G,-80,-10,0.0,13,-72,2,4,D
358,08.08.32,0,5G,-81,-11,3.0,13,-72,2,4,D
374,08.08.49,0,5G,-81,-11,2.0,14,-72,2,4,D
376,08.08.51,0,5G,-80,-9,2.0,14,-72,2,4,D
378,08.08.53,0,5G,-80,-10,5.0,14,-72,2,4,D
385,08.09.01,0,5G,-81,-13,-1.0,14,-72,27543,268,D
386,08.09.02,0,5G,-81,-10,6.0,14,-72,2976,16,D
394,08.09.10,0,5G,-83,-11,3.0,14,-72,2,4,D
395,08.09.11,0,5G,-83,-11,3.0,14,-72,2,4,D
397,08.09.14,0,5G,-80,-11,1.0,14,-72,2,4,D
399,08.09.16,0,5G,-82,-10,2.0,14,-72,14,26,D
404,08.09.21,0,5G,-81,-12,1.0,10,-70,92,13,D
413,08.09.31,0,5G,-81,-9,4.0,10,-70,2,4,D
415,08.09.33,0,5G,-81,-10,4.0,10,-70,2,4,D
417,08.09.35,0,5G,-81,-10,4.0,10,-70,2,4,D
427,08.09.46,0,5G,-81,-10,-1.0,15,-65,1784,14,D
428,08.09.47,0,5G,-81,-9,1.0,15,-72,27722,244,D
433,08.09.52,0,5G,-80,-9,1.0,15,-72,2,4,D
434,08.09.53,0,5G,-81,-10,-2.0,15,-72,2,4,D
436,08.09.56,0,5G,-80,-10,0.0,15,-72,2,4,D
452,08.10.13,0,5G,-81,-9,2.0,15,-72,2,4,D
454,08.10.15,0,5G,-81,-10,2.0,15,-72,2,4,D
455,08.10.16,0,5G,-81,-10,2.0,15,-72,14,26,D
456,08.10.17,0,5G,-80,-10,1.0,15,-72,2,4,D
470,08.10.32,0,5G,-81,-11,3.0,10,-72,17281,162,D
471,08.10.33,0,5G,-81,-11,3.0,10,-72,10384,92,D
472,08.10.34,0,5G,-81,-11,1.0,10,-72,2,4,D
473,08.10.35,0,5G,-81,-11,1.0,10,-72,2,4,D
475,08.10.38,0,5G,-81,-11,4.0,14,-72,2,4,D
491,08.10.55,0,5G,-81,-10,6.0,14,-72,2,4,D
493,08.10.57,0,5G,-80,-9,5.0,14,-72,2,4,D
495,08.10.59,0,5G,-80,-9,-12.0,14,-72,2,4,D
511,08.11.16,0,5G,-80,-13,-3.0,11,-72,16,5,D
512,08.11.18,0,5G,-80,-11,-2.0,11,-72,1,4,D
513,08.11.19,0,5G,-80,-11,-2.0,11,-72,33638,294,D
514,08.11.20,0,5G,-81,-14,1.0,11,-72,2,4,D
530,08.11.37,0,5G,-81,-11,0.0,14,-73,2,4,D
532,08.11.39,0,5G,-81,-14,4.0,14,-73,2,4,D
534,08.11.41,0,5G,-80,-11,-3.0,14,-73,2,4,D
550,08.11.59,0,5G,-83,-14,-3.0,12,-72,2,4,D
551,08.12.00,0,5G,-83,-14,-3.0,12,-72,2,4,D
553,08.12.02,0,5G,-81,-10,1.0,12,-72,2,4,D
555,08.12.04,0,5G,-81,-10,-2.0,12,-72,8967,80,D
556,08.12.05,0,5G,-82,-11,2.0,12,-72,21188,204,D
567,08.12.17,0,5G,-80,-11,-2.0,13,-63,1,11,D
569,08.12.19,0,5G,-80,-11,-4.0,10,-72,16,11,D
571,08.12.21,0,5G,-81,-10,0.0,10,-72,2,4,D
573,08.12.23,0,5G,-81,-10,2.0,10,-72,2,4,D
590,08.12.42,0,5G,-80,-9,1.0,14,-70,2,4,D
592,08.12.44,0,5G,-81,-10,0.0,14,-70,2,4,D
598,08.12.50,0,5G,-81,-9,3.0,14,-70,22455,227,D
599,08.12.51,0,5G,-81,-9,3.0,14,-70,6657,61,D
608,08.13.01,0,5G,-81,-12,-2.0,14,-70,2,4,D
610,08.13.03,0,5G,-81,-10,3.0,14,-70,2,4,D
612,08.13.05,0,5G,-84,-12,2.0,15,-73,2,4,D
622,08.13.16,0,5G,-81,-11,-2.0,13,-64,15,27,D
629,08.13.24,0,5G,-81,-10,2.0,7,-72,2,4,D
631,08.13.26,0,5G,-81,-10,0.0,7,-72,2,4,D
640,08.13.36,0,5G,-81,-11,3.0,7,-72,796,17,D
641,08.13.37,0,5G,-81,-11,3.0,7,-72,26707,248,D
643,08.13.39,0,5G,-81,-10,5.0,7,-72,3,1,D
647,08.13.43,0,5G,-81,-10,-4.0,7,-72,2,4,D
649,08.13.45,0,5G,-81,-10,1.0,7,-72,2,4,D
651,08.13.47,0,5G,-81,-9,-1.0,7,-72,2,4,D
666,08.14.04,0,5G,-81,-10,5.0,9,-72,2,4,D
668,08.14.06,0,5G,-81,-10,3.0,9,-72,2,4,D
670,08.14.08,0,5G,-81,-11,5.0,9,-72,2,4,D
671,08.14.09,0,5G,-81,-11,5.0,9,-72,55,1118,D
672,08.14.10,0,5G,-81,-10,-1.0,9,-72,19,784,D
677,08.14.16,0,5G,-81,-10,-3.0,10,-72,2,26,D
683,08.14.22,0,5G,-80,-9,7.0,10,-72,24029,139,D
684,08.14.23,0,5G,-81,-10,6.0,10,-72,5793,46,D
686,08.14.25,0,5G,-81,-10,7.0,10,-72,2,4,D
688,08.14.27,0,5G,-81,-9,3.0,10,-72,2,4,D
689,08.14.28,0,5G,-81,-9,3.0,10,-72,11,1,D
690,08.14.30,0,5G,-81,-9,3.0,10,-72,3,7,D
695,08.14.35,0,5G,-81,-10,-3.0,10,-72,11,1,D
705,08.14.46,0,5G,-79,-9,6.0,8,-70,2,4,D
707,08.14.48,0,5G,-80,-10,2.0,15,-71,2,4,D
709,08.14.50,0,5G,-81,-10,1.0,15,-71,2,4,D
725,08.15.07,0,5G,-81,-12,1.0,15,-71,2725,39,D
