,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
5,2019.12.04,,12.46.18,0,LTE,-94,-11,12.0,15,-77,49,14,D
6,2019.12.04,,12.46.19,0,LTE,-94,-11,12.0,14,-79,114,43,D
7,2019.12.04,,12.46.20,0,LTE,-95,-11,7.0,14,-79,374,265,D
8,2019.12.04,,12.46.21,0,LTE,-95,-11,7.0,14,-81,234,4,D
10,2019.12.04,,12.46.23,0,LTE,-95,-11,14.0,15,-78,453,111,D
11,2019.12.04,,12.46.24,0,LTE,-95,-11,11.0,15,-80,3448,154,D
12,2019.12.04,,12.46.25,0,LTE,-95,-11,11.0,15,-80,7884,176,D
13,2019.12.04,,12.46.26,0,LTE,-97,-10,13.0,15,-80,6998,128,D
14,2019.12.04,,12.46.28,0,LTE,-97,-10,13.0,15,-80,11379,148,D
15,2019.12.04,,12.46.29,0,LTE,-97,-11,16.0,15,-80,6897,119,D
16,2019.12.04,,12.46.30,0,LTE,-97,-11,16.0,15,-80,11160,203,D
17,2019.12.04,,12.46.31,0,LTE,-96,-11,10.0,15,-80,5549,114,D
18,2019.12.04,,12.46.32,0,LTE,-96,-11,10.0,15,-80,17896,227,D
19,2019.12.04,,12.46.33,0,LTE,-96,-11,12.0,15,-80,16672,314,D
20,2019.12.04,,12.46.34,0,LTE,-96,-11,12.0,15,-80,15002,322,D
21,2019.12.04,,12.46.35,0,LTE,-97,-11,13.0,15,-80,13244,178,D
22,2019.12.04,,12.46.36,0,LTE,-97,-11,13.0,15,-80,4420,61,D
23,2019.12.04,,12.46.37,0,LTE,-96,-11,13.0,15,-80,4592,63,D
24,2019.12.04,,12.46.38,0,LTE,-96,-11,13.0,15,-80,1739,45,D
25,2019.12.04,,12.46.39,0,LTE,-95,-11,16.0,5,-77,14310,134,D
26,2019.12.04,,12.46.40,0,LTE,-95,-11,16.0,5,-77,5218,77,D
27,2019.12.04,,12.46.41,0,LTE,-92,-11,17.0,5,-77,11803,145,D
29,2019.12.04,,12.46.43,0,LTE,-94,-11,15.0,5,-77,17294,186,D
30,2019.12.04,,12.46.44,0,LTE,-94,-11,15.0,11,-84,19134,240,D
31,2019.12.04,,12.46.45,0,LTE,-101,-12,12.0,11,-86,15875,221,D
62,2019.12.04,,12.47.19,0,5G,-101,-15,9.0,11,-85,17,50,D
67,2019.12.04,,12.47.24,0,5G,-101,-11,4.0,14,-87,15,26,D
73,2019.12.04,,12.47.31,0,5G,-103,-12,8.0,12,-87,27042,180,D
74,2019.12.04,,12.47.32,0,5G,-103,-12,8.0,15,-85,1913,14,D
120,2019.12.04,,12.48.22,0,5G,-97,-10,13.0,11,-87,324,18,D
125,2019.12.04,,12.48.27,0,5G,-99,-11,1.0,10,-80,24,17,D
126,2019.12.04,,12.48.28,0,5G,-99,-11,1.0,15,-87,272,75,D
