,Date,Day,Day_Timeframe,Timestamp,Timeframe,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
5,2019.11.26,,,08.02.42,,1,5G,-93,-14,-9.0,7,-70,17,29,D
6,2019.11.26,,,08.02.43,,1,5G,-93,-14,-9.0,7,-70,170,76,D
7,2019.11.26,,,08.02.44,,1,5G,-91,-11,5.0,7,-70,11,1,D
8,2019.11.26,,,08.02.45,,1,5G,-91,-11,5.0,15,-72,611,356,D
10,2019.11.26,,,08.02.47,,1,5G,-94,-12,-2.0,12,-70,499,17,D
11,2019.11.26,,,08.02.48,,1,5G,-94,-11,-1.0,12,-70,273,41,D
14,2019.11.26,,,08.02.51,,1,5G,-93,-15,-8.0,9,-71,68172,633,D
15,2019.11.26,,,08.02.52,,1,5G,-93,-13,-1.0,9,-71,19106,100,D
19,2019.11.26,,,08.02.57,,1,5G,-90,-15,-3.0,9,-71,14690,218,D
57,2019.11.26,,,08.03.38,,1,5G,-92,-16,-7.0,9,-70,18329,89,D
62,2019.11.26,,,08.03.43,,1,5G,-95,-12,-12.0,12,-70,19,55,D
70,2019.11.26,,,08.03.52,,1,5G,-93,-12,-1.0,12,-70,15,26,D
99,2019.11.26,,,08.04.23,,1,5G,-95,-15,-2.0,7,-72,19088,133,D
118,2019.11.26,,,08.04.43,,1,5G,-91,-12,2.0,15,-72,27,26,D
125,2019.11.26,,,08.04.51,,1,5G,-92,-18,-1.0,15,-72,17,31,D
141,2019.11.26,,,08.05.08,,1,5G,-91,-12,6.0,15,-70,13226,77,D
181,2019.11.26,,,08.05.51,,1,5G,-92,-10,2.0,15,-71,15,27,D
183,2019.11.26,,,08.05.53,,1,5G,-91,-11,4.0,15,-71,25914,151,D
225,2019.11.26,,,08.06.38,,1,5G,-91,-13,1.0,11,-74,20964,97,D
226,2019.11.26,,,08.06.39,,1,5G,-91,-13,1.0,11,-71,15650,69,D
233,2019.11.26,,,08.06.47,,1,5G,-93,-12,-2.0,9,-71,542,26,D
237,2019.11.26,,,08.06.51,,1,5G,-91,-13,1.0,9,-74,15,26,D
268,2019.11.26,,,08.07.25,,1,5G,-92,-15,-1.0,12,-71,17058,72,D
293,2019.11.26,,,08.07.52,,1,5G,-91,-11,3.0,7,-72,18,29,D
309,2019.11.26,,,08.08.09,,1,5G,-91,-18,2.0,12,-72,4284,31,D
310,2019.11.26,,,08.08.10,,1,5G,-91,-18,2.0,12,-72,6838,25,D
334,2019.11.26,,,08.08.36,,1,5G,-90,-11,-8.0,12,-72,56,31,D
348,2019.11.26,,,08.08.51,,1,5G,-91,-11,3.0,15,-71,15,26,D
351,2019.11.26,,,08.08.54,,1,5G,-92,-11,5.0,13,-71,6170,37,D
352,2019.11.26,,,08.08.55,,1,5G,-92,-11,5.0,12,-73,7001,16,D
361,2019.11.26,,,08.09.05,,1,5G,-91,-19,-11.0,15,-,83,19,D
394,2019.11.26,,,08.09.40,,1,5G,-91,-17,-8.0,8,-72,24730,121,D
396,2019.11.26,,,08.09.42,,1,5G,-92,-14,-3.0,13,-71,497,38,D
404,2019.11.26,,,08.09.51,,1,5G,-94,-12,0.0,12,-71,26,27,D
407,2019.11.26,,,08.09.54,,1,5G,-94,-13,-1.0,12,-71,46,16,D
436,2019.11.26,,,08.10.25,,1,5G,-93,-16,-8.0,12,-72,15822,62,D
460,2019.11.26,,,08.10.51,,1,5G,-92,-13,2.0,12,-71,15,27,D
478,2019.11.26,,,08.11.11,,1,5G,-92,-16,-10.0,12,-72,16054,75,D
516,2019.11.26,,,08.11.52,,1,5G,-93,-18,0.0,6,-71,17,32,D
520,2019.11.26,,,08.11.56,,1,5G,-92,-14,0.0,6,-71,24112,125,D
562,2019.11.26,,,08.12.41,,1,5G,-93,-13,-4.0,6,-,4938,314,D
563,2019.11.26,,,08.12.42,,1,5G,-93,-19,-11.0,6,-,1071,7,D
572,2019.11.26,,,08.12.52,,1,5G,-89,-14,2.0,12,-71,15,27,D
604,2019.11.26,,,08.13.27,,1,5G,-91,-15,-11.0,9,-75,1064,32,D
605,2019.11.26,,,08.13.28,,1,5G,-93,-13,2.0,9,-75,7936,106,D
606,2019.11.26,,,08.13.29,,1,5G,-93,-13,2.0,12,-70,5752,15,D
619,2019.11.26,,,08.13.43,,1,5G,-92,-15,-12.0,12,-70,503,17,D
627,2019.11.26,,,08.13.51,,1,5G,-92,-13,2.0,8,-72,15,27,D
647,2019.11.26,,,08.14.13,,1,5G,-92,-14,-2.0,4,-71,10725,67,D
