,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State
7,2019.11.26,,09.27.17,0,5G,-91,-13,6.0,8,-72,49,14,D
8,2019.11.26,,09.27.18,0,5G,-91,-13,6.0,8,-72,695,339,D
9,2019.11.26,,09.27.19,0,5G,-91,-15,6.0,8,-72,10393,375,D
10,2019.11.26,,09.27.20,0,5G,-91,-15,6.0,8,-72,30172,875,D
12,2019.11.26,,09.27.22,0,5G,-91,-16,-7.0,8,-72,11505,319,D
13,2019.11.26,,09.27.23,0,5G,-93,-14,0.0,8,-72,103545,442,D
17,2019.11.26,,09.27.27,0,5G,-92,-13,2.0,8,-70,13620,119,D
22,2019.11.26,,09.27.33,0,5G,-92,-15,1.0,8,-70,11,1,D
55,2019.11.26,,09.28.08,0,5G,-93,-13,-9.0,7,-110,3480,26,D
56,2019.11.26,,09.28.09,0,5G,-93,-13,-9.0,7,-110,14927,100,D
64,2019.11.26,,09.28.18,0,5G,-93,-13,3.0,10,-73,17,3,D
68,2019.11.26,,09.28.22,0,5G,-92,-14,-2.0,10,-73,16,30,D
98,2019.11.26,,09.28.54,0,5G,-92,-13,4.0,5,-70,17617,128,D
109,2019.11.26,,09.29.06,0,5G,-93,-14,1.0,8,-70,33,12,D
110,2019.11.26,,09.29.07,0,5G,-93,-14,1.0,8,-70,21,5,D
124,2019.11.26,,09.29.22,0,5G,-92,-14,0.0,8,-74,16,28,D
140,2019.11.26,,09.29.39,0,5G,-92,-14,-6.0,7,-70,23934,118,D
176,2019.11.26,,09.30.18,0,5G,-92,-15,-1.0,7,-72,23,12,D
177,2019.11.26,,09.30.19,0,5G,-92,-14,-13.0,7,-72,251,121,D
180,2019.11.26,,09.30.23,0,5G,-92,-16,-1.0,7,-72,23,40,D
182,2019.11.26,,09.30.25,0,5G,-92,-14,-1.0,7,-72,28345,137,D
185,2019.11.26,,09.30.28,0,5G,-92,-12,-4.0,7,-72,74,67,D
218,2019.11.26,,09.31.03,0,5G,-94,-16,-1.0,9,-77,198,78,D
223,2019.11.26,,09.31.09,0,5G,-94,-15,0.0,9,-70,60,24,D
224,2019.11.26,,09.31.10,0,5G,-94,-15,0.0,9,-70,15698,97,D
225,2019.11.26,,09.31.11,0,5G,-92,-15,0.0,9,-70,15512,61,D
267,2019.11.26,,09.31.56,0,5G,-92,-14,-7.0,8,-69,29109,178,D
291,2019.11.26,,09.32.22,0,5G,-94,-15,-14.0,8,-69,18,43,D
309,2019.11.26,,09.32.42,0,5G,-93,-13,-2.0,5,-71,44323,171,D
311,2019.11.26,,09.32.44,0,5G,-94,-15,-6.0,5,-71,11,1,D
347,2019.11.26,,09.33.23,0,5G,-92,-15,2.0,8,-74,15,27,D
351,2019.11.26,,09.33.27,0,5G,-93,-16,-7.0,9,-74,21078,95,D
352,2019.11.26,,09.33.28,0,5G,-93,-16,-7.0,8,-71,2332,2,D
394,2019.11.26,,09.34.13,0,5G,-91,-12,-2.0,7,-71,16,21,D
395,2019.11.26,,09.34.14,0,5G,-94,-12,-1.0,7,-71,503,28,D
399,2019.11.26,,09.34.19,0,5G,-92,-14,0.0,10,-75,1987,119,D
400,2019.11.26,,09.34.20,0,5G,-92,-14,0.0,9,-71,3981,178,D
401,2019.11.26,,09.34.21,0,5G,-92,-14,1.0,6,-69,23929,190,D
402,2019.11.26,,09.34.22,0,5G,-92,-14,1.0,8,-71,15,32,D
443,2019.11.26,,09.35.06,0,5G,-93,-12,1.0,6,-72,9952,107,D
444,2019.11.26,,09.35.07,0,5G,-93,-12,1.0,6,-72,10752,80,D
458,2019.11.26,,09.35.22,0,5G,-92,-14,2.0,7,-69,15,27,D
485,2019.11.26,,09.35.51,0,5G,-92,-13,2.0,7,-69,130,15,D
486,2019.11.26,,09.35.52,0,5G,-92,-13,2.0,7,-69,20043,122,D
510,2019.11.26,,09.36.18,0,5G,-92,-13,0.0,11,-71,54,32,D
514,2019.11.26,,09.36.22,0,5G,-93,-14,-6.0,7,-72,15,27,D
528,2019.11.26,,09.36.38,0,5G,-91,-13,1.0,9,-70,25254,178,D
552,2019.11.26,,09.37.03,0,5G,-93,-14,-1.0,7,-70,46,16,D
568,2019.11.26,,09.37.21,0,5G,-90,-13,0.0,9,-72,19,8,D
570,2019.11.26,,09.37.23,0,5G,-93,-13,2.0,11,-77,24589,180,D
599,2019.11.26,,09.37.54,0,5G,-94,-12,-7.0,5,-75,11,1,D
612,2019.11.26,,09.38.08,0,5G,-92,-12,4.0,7,-73,21401,128,D
654,2019.11.26,,09.38.53,0,5G,-91,-13,2.0,5,-76,19791,121,D
681,2019.11.26,,09.39.22,0,5G,-92,-14,-10.0,6,-75,15,27,D
696,2019.11.26,,09.39.38,0,5G,-92,-13,5.0,7,-110,16177,100,D
737,2019.11.26,,09.40.23,0,5G,-92,-12,3.0,8,-72,15,27,D
738,2019.11.26,,09.40.24,0,5G,-92,-12,3.0,8,-72,23928,134,D
780,2019.11.26,,09.41.09,0,5G,-91,-13,1.0,8,-71,20849,96,D
793,2019.11.26,,09.41.23,0,5G,-93,-14,-1.0,6,-71,15,27,D
822,2019.11.26,,09.41.54,0,5G,-91,-13,2.0,7,-75,4695,97,D
823,2019.11.26,,09.41.55,0,5G,-91,-13,3.0,11,-72,9898,81,D
865,2019.11.26,,09.42.41,0,5G,-92,-12,1.0,10,-72,7964,49,D
887,2019.11.26,,09.43.04,0,5G,-91,-13,-8.0,9,-72,11,1,D
904,2019.11.26,,09.43.23,0,5G,-90,-15,3.0,7,-110,15,26,D
907,2019.11.26,,09.43.26,0,5G,-92,-13,-9.0,7,-110,16010,102,D
949,2019.11.26,,09.44.11,0,5G,-92,-16,-5.0,9,-110,12935,87,D
960,2019.11.26,,09.44.23,0,5G,-93,-15,5.0,9,-73,15,27,D
991,2019.11.26,,09.44.56,0,5G,-91,-11,2.0,8,-72,7063,64,D
1015,2019.11.26,,09.45.22,0,5G,-94,-15,4.0,9,-72,15,27,D
1033,2019.11.26,,09.45.42,0,5G,-92,-12,2.0,7,-76,1222,6,D
1071,2019.11.26,,09.46.23,0,5G,-91,-14,-7.0,9,-76,15,27,D
1127,2019.11.26,,09.47.23,0,5G,-92,-14,2.0,9,-73,15,27,D
1142,2019.11.26,,09.47.39,0,5G,-92,-16,-2.0,11,-110,11,1,D
