,Unnamed: 0,Date,Day,Timestamp,Speed,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,Rolling_avg
493,493,2019.11.28,Day3,08:02:23,0,5G,-91,-16,-9.0,9,-66,47,1,D,
494,494,2019.11.28,Day3,08:02:27,0,5G,-91,-13,2.0,9,-66,43,4,D,
495,495,2019.11.28,Day3,08:02:28,0,5G,-90,-11,-2.0,9,-66,205,97,D,
496,496,2019.11.28,Day3,08:02:29,0,5G,-90,-11,-2.0,14,-110,2039,164,D,
497,497,2019.11.28,Day3,08:02:30,0,5G,-91,-12,-1.0,14,-110,35126,966,D,
498,498,2019.11.28,Day3,08:02:31,0,5G,-91,-12,-1.0,14,-110,136,7,D,
499,499,2019.11.28,Day3,08:02:34,0,5G,-90,-12,2.0,10,-69,19361,653,D,
500,500,2019.11.28,Day3,08:02:40,0,5G,-90,-13,1.0,11,-65,100,12,D,
501,501,2019.11.28,Day3,08:02:41,0,5G,-90,-10,-1.0,13,-68,469,19,D,
502,502,2019.11.28,Day3,08:02:42,0,5G,-90,-10,-1.0,10,-66,165,7,D,
120,120,2019.11.26,Day2,08:02:42,1,5G,-93,-14,-9.0,7,-70,17,29,D,
503,503,2019.11.28,Day3,08:02:43,0,5G,-90,-12,1.0,10,-66,274,12,D,
121,121,2019.11.26,Day2,08:02:43,1,5G,-93,-14,-9.0,7,-70,170,76,D,
122,122,2019.11.26,Day2,08:02:44,1,5G,-91,-11,5.0,7,-70,11,1,D,
123,123,2019.11.26,Day2,08:02:45,1,5G,-91,-11,5.0,15,-72,611,356,D,
124,124,2019.11.26,Day2,08:02:47,1,5G,-94,-12,-2.0,12,-70,499,17,D,
125,125,2019.11.26,Day2,08:02:48,1,5G,-94,-11,-1.0,12,-70,273,41,D,
126,126,2019.11.26,Day2,08:02:51,1,5G,-93,-15,-8.0,9,-71,68172,633,D,
127,127,2019.11.26,Day2,08:02:52,1,5G,-93,-13,-1.0,9,-71,19106,100,D,
504,504,2019.11.28,Day3,08:02:54,0,5G,-91,-13,-2.0,10,-66,163,6,D,
128,128,2019.11.26,Day2,08:02:57,1,5G,-90,-15,-3.0,9,-71,14690,218,D,
505,505,2019.11.28,Day3,08:03:28,0,5G,-95,-11,-2.0,14,-72,20,28,D,
129,129,2019.11.26,Day2,08:03:38,1,5G,-92,-16,-7.0,9,-70,18329,89,D,
506,506,2019.11.28,Day3,08:03:42,0,5G,-94,-15,1.0,8,-68,69,14,D,
130,130,2019.11.26,Day2,08:03:43,1,5G,-95,-12,-12.0,12,-70,19,55,D,
507,507,2019.11.28,Day3,08:03:49,0,5G,-91,-14,1.0,11,-110,108,30,D,
508,508,2019.11.28,Day3,08:03:50,0,5G,-91,-14,1.0,11,-110,65,31,D,
509,509,2019.11.28,Day3,08:03:52,0,5G,-90,-16,-5.0,11,-110,22665,396,D,
131,131,2019.11.26,Day2,08:03:52,1,5G,-93,-12,-1.0,12,-70,15,26,D,
510,510,2019.11.28,Day3,08:03:53,0,5G,-91,-14,-6.0,11,-110,101320,457,D,
511,511,2019.11.28,Day3,08:03:57,0,5G,-90,-12,3.0,11,-110,13572,159,D,
512,512,2019.11.28,Day3,08:03:59,0,5G,-90,-13,1.0,11,-110,44370,216,D,
513,513,2019.11.28,Day3,08:04:13,0,5G,-91,-14,-5.0,14,-71,18,32,D,
132,132,2019.11.26,Day2,08:04:23,1,5G,-95,-15,-2.0,7,-72,19088,133,D,
514,514,2019.11.28,Day3,08:04:27,0,5G,-91,-14,5.0,14,-110,16,55,D,
515,515,2019.11.28,Day3,08:04:41,0,5G,-89,-14,-7.0,10,-69,12703,76,D,
133,133,2019.11.26,Day2,08:04:43,1,5G,-91,-12,2.0,15,-72,27,26,D,
134,134,2019.11.26,Day2,08:04:51,1,5G,-92,-18,-1.0,15,-72,17,31,D,
516,516,2019.11.28,Day3,08:04:52,0,5G,-90,-15,-1.0,10,-69,18,29,D,
135,135,2019.11.26,Day2,08:05:08,1,5G,-91,-12,6.0,15,-70,13226,77,D,
517,517,2019.11.28,Day3,08:05:26,0,5G,-91,-12,1.0,9,-68,9248,63,D,
518,518,2019.11.28,Day3,08:05:27,0,5G,-90,-15,-1.0,9,-68,7870,91,D,
136,136,2019.11.26,Day2,08:05:51,1,5G,-92,-10,2.0,15,-71,15,27,D,
519,519,2019.11.28,Day3,08:05:52,0,5G,-90,-11,3.0,9,-74,27,35,D,
137,137,2019.11.26,Day2,08:05:53,1,5G,-91,-11,4.0,15,-71,25914,151,D,
520,520,2019.11.28,Day3,08:05:54,0,5G,-90,-10,-1.0,13,-110,352,8,D,
521,521,2019.11.28,Day3,08:05:55,0,5G,-90,-10,2.0,13,-110,21298,717,D,
522,522,2019.11.28,Day3,08:06:00,0,5G,-89,-14,-3.0,12,-71,10510,368,D,
523,523,2019.11.28,Day3,08:06:01,0,5G,-89,-14,-3.0,13,-69,8310,211,D,
524,524,2019.11.28,Day3,08:06:13,0,5G,-89,-12,3.0,9,-68,41302,220,D,
525,525,2019.11.28,Day3,08:06:28,0,5G,-89,-12,-1.0,8,-70,15,26,D,
138,138,2019.11.26,Day2,08:06:38,1,5G,-91,-13,1.0,11,-74,20964,97,D,
139,139,2019.11.26,Day2,08:06:39,1,5G,-91,-13,1.0,11,-71,15650,69,D,
140,140,2019.11.26,Day2,08:06:47,1,5G,-93,-12,-2.0,9,-71,542,26,D,
141,141,2019.11.26,Day2,08:06:51,1,5G,-91,-13,1.0,9,-74,15,26,D,
526,526,2019.11.28,Day3,08:06:52,0,5G,-90,-11,2.0,7,-68,15,27,D,
527,527,2019.11.28,Day3,08:06:58,0,5G,-90,-10,-4.0,7,-68,27422,164,D,
142,142,2019.11.26,Day2,08:07:25,1,5G,-92,-15,-1.0,12,-71,17058,72,D,
528,528,2019.11.28,Day3,08:07:43,0,5G,-90,-16,-7.0,8,-68,7429,72,D,
